phylum,known_genera,studied_genera,coverage_percent
Tracheophyta,13758,1464,10.641081552551244
Bryophyta,895,19,2.122905027932961
Chlorophyta,679,11,1.6200294550810015
Rhodophyta,624,18,2.8846153846153846
Marchantiophyta,369,15,4.065040650406504
Unassigned,164,0,0
Charophyta,143,1,0.6993006993006993
Anthocerotophyta,18,2,11.11111111111111
Langiophytophyta,5,0,0
Glaucophyta,3,0,0
