"iso_a3","country_name","centroid_lon","centroid_lat","study_count","gdp_year","gdp_current_usd"
"CHN","China",103.819073490424,36.5617654558963,1600,2024,18743803170827.2
"USA","United States",-112.461673699566,45.6795472025509,909,2024,28750956130731.2
"IND","India",79.6119761025548,22.8857821182844,709,2024,3909891533858.08
"BRA","Brazil",-53.0978311266913,-10.7877770246052,508,2024,2185821648943.86
"CAN","Canada",-98.3077702819011,61.3620632436933,225,2024,2243636826633.76
"AUS","Australia",134.491000082134,-25.7328870417306,223,2024,1757022451652.83
"IDN","Indonesia",117.240113662139,-2.21505456345961,213,2024,1396300098190.97
"ITA","Italy",12.0700133906806,42.7966264140282,206,2024,2380825077243.59
"NER","Niger",9.38545881538727,17.4191249295757,198,2024,19876128485.7857
"EGY","Egypt",29.8619009908347,26.4959331064002,177,2024,389059911003.566
"THA","Thailand",101.002881303559,15.1181579418339,176,2024,526517658841.684
"KOR","Korea",127.839160864018,36.385239834652,174,2024,1875388209406.8
"ESP","Spain",-3.64755047322912,40.2444869811484,161,2024,1725671652742.19
"NZL","New Zealand",171.484923465999,-41.8111355689529,160,2024,260172385097.616
"ARG","Argentina",-65.1798069250029,-35.3813487952628,148,2024,638365455340.04
"JPN","Japan",138.030895576917,37.5923013530156,147,2024,4027597523550.58
"IRN","Iran",54.2740700447804,32.5750329150379,136,2024,475252089215.416
"MEX","Mexico",-102.523451691889,23.9475372406403,133,2024,1856365616165.94
"ZAF","South Africa",25.0839009250674,-29.0003409534236,117,2024,401144998373.585
"DEU","Germany",10.385780507967,51.1069818074633,113,2024,4685592577804.69
"POL","Poland",19.3901283493231,52.1275956441737,105,2024,917767106146.761
"PAK","Pakistan",69.3395793747809,29.9497515031308,85,2024,371570000121.266
"MYS","Malaysia",109.697622842647,3.78986845571311,82,2024,422227005428.688
"GBR","United Kingdom",-2.86563164083813,54.1238715577293,82,2024,3686033044482.13
"ATA","Antarctica",19.9210895121951,-80.5085791310943,75,NA,NA
"SAU","Saudi Arabia",44.5368627114043,24.1224584072829,71,2024,1239804533333.33
"FRA","France",-2.76172944518858,42.1734401107239,69,2024,3160442622465.08
"TWN","Taiwan",120.954272813631,23.7539927949539,67,NA,NA
"NOR","Norway",15.3483465622262,68.7501557205493,65,2024,483592648313.301
"FIN","Finland",26.2746656041619,64.4988460348704,63,2024,298696961297.656
"CHL","Chile",-71.3825621317771,-37.730709893035,61,2024,330267137371.592
"NLD","Netherlands",5.28144793006936,52.1007899002448,54,2024,1214927698572.66
"RUS","Russia",96.686561123082,61.9805220918692,52,2024,2173835806671.66
"CHE","Switzerland",8.20867470615036,46.7978587836161,51,2024,936564198048.516
"PAN","Panama",-80.1191515612474,8.51750797491119,47,2024,86523959131.7472
"PRT","Portugal",-8.501043612683,39.5955067144979,47,2024,313271185085.102
"COL","Colombia",-73.0811458240927,3.91383430725033,45,2024,418818154879.271
"TUR","Turkey",35.1689534648808,39.0616029012556,45,2024,1359123768774.12
"SWE","Sweden",16.7455804869442,62.779665193106,38,2024,603715224265.798
"DZA","Algeria",2.61732300919783,28.1589384944876,37,2024,269322281664.773
"BGD","Bangladesh",90.2381274322827,23.8673115800337,35,2024,450119432068.852
"NGA","Nigeria",8.08943894770574,9.59411452232658,35,2024,252261880141.151
"LKA","Sri Lanka",80.7010823782394,7.61266509224144,35,2024,98963185509.6499
"CMR","Cameroon",12.7396415575373,5.69109848985864,34,2024,53296694320.2057
"ECU","Ecuador",-78.7520192249894,-1.42381612487737,34,2024,124676074700
"MAR","Morocco",-8.45615794797744,29.8376295468793,34,2024,160610994054.734
"CRI","Costa Rica",-84.1920876775362,9.97634463839698,31,2024,95350423176.5962
"MNG","Mongolia",103.05299764856,46.8268154393944,30,2024,23794540024.5132
"KEN","Kenya",37.7959397292677,0.599880215445488,28,2024,120339557905.932
"PRY","Paraguay",-58.400137031999,-23.2282391320271,28,2024,44458118397.4445
"AUT","Austria",14.1264760996378,47.585494392036,27,2024,534790720466.822
"CZE","Czech Rep.",15.3124016280994,49.7334123294873,27,2024,347034062928.479
"PER","Peru",-74.382426850958,-9.15280381329142,27,2024,289221969062.941
"VNM","Vietnam",106.299146977649,16.6460167019434,27,2024,476388230307.175
"TUN","Tunisia",9.55288358932644,34.1195624649079,26,2024,51332285656.5422
"HUN","Hungary",19.3955911606714,47.1627750614469,23,2024,222722738925.641
"ISR","Israel",35.0044469277193,31.4611010118468,23,2024,540379921261.681
"DNK","Denmark",10.028009919086,55.9812529592909,21,2024,424524722037.047
"ETH","Ethiopia",39.6008009763224,8.62278679310024,21,2024,149740297952.986
"PHL","Philippines",122.88393252927,11.7753677808741,20,2024,461617509782.355
"UKR","Ukraine",31.3832646865033,48.9965667264557,20,2024,190741262414.705
"OMN","Oman",56.0916615482705,20.6051533257035,18,2024,107137198769.386
"GRC","Greece",22.9555579369142,39.0746962306957,17,2024,256238371778.118
