metric_source,metric_label,n_countries,n_understudied,n_high_priority,overlap_observed,chi_square_p,spearman_r,spearman_p,binomial_p,kw_p
WB_TOTAL,Total species,227,80,57,4,5.907786550164455e-07,0.5799656755734197,8.426863512530639e-22,3.588872533983667e-06,7.80045045806625e-15
WB_SMALL50XENDEMIC100,Endemic species,227,80,57,2,1.7507964259366348e-08,0.5742938847892518,2.5671009345345602e-21,7.640251105346175e-08,5.0666003857564775e-17
WB_TPROB80,Threatened species probability,227,80,58,2,1.097313897603305e-08,0.5852590321092093,2.921471436068777e-22,4.2833563494804806e-08,2.324991351360404e-17
