metric_source,metric_label,spearman_r_gdp_vs_raw,p_value_gdp_vs_raw,spearman_r_gdp_vs_density,p_value_gdp_vs_density
WB_TOTAL,Total species,0.6188791514155656,1.3687757441116375e-23,-0.4179730049727682,4.498230312277729e-10
WB_SMALL50XENDEMIC100,Endemic species,0.5213268051449951,4.955745762401828e-16,-0.1886667610960336,0.00674553212285539
WB_TPROB80,Threatened species probability,0.5946527307808818,1.8019033318230948e-21,-0.3302781685726623,1.3224087855163414e-06
