continent,num_countries,countries_with_studies,total_studies,median_studies,mean_studies,max_studies,coverage_pct,studies_per_country,concentration
Asia,50,39,3808,5.5,73.23076923076923,1600,78,76.16,43.49514563106796
North America,38,17,1386,0,36.473684210526315,909,44.73684210526316,36.473684210526315,15.83095374071959
Europe,25,15,1370,1,54.8,1062,60,54.8,15.64820102798401
South America,13,11,887,27,68.23076923076923,508,84.61538461538461,68.23076923076923,10.131353512278698
Africa,54,35,820,2,15.185185185185185,198,64.81481481481481,15.185185185185185,9.366076527698459
Oceania,24,6,400,0,16.666666666666668,223,25,16.666666666666668,4.568817818389491
Antarctica,1,1,75,75,75,75,100,75,0.8566533409480296
Seven seas (open ocean),8,2,9,0,1.125,6,25,1.125,0.10279840091376355
