continent,num_countries,countries_with_studies,total_studies,median_studies,mean_studies,max_studies,coverage_pct,studies_per_country,concentration
Asia,51,39,3808,5,71.84905660377359,1600,76.47058823529412,74.66666666666667,44.17120983644589
North America,38,17,1386,0,36.473684210526315,909,44.73684210526316,36.473684210526315,16.077021227235818
Europe,50,38,1236,5.5,24.72,206,76,24.72,14.33708386498086
South America,13,11,887,27,68.23076923076923,508,84.61538461538461,68.23076923076923,10.288829602134324
Africa,54,35,820,2,15.185185185185185,198,64.81481481481481,15.185185185185185,9.511657580327109
Oceania,24,6,400,0,16.666666666666668,223,25,16.666666666666668,4.639832966013223
Antarctica,1,1,75,75,75,75,100,75,0.8699686811274794
Seven seas (open ocean),8,2,9,0,1.125,6,25,1.125,0.10439624173529753
