iso_a3,country_name,study_count,study_count_percentile,bias_class,gdp_current_usd,gdp_log10,gdp_bias_class
CHN,China,1600,1,Over-studied (top 10%),18743803170827.2,13.272857715075011,Developing + high studies (research focus)
USA,United States,909,0.9957264957264957,Over-studied (top 10%),28750956130731.2,13.458652291995941,Developing + high studies (research focus)
IND,India,709,0.9914529914529915,Over-studied (top 10%),3909891533858.08,12.592164709595279,Developing + high studies (research focus)
BRA,Brazil,508,0.9871794871794872,Over-studied (top 10%),2185821648943.86,12.339614723011916,Developing + high studies (research focus)
CAN,Canada,225,0.9829059829059829,Over-studied (top 10%),2243636826633.76,12.350952559824094,Developing + high studies (research focus)
AUS,Australia,223,0.9786324786324786,Over-studied (top 10%),1757022451652.83,12.244777311049441,Developing + high studies (research focus)
IDN,Indonesia,213,0.9743589743589743,Over-studied (top 10%),1396300098190.97,12.144978768560598,Developing + high studies (research focus)
ITA,Italy,206,0.9700854700854701,Over-studied (top 10%),2380825077243.59,12.376727488316035,Developing + high studies (research focus)
NER,Niger,198,0.9658119658119658,Over-studied (top 10%),19876128485.7857,10.298331795503932,Developing + high studies (research focus)
EGY,Egypt,177,0.9615384615384616,Over-studied (top 10%),389059911003.566,11.590016483111897,Developing + high studies (research focus)
THA,Thailand,176,0.9572649572649573,Over-studied (top 10%),526517658841.684,11.721412941540292,Developing + high studies (research focus)
KOR,Korea,174,0.9529914529914529,Over-studied (top 10%),1875388209406.8,12.273091181264805,Developing + high studies (research focus)
ESP,Spain,161,0.9487179487179487,Over-studied (top 10%),1725671652742.19,12.236958165094311,Developing + high studies (research focus)
NZL,New Zealand,160,0.9444444444444444,Over-studied (top 10%),260172385097.616,11.415261198312523,Developing + high studies (research focus)
ARG,Argentina,148,0.9401709401709402,Over-studied (top 10%),638365455340.04,11.805069377463727,Developing + high studies (research focus)
JPN,Japan,147,0.9358974358974359,Over-studied (top 10%),4027597523550.58,12.605046065150125,Developing + high studies (research focus)
IRN,Iran,136,0.9316239316239316,Over-studied (top 10%),475252089215.416,11.676924034706827,Developing + high studies (research focus)
MEX,Mexico,133,0.9273504273504274,Over-studied (top 10%),1856365616165.94,12.268663515765258,Developing + high studies (research focus)
ZAF,South Africa,117,0.9230769230769231,Over-studied (top 10%),401144998373.585,11.603301381625652,Developing + high studies (research focus)
DEU,Germany,113,0.9188034188034188,Over-studied (top 10%),4685592577804.69,12.670764523077906,Developing + high studies (research focus)
POL,Poland,105,0.9145299145299145,Over-studied (top 10%),917767106146.761,11.96273248801221,Developing + high studies (research focus)
PAK,Pakistan,85,0.9102564102564102,Over-studied (top 10%),371570000121.266,11.57004064259895,Developing + high studies (research focus)
MYS,Malaysia,82,0.9017094017094017,Over-studied (top 10%),422227005428.688,11.62554600711845,Developing + high studies (research focus)
GBR,United Kingdom,82,0.9017094017094017,Over-studied (top 10%),3686033044482.13,12.566559224255794,Developing + high studies (research focus)
ATA,Antarctica,75,0.8974358974358975,Well-studied (top 25%),NA,NA,GDP unknown
SAU,Saudi Arabia,71,0.8931623931623932,Well-studied (top 25%),1239804533333.33,12.093353220012046,Balanced
FRA,France,69,0.8888888888888888,Well-studied (top 25%),3160442622465.08,12.49974791016038,Balanced
TWN,Taiwan,67,0.8846153846153846,Well-studied (top 25%),NA,NA,GDP unknown
NOR,Norway,65,0.8803418803418803,Well-studied (top 25%),483592648313.301,11.684479689994287,Balanced
FIN,Finland,63,0.8760683760683761,Well-studied (top 25%),298696961297.656,11.47523080446428,Balanced
CHL,Chile,61,0.8717948717948718,Well-studied (top 25%),330267137371.592,11.518865362161858,Balanced
NLD,Netherlands,54,0.8675213675213675,Well-studied (top 25%),1214927698572.66,12.084550433452657,Balanced
RUS,Russia,52,0.8632478632478633,Well-studied (top 25%),2173835806671.66,12.337226738025617,Balanced
CHE,Switzerland,51,0.8589743589743589,Well-studied (top 25%),936564198048.516,11.97153755202907,Balanced
PAN,Panama,47,0.8504273504273504,Well-studied (top 25%),86523959131.7472,10.93713638351014,Balanced
PRT,Portugal,47,0.8504273504273504,Well-studied (top 25%),313271185085.102,11.495920449991663,Balanced
COL,Colombia,45,0.8418803418803419,Well-studied (top 25%),418818154879.271,11.622025499160088,Balanced
TUR,Turkey,45,0.8418803418803419,Well-studied (top 25%),1359123768774.12,12.13325900761409,Balanced
SWE,Sweden,38,0.8376068376068376,Well-studied (top 25%),603715224265.798,11.780832127868148,Balanced
DZA,Algeria,37,0.8333333333333334,Well-studied (top 25%),269322281664.773,11.430272285100166,Balanced
BGD,Bangladesh,35,0.8205128205128205,Well-studied (top 25%),450119432068.852,11.653327762234428,Balanced
NGA,Nigeria,35,0.8205128205128205,Well-studied (top 25%),252261880141.151,11.401851628261783,Balanced
LKA,Sri Lanka,35,0.8205128205128205,Well-studied (top 25%),98963185509.6499,10.995473666279482,Balanced
CMR,Cameroon,34,0.8076923076923077,Well-studied (top 25%),53296694320.2057,10.726700273135114,Balanced
