total_rows,unique_papers,unique_interactions,unique_countries,unique_biomes,unique_fungal_ids,unique_plant_ids,doc_type_group,plant_coverage_percent,fungal_coverage_percent
47505,15681,29874,303,1342,3387,3548,Abstract,0.6899861530715005,1.4233120311197556
17789,3070,10248,180,628,1680,1756,Full-Text,0.35535204766700235,0.6599055293136983
