analysis,n,pearson_r,pearson_p,spearman_rho,spearman_p,doc_type_group
study_count_vs_log10_gdp,210,0.4675130278152509,8.436184724745316e-13,0.7799319747195227,3.2876414065353425e-44,Abstract
study_count_vs_latitude,234,0.06770662463091319,0.30237677531759716,0.2127957760876678,0.0010554550441228164,Abstract
study_count_vs_log10_gdp,210,0.4696960799460744,6.394282897208822e-13,0.8345340078837651,9.385017271824132e-56,Full-Text
study_count_vs_latitude,234,0.074896315573842,0.25380268534201234,0.20753279106562122,0.001410614814537928,Full-Text
