phylum,known_families,studied_families,coverage_percent
,1150,0,0
Ascomycota,442,180,40.723981900452486
Basidiomycota,314,64,20.38216560509554
Chytridiomycota,51,2,3.9215686274509802
Mucoromycota,28,8,28.571428571428573
Glomeromycota,9,5,55.55555555555556
Blastocladiomycota,7,0,0
Entomophthoromycota,5,0,0
Zoopagomycota,5,0,0
Neocallimastigomycota,1,0,0
Sanchytriomycota,1,0,0
Zygomycota,1,0,0
