iso_a3,country_name,study_count,study_count_percentile,bias_class,gdp_current_usd,gdp_log10,gdp_bias_class
CHN,China,1034,1,Over-studied (top 10%),18743803170827.2,13.272857715075011,Developing + high studies (research focus)
USA,United States of America,708,0.9957081545064378,Over-studied (top 10%),28750956130731.2,13.458652291995941,Developing + high studies (research focus)
IND,India,427,0.9914163090128756,Over-studied (top 10%),3909891533858.08,12.592164709595279,Developing + high studies (research focus)
BRA,Brazil,285,0.9871244635193133,Over-studied (top 10%),2185821648943.86,12.339614723011916,Developing + high studies (research focus)
AUS,Australia,192,0.9828326180257511,Over-studied (top 10%),1757022451652.83,12.244777311049441,Developing + high studies (research focus)
CAN,Canada,179,0.9785407725321889,Over-studied (top 10%),2243636826633.76,12.350952559824094,Developing + high studies (research focus)
NER,Niger,158,0.9742489270386266,Over-studied (top 10%),19876128485.7857,10.298331795503932,Developing + high studies (research focus)
ITA,Italy,141,0.9699570815450643,Over-studied (top 10%),2380825077243.59,12.376727488316035,Developing + high studies (research focus)
THA,Thailand,129,0.9656652360515021,Over-studied (top 10%),526517658841.684,11.721412941540292,Developing + high studies (research focus)
NZL,New Zealand,128,0.9613733905579399,Over-studied (top 10%),260172385097.616,11.415261198312523,Developing + high studies (research focus)
ARG,Argentina,123,0.9570815450643777,Over-studied (top 10%),638365455340.04,11.805069377463727,Developing + high studies (research focus)
KOR,South Korea,121,0.9527896995708155,Over-studied (top 10%),1875388209406.8,12.273091181264805,Developing + high studies (research focus)
IRN,Iran,107,0.9484978540772532,Over-studied (top 10%),475252089215.416,11.676924034706827,Developing + high studies (research focus)
ESP,Spain,104,0.944206008583691,Over-studied (top 10%),1725671652742.19,12.236958165094311,Developing + high studies (research focus)
MEX,Mexico,96,0.9399141630901288,Over-studied (top 10%),1856365616165.94,12.268663515765258,Developing + high studies (research focus)
IDN,Indonesia,87,0.9313304721030042,Over-studied (top 10%),1396300098190.97,12.144978768560598,Developing + high studies (research focus)
JPN,Japan,87,0.9313304721030042,Over-studied (top 10%),4027597523550.58,12.605046065150125,Developing + high studies (research focus)
EGY,Egypt,77,0.927038626609442,Over-studied (top 10%),389059911003.566,11.590016483111897,Developing + high studies (research focus)
GBR,United Kingdom,73,0.9227467811158798,Over-studied (top 10%),3686033044482.13,12.566559224255794,Developing + high studies (research focus)
ZAF,South Africa,68,0.9184549356223176,Over-studied (top 10%),401144998373.585,11.603301381625652,Developing + high studies (research focus)
ATA,Antarctica,64,0.9141630901287554,Over-studied (top 10%),NA,NA,GDP unknown
POL,Poland,60,0.9098712446351931,Over-studied (top 10%),917767106146.761,11.96273248801221,Developing + high studies (research focus)
DEU,Germany,47,0.9055793991416309,Over-studied (top 10%),4685592577804.69,12.670764523077906,Developing + high studies (research focus)
MYS,Malaysia,46,0.9012875536480687,Over-studied (top 10%),422227005428.688,11.62554600711845,Developing + high studies (research focus)
TWN,Taiwan,43,0.8969957081545065,Well-studied (top 25%),NA,NA,GDP unknown
CHL,Chile,40,0.8884120171673819,Well-studied (top 25%),330267137371.592,11.518865362161858,Balanced
PAK,Pakistan,40,0.8884120171673819,Well-studied (top 25%),371570000121.266,11.57004064259895,Balanced
CHE,Switzerland,39,0.8841201716738197,Well-studied (top 25%),936564198048.516,11.97153755202907,Balanced
FIN,Finland,38,0.8798283261802575,Well-studied (top 25%),298696961297.656,11.47523080446428,Balanced
PAN,Panama,36,0.8669527896995708,Well-studied (top 25%),86523959131.7472,10.93713638351014,Balanced
RUS,Russia,36,0.8669527896995708,Well-studied (top 25%),2173835806671.66,12.337226738025617,Balanced
SAU,Saudi Arabia,36,0.8669527896995708,Well-studied (top 25%),1239804533333.33,12.093353220012046,Balanced
PRT,Portugal,29,0.8626609442060086,Well-studied (top 25%),313271185085.102,11.495920449991663,Balanced
ECU,Ecuador,28,0.8540772532188842,Well-studied (top 25%),124676074700,11.095783120497925,Balanced
NLD,Netherlands,28,0.8540772532188842,Well-studied (top 25%),1214927698572.66,12.084550433452657,Balanced
COL,Colombia,27,0.8412017167381974,Well-studied (top 25%),418818154879.271,11.622025499160088,Balanced
MNG,Mongolia,27,0.8412017167381974,Well-studied (top 25%),23794540024.5132,10.376477313810273,Balanced
SWE,Sweden,27,0.8412017167381974,Well-studied (top 25%),603715224265.798,11.780832127868148,Balanced
DZA,Algeria,25,0.8283261802575107,Well-studied (top 25%),269322281664.773,11.430272285100166,Balanced
CMR,Cameroon,25,0.8283261802575107,Well-studied (top 25%),53296694320.2057,10.726700273135114,Balanced
LKA,Sri Lanka,25,0.8283261802575107,Well-studied (top 25%),98963185509.6499,10.995473666279482,Balanced
MAR,Morocco,23,0.8240343347639485,Well-studied (top 25%),160610994054.734,11.205775270045308,Balanced
CRI,Costa Rica,21,0.8068669527896996,Well-studied (top 25%),95350423176.5962,10.979322624837218,Balanced
NGA,Nigeria,21,0.8068669527896996,Well-studied (top 25%),252261880141.151,11.401851628261783,Balanced
TUN,Tunisia,21,0.8068669527896996,Well-studied (top 25%),51332285656.5422,10.71039060238513,Balanced
VNM,Vietnam,21,0.8068669527896996,Well-studied (top 25%),476388230307.175,11.6779610232226,Balanced
TUR,Turkey,20,0.8025751072961373,Well-studied (top 25%),1359123768774.12,12.13325900761409,Balanced
BGD,Bangladesh,17,0.7896995708154506,Well-studied (top 25%),450119432068.852,11.653327762234428,Balanced
PRY,Paraguay,17,0.7896995708154506,Well-studied (top 25%),44458118397.4445,10.647951078090832,Balanced
PER,Peru,17,0.7896995708154506,Well-studied (top 25%),289221969062.941,11.461231278527174,Balanced
ISR,Israel,16,0.7854077253218884,Well-studied (top 25%),540379921261.681,11.732699203697035,Balanced
KEN,Kenya,15,0.7811158798283262,Well-studied (top 25%),120339557905.932,11.080408411681423,Balanced
MLI,Mali,14,0.776824034334764,Well-studied (top 25%),26794747239.8805,10.428049664613708,Balanced
GEO,Georgia,13,0.7725321888412017,Well-studied (top 25%),34189423544.9955,10.533891778382495,Balanced
AUT,Austria,12,0.7510729613733905,Well-studied (top 25%),534790720466.822,11.728183862903675,Balanced
ETH,Ethiopia,12,0.7510729613733905,Well-studied (top 25%),149740297952.986,11.17533869295129,Balanced
PHL,Philippines,12,0.7510729613733905,Well-studied (top 25%),461617509782.355,11.664282273842717,Balanced
SVN,Slovenia,12,0.7510729613733905,Well-studied (top 25%),72972015197.3859,10.863156339907867,Balanced
VEN,Venezuela,12,0.7510729613733905,Well-studied (top 25%),119802963257.783,11.078467560211788,Balanced
CZE,Czechia,11,0.7424892703862661,Moderate coverage (top 50%),347034062928.479,11.540372104807693,Balanced
PRI,Puerto Rico,11,0.7424892703862661,Moderate coverage (top 50%),126029527033.705,11.100472306431126,Balanced
DNK,Denmark,10,0.721030042918455,Moderate coverage (top 50%),424524722037.047,11.627902986291733,Balanced
GHA,Ghana,10,0.721030042918455,Moderate coverage (top 50%),82308110386.4641,10.915442631354964,Balanced
