phylum,known_genera,studied_genera,coverage_percent
Tracheophyta,13758,1278,9.289140863497602
Bryophyta,895,18,2.011173184357542
Chlorophyta,679,8,1.1782032400589102
Rhodophyta,624,16,2.5641025641025643
Marchantiophyta,369,14,3.794037940379404
Unassigned,164,0,0
Charophyta,143,1,0.6993006993006993
Anthocerotophyta,18,2,11.11111111111111
Langiophytophyta,5,0,0
Glaucophyta,3,0,0
