iso_a3,country_name,study_count,study_count_percentile,bias_class,gdp_current_usd,gdp_log10,gdp_bias_class
CHN,China,590,1,Over-studied (top 10%),18743803170827.2,13.272857715075011,Developing + high studies (research focus)
IND,India,293,0.9957081545064378,Over-studied (top 10%),3909891533858.08,12.592164709595279,Developing + high studies (research focus)
BRA,Brazil,236,0.9914163090128756,Over-studied (top 10%),2185821648943.86,12.339614723011916,Developing + high studies (research focus)
USA,United States of America,229,0.9871244635193133,Over-studied (top 10%),28750956130731.2,13.458652291995941,Developing + high studies (research focus)
IDN,Indonesia,128,0.9828326180257511,Over-studied (top 10%),1396300098190.97,12.144978768560598,Developing + high studies (research focus)
EGY,Egypt,100,0.9785407725321889,Over-studied (top 10%),389059911003.566,11.590016483111897,Developing + high studies (research focus)
ITA,Italy,70,0.9742489270386266,Over-studied (top 10%),2380825077243.59,12.376727488316035,Developing + high studies (research focus)
DEU,Germany,69,0.9699570815450643,Over-studied (top 10%),4685592577804.69,12.670764523077906,Developing + high studies (research focus)
JPN,Japan,65,0.9656652360515021,Over-studied (top 10%),4027597523550.58,12.605046065150125,Developing + high studies (research focus)
ESP,Spain,60,0.9613733905579399,Over-studied (top 10%),1725671652742.19,12.236958165094311,Developing + high studies (research focus)
CAN,Canada,58,0.9570815450643777,Over-studied (top 10%),2243636826633.76,12.350952559824094,Developing + high studies (research focus)
KOR,South Korea,56,0.9527896995708155,Over-studied (top 10%),1875388209406.8,12.273091181264805,Developing + high studies (research focus)
ZAF,South Africa,51,0.9484978540772532,Over-studied (top 10%),401144998373.585,11.603301381625652,Developing + high studies (research focus)
POL,Poland,50,0.944206008583691,Over-studied (top 10%),917767106146.761,11.96273248801221,Developing + high studies (research focus)
THA,Thailand,47,0.9399141630901288,Over-studied (top 10%),526517658841.684,11.721412941540292,Developing + high studies (research focus)
PAK,Pakistan,45,0.9356223175965666,Over-studied (top 10%),371570000121.266,11.57004064259895,Developing + high studies (research focus)
AUS,Australia,43,0.9313304721030042,Over-studied (top 10%),1757022451652.83,12.244777311049441,Developing + high studies (research focus)
MEX,Mexico,40,0.9227467811158798,Over-studied (top 10%),1856365616165.94,12.268663515765258,Developing + high studies (research focus)
NER,Niger,40,0.9227467811158798,Over-studied (top 10%),19876128485.7857,10.298331795503932,Developing + high studies (research focus)
MYS,Malaysia,37,0.9184549356223176,Over-studied (top 10%),422227005428.688,11.62554600711845,Developing + high studies (research focus)
SAU,Saudi Arabia,36,0.9141630901287554,Over-studied (top 10%),1239804533333.33,12.093353220012046,Developing + high studies (research focus)
NZL,New Zealand,34,0.9098712446351931,Over-studied (top 10%),260172385097.616,11.415261198312523,Developing + high studies (research focus)
ARG,Argentina,33,0.9055793991416309,Over-studied (top 10%),638365455340.04,11.805069377463727,Developing + high studies (research focus)
IRN,Iran,29,0.9012875536480687,Over-studied (top 10%),475252089215.416,11.676924034706827,Developing + high studies (research focus)
NLD,Netherlands,27,0.8969957081545065,Well-studied (top 25%),1214927698572.66,12.084550433452657,Balanced
TUR,Turkey,26,0.8927038626609443,Well-studied (top 25%),1359123768774.12,12.13325900761409,Balanced
FIN,Finland,25,0.8841201716738197,Well-studied (top 25%),298696961297.656,11.47523080446428,Balanced
TWN,Taiwan,25,0.8841201716738197,Well-studied (top 25%),NA,NA,GDP unknown
CHL,Chile,23,0.8798283261802575,Well-studied (top 25%),330267137371.592,11.518865362161858,Balanced
BGD,Bangladesh,19,0.871244635193133,Well-studied (top 25%),450119432068.852,11.653327762234428,Balanced
COL,Colombia,19,0.871244635193133,Well-studied (top 25%),418818154879.271,11.622025499160088,Balanced
PRT,Portugal,18,0.8669527896995708,Well-studied (top 25%),313271185085.102,11.495920449991663,Balanced
CZE,Czechia,17,0.8583690987124464,Well-studied (top 25%),347034062928.479,11.540372104807693,Balanced
RUS,Russia,17,0.8583690987124464,Well-studied (top 25%),2173835806671.66,12.337226738025617,Balanced
AUT,Austria,15,0.8497854077253219,Well-studied (top 25%),534790720466.822,11.728183862903675,Balanced
SWE,Sweden,15,0.8497854077253219,Well-studied (top 25%),603715224265.798,11.780832127868148,Balanced
HUN,Hungary,14,0.8412017167381974,Well-studied (top 25%),222722738925.641,11.34776455868558,Balanced
NGA,Nigeria,14,0.8412017167381974,Well-studied (top 25%),252261880141.151,11.401851628261783,Balanced
ATA,Antarctica,13,0.8283261802575107,Well-studied (top 25%),NA,NA,GDP unknown
KEN,Kenya,13,0.8283261802575107,Well-studied (top 25%),120339557905.932,11.080408411681423,Balanced
CHE,Switzerland,13,0.8283261802575107,Well-studied (top 25%),936564198048.516,11.97153755202907,Balanced
DZA,Algeria,12,0.8154506437768241,Well-studied (top 25%),269322281664.773,11.430272285100166,Balanced
