continent,num_countries,countries_with_studies,total_studies,median_studies,mean_studies,max_studies,coverage_pct,studies_per_country,concentration
Asia,51,34,1487,2,28.056603773584907,590,66.66666666666667,29.15686274509804,47.87508048937541
Europe,50,35,500,3,10,70,70,10,16.097875080489377
North America,38,12,364,0,9.578947368421053,229,31.57894736842105,9.578947368421053,11.719253058596266
South America,13,11,353,10,27.153846153846153,236,84.61538461538461,27.153846153846153,11.3650998068255
Africa,54,32,307,1,5.685185185185185,100,59.25925925925926,5.685185185185185,9.884095299420476
Oceania,24,5,81,0,3.375,43,20.833333333333332,3.375,2.6078557630392787
Antarctica,1,1,13,13,13,13,100,13,0.41854475209272374
Seven seas (open ocean),8,1,1,0,0.125,1,12.5,0.125,0.03219575016097875
