phylum,known_families,studied_families,coverage_percent
Tracheophyta,476,183,38.445378151260506
Bryophyta,124,1,0.8064516129032258
Rhodophyta,107,6,5.607476635514018
Chlorophyta,102,4,3.9215686274509802
Marchantiophyta,72,2,2.7777777777777777
Charophyta,20,0,0
Unassigned,7,0,0
Anthocerotophyta,4,0,0
Langiophytophyta,2,0,0
Glaucophyta,1,0,0
