phylum,known_genera,studied_genera,coverage_percent
Tracheophyta,13758,791,5.749382177642099
Bryophyta,895,1,0.11173184357541899
Chlorophyta,679,5,0.7363770250368189
Rhodophyta,624,6,0.9615384615384616
Marchantiophyta,369,3,0.8130081300813008
Unassigned,164,0,0
Charophyta,143,0,0
Anthocerotophyta,18,0,0
Langiophytophyta,5,0,0
Glaucophyta,3,0,0
