phylum,known_families,studied_families,coverage_percent
,1150,0,0
Ascomycota,442,117,26.470588235294116
Basidiomycota,314,38,12.101910828025478
Chytridiomycota,51,0,0
Mucoromycota,28,8,28.571428571428573
Glomeromycota,9,7,77.77777777777777
Blastocladiomycota,7,1,14.285714285714286
Entomophthoromycota,5,0,0
Zoopagomycota,5,0,0
Neocallimastigomycota,1,0,0
Sanchytriomycota,1,0,0
Zygomycota,1,0,0
