"code","iso","country","GHP.raw.1960","GHP.raw.1961","GHP.raw.1962","GHP.raw.1963","GHP.raw.1964","GHP.raw.1965","GHP.raw.1966","GHP.raw.1967","GHP.raw.1968","GHP.raw.1969","GHP.raw.1970","GHP.raw.1971","GHP.raw.1972","GHP.raw.1973","GHP.raw.1974","GHP.raw.1975","GHP.raw.1976","GHP.raw.1977","GHP.raw.1978","GHP.raw.1979","GHP.raw.1980","GHP.raw.1981","GHP.raw.1982","GHP.raw.1983","GHP.raw.1984","GHP.raw.1985","GHP.raw.1986","GHP.raw.1987","GHP.raw.1988","GHP.raw.1989","GHP.raw.1990","GHP.raw.1991","GHP.raw.1992","GHP.raw.1993","GHP.raw.1994","GHP.raw.1995","GHP.raw.1996","GHP.raw.1997","GHP.raw.1998","GHP.raw.1999","GHP.raw.2000","GHP.raw.2001","GHP.raw.2002","GHP.raw.2003","GHP.raw.2004","GHP.raw.2005","GHP.raw.2006","GHP.raw.2007","GHP.raw.2008","GHP.raw.2009","GHP.raw.2010","GHP.raw.2011","GHP.raw.2012","GHP.raw.2013","GHP.raw.2014","GHP.raw.2015","GHP.raw.2016","GHP.raw.2017","GHP.raw.2018","GHP.raw.2019","GHP.raw.2020","GHP.raw.2021","GHP.raw.2022"
4,"AFG","Afghanistan",0.00154450079870441,0.00146499605291462,0.00148510975277038,0.00149813986483408,0.00151542513106242,0.00154250110679671,0.00156681642607105,0.00158842733874931,0.00158838644529673,0.00148527288725757,0.00153762612623083,0.00151624251311,0.00125656600209784,0.0012912768782144,0.00135144848016753,0.00140829356712798,0.00138416763995076,0.0013659072898313,0.00131728816151559,0.00129552550196578,0.0013201180920932,0.00149271211214486,0.00165671498114416,0.0016510961136249,0.00152450892444731,0.00145960399295568,0.0012811469777827,0.00131966651630914,0.00131579886878356,0.00122660226374214,0.00115130601836632,0.00117805624747422,0.00102079721280641,0.000895668234816935,0.000824222029525805,0.000812563402495853,0.00084816434831128,0.000873529153340646,0.000889411485301679,0.00090575603907356,0.000803522614921305,0.000714777847440086,0.000805185207895794,0.000782075549557861,0.000739920150469031,0.000763723777344579,0.000748200289735048,0.000772457880947297,0.000871347635650573,0.000945177923195468,0.00107115836608528,0.00117445148931985,0.00106500373738626,0.00100670554511718,0.000991554625899889,0.000961346051856728,0.000917655283209178,0.000922696835640174,0.000935373572646163,0.000912864137374073,0.000889545347239963,0.00088833482324828,0.000864763221001552
8,"ALB","Albania",0.00326018530640532,0.00332602665904394,0.00337269020884581,0.0029996545109248,0.00287215805307009,0.00297929745608237,0.00314870617908954,0.00317638841860576,0.00327842384598809,0.00325439359956765,0.00344525499576495,0.00362729010662529,0.00421242199396618,0.00399418979105618,0.00347483016008344,0.00354711130971378,0.00371970099408148,0.0040085993051567,0.00439550795953646,0.00474820416136429,0.00378652307919223,0.00451502291561233,0.00455760942982763,0.00468373178060883,0.00455883452932401,0.00444809747862193,0.0044672674463703,0.00422401513313495,0.00411801828569033,0.00457192594423297,0.00327115220244874,0.00284823068111883,0.00207570345255299,0.00209458338081573,0.00223246319619961,0.0022882807961363,0.00217729042691755,0.0019327052519058,0.00198290542916189,0.00240953063119444,0.00247537361556276,0.00253710035347675,0.00274734661636638,0.0029569391185342,0.00288480025825626,0.0029271562642229,0.00280790075457254,0.00279676163622625,0.00288547915433925,0.00286733305573764,0.00301842142572951,0.00320480587361605,0.00307675042175203,0.00323612355904171,0.00351664062237496,0.00310543087805191,0.00308872633899299,0.00330753433634996,0.00315735034110995,0.00307449072112458,0.00307431488199004,0.00298259181748152,0.00301729975207338
12,"DZA","Algeria",0.00311255971158284,0.00314894943421305,0.0029347348498915,0.0026845620648214,0.00263248984166318,0.00287847638594147,0.00333941588327323,0.00316449821551286,0.00309325020353107,0.00335903299606213,0.0036707887657981,0.0038764550458583,0.0050764140617901,0.00568839666325645,0.00499179075470601,0.00484288703950376,0.00526928797038704,0.00540209968142926,0.00665680993866723,0.00573036056602377,0.00643045716034353,0.00507664563676169,0.00465645411046907,0.00528781656469187,0.00607153799373764,0.00605286872310991,0.00609261074163272,0.00632877397560228,0.00615275049855719,0.00598193310939409,0.00584787583686798,0.00575566620944379,0.00570847448984947,0.00583016244548875,0.00591520041922907,0.00633544417323619,0.00641497598986822,0.00575481527885267,0.0062544539807393,0.00576661586792902,0.0056638551980347,0.00534808925081468,0.0052824028288234,0.00556495697137415,0.00534713732340522,0.00590461955195097,0.00577444642963815,0.00570604487377225,0.00573384865215476,0.00568447616280265,0.00571048070280305,0.00577845936732368,0.00601656208420877,0.00599515860756383,0.00623670648244105,0.00635637084484075,0.00630927255370314,0.00635134769178047,0.00639432044197793,0.00639778607958695,0.00600389078306604,0.0062989792519078,0.00615195556640747
20,"AND","Andorra",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,0.0104144934570367,0.0102548255583216,0.00999533893127106,0.00978223679761985,0.00950335042679031,0.00962401474701246,0.00999459054983086,0.0100212269255743,0.0100892216120026,0.0101676643058411,0.01027877210766,0.0100560454143321,0.00979158492004122,0.00949217259528867,0.00950754552662706,0.00937738330869641,0.00895426384612508,0.00909141848326681,0.00929883636841759,0.00919004224665547,0.00947478292481718,0.00913954114529454,0.00901971470012533,0.00879972536326313,0.00853272085003002,0.00854301285089064,0.0084907223600772,0.0082881482183729,0.00851998986842281,0.00819202808377978,0.00656454311454311,0.00634799238839469,0.0062217673683758
24,"AGO","Angola",0.00369700277468869,0.00362760784766104,0.00394781098094079,0.00391644991648076,0.00391710827325821,0.00390066384043985,0.00402868737949834,0.00382521331959685,0.00404861054789188,0.00443399355862474,0.00659702019722537,0.00386649379872465,0.00429252628297562,0.00454114730405007,0.0039737411400935,0.00428620782398052,0.00358787607550074,0.0039100626896383,0.00415710081147606,0.00509483533998185,0.00421059290969787,0.00357281091900832,0.00372641179813432,0.00374969623656169,0.00302105949452848,0.0030004772262467,0.00294643440275263,0.00386898496642925,0.00307034596505287,0.00319805788173135,0.00434386367515771,0.00415967853064666,0.00393135254516995,0.00409999783120364,0.00519365600102888,0.00548810321821474,0.00579579560524869,0.00572731580052706,0.00600369040991905,0.00572868079080245,0.00532941790447018,0.0051070399373857,0.0050439940919283,0.00513122782097565,0.0052017919565114,0.00494204520280821,0.00435867757094628,0.00426479603658436,0.00414731416104934,0.00403416769746402,0.00425199598289768,0.00406975881849473,0.00398610036164322,0.00389800104280074,0.00365382976078996,0.00369085919858719,0.00348021917895659,0.00328935253375747,0.00295648265245171,0.00284055272529059,0.00258089121169157,0.00245788519085447,0.00229395031621939
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",0.0015499349499476,0.00175046848608765,0.00273167976424361,0.00241257052857489,0.00257109641347334,0.00355006371135403,0.00678919904314114,0.0102397228037717,0.0169097210252482,0.0208695412757679,0.00820020769719609,0.00769164878259661,0.00692360769765824,0.00627024029288119,0.00781893550094989,0.0122231248535957,0.00747875449288951,0.00846176677012337,0.0089091607206703,0.00768038044235323,0.00366562437393087,0.00306983834286065,0.00597901304594441,0.00271560053816047,0.00368553287843089,0.0053353231459845,0.00533266627518853,0.00576736127297873,0.00597432402863305,0.0059315230372745,0.00527168551035877,0.00538631392023132,0.00530641674012898,0.0053382856882462,0.0054332746898855,0.0054018377730343,0.00556927275853176,0.00578143868123227,0.00584080774954528,0.0060508405467279,0.00608180534274865,0.00618868857836384,0.00659430014897338,0.00683194492475184,0.00704515397575404,0.00733268977951395,0.00770204586191977,0.0078208227662895,0.00774849911712772,0.0078418730924835,0.00738619055954256,0.00725589595175777,0.00731332550128887,0.0072548651366713,0.00731826953247568,0.00742507087979898,0.00754634070933263,0.00753944182881726,0.00761887018968415,0.00784617171640414,0.00754674523007856,0.00727103342726895,0.00729476677796621
32,"ARG","Argentina",0.0082311895417417,0.00841940098396908,0.00842055671216681,0.00785389096126435,0.00825783212232603,0.00869532952186147,0.0089621312794518,0.00917202852762063,0.0091878805786443,0.00917027152063051,0.00931417338980425,0.00949360238627014,0.00962762050175514,0.009803442942006,0.00971024621667777,0.00966500817428076,0.00985441698332063,0.00991087253933255,0.00960209361971403,0.00973302785182953,0.00943339834267938,0.00895535772663665,0.00880725488850332,0.00884317067288116,0.00879746471770966,0.00843319811385846,0.00835323734540641,0.00850154976282494,0.00867437274253749,0.0084437728597813,0.00819954961840551,0.00823200311075748,0.00823421822115726,0.0080093914457835,0.00800376498815247,0.00816047298626116,0.00814360100713771,0.0082232237631642,0.0081300031867463,0.00840294920567936,0.00828456423462256,0.0079427524341262,0.00772290881698245,0.00824302397450411,0.00883310194003847,0.00882571667110181,0.00917344994989595,0.00904609464338185,0.00920553176654512,0.0086073898735184,0.00857088980491611,0.00855706146055894,0.00857093403987552,0.00850139320560845,0.00843346026033938,0.00843870273930087,0.0084433891028048,0.00845808782589886,0.00823958713716205,0.00815447525496547,0.00783774683649819,0.0082394989235556,0.00827037593371893
51,"ARM","Armenia",0.00240997502099842,0.00238229724294711,0.00242340831605194,0.0024923839221596,0.00252983631620761,0.00257802354403593,0.00265033688942834,0.00269373192249106,0.00269432517050103,0.00271757608105259,0.00276308530007864,0.00286894794161631,0.0029407790212024,0.00299473989880576,0.00303529203848937,0.00311669713109856,0.00314902569880334,0.00316002578504131,0.00318444644163056,0.00314884006889181,0.00322076609197301,0.00314680966214518,0.00317113021323643,0.00318733504949756,0.00318790122112174,0.00336274944410369,0.00320306375547827,0.0032295537223039,0.00354646358507261,0.00350639896739663,0.00328379663435331,0.00268551830494622,0.00221617957339366,0.00126897779006418,0.00132741653378802,0.00153995475850542,0.00129357506394746,0.00153339038343878,0.00157912828712077,0.00147852756867755,0.00164932272860257,0.00169397883843424,0.00160517678555187,0.00175403083296207,0.00187182136805246,0.00211605462768677,0.00224595124510736,0.00242662989842237,0.00260212018350746,0.00219574968221797,0.00215290536277281,0.00241966748788655,0.00277095244647222,0.00276255098857959,0.00279859811907569,0.00281622921904066,0.00292211636512296,0.00291510778790893,0.00298908006468499,0.0031439884933172,0.00335207278182488,0.00347862903826851,0.00326149287835167
533,"ABW","Aruba",0.0115989752425571,0.0118396069756907,0.0127820129634224,0.0120907177572501,0.0116261683944436,0.0103571582599046,0.00962656842824066,0.011754237420608,0.0109678368864072,0.0143051279408213,0.016023241349255,0.0140743839402788,0.0136507262925041,0.0149794531732667,0.0134598235352735,0.00972936239426259,0.0202500889563834,0.0106868103724789,0.00910923422337808,0.00949831309109112,0.00972691261341186,0.00923077284891131,0.0102041895877872,0.00535902484068566,0.0128012171471738,0.0148581881259706,0.00311639675925209,0.00727002079131109,0.00984615152645651,0.010383099572729,0.00777993517165814,0.00820358953200519,0.00805608758832915,0.00935334577114428,0.00922922366483737,0.00958904996755354,0.00951466688492388,0.0096814324806372,0.00997729476616679,0.00973534253513993,0.0276390074185475,0.0274845475295233,0.0274774964317233,0.0286041445076105,0.02901192003421,0.0298188573605834,0.0291486214254336,0.029900623017554,0.0278058981999265,0.0271397824859896,0.0255285626015288,0.025257465839981,0.0136231980570354,0.00901188472006221,0.00905404367048285,0.00923464707405738,0.00903460056830101,0.00903913637268942,0.00881572261754214,0.00894940061254016,0.00892589576394427,0.00862646517332117,0.00870361716533856
