"code","iso","country","BCA.raw.1999","BCA.raw.2000","BCA.raw.2001","BCA.raw.2002","BCA.raw.2003","BCA.raw.2004","BCA.raw.2005","BCA.raw.2006","BCA.raw.2007","BCA.raw.2008","BCA.raw.2009","BCA.raw.2010","BCA.raw.2011","BCA.raw.2012","BCA.raw.2013","BCA.raw.2014","BCA.raw.2015","BCA.raw.2016","BCA.raw.2017","BCA.raw.2018","BCA.raw.2019","BCA.raw.2020","BCA.raw.2021","BCA.raw.2022"
4,"AFG","Afghanistan",0.00760827478683224,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00995172594519511,0.0278563129193854,0.0343667162817352,0.0405240864188081,0.0444966532012634,0.0487637865573705,0.0504136466560532,0.0477312784619384,0.0419841396622362,0.0330734300155511,0.0251644528478221,0.0204949441619662,0.0157824436202654,0.0138214179824607,0.0106972953850992
8,"ALB","Albania",-0.0397847224766028,0.0200090382239846,0.0700782642988331,0.090731477682156,0.110247804298651,0.119765395644664,0.114327568122483,0.0915532276512165,0.0422955463362895,0.00968144606615318,0.0116185369753992,0.00769124535435517,0.00457409122561603,-0.00933193166730364,-0.0154874811883975,-0.0235364393682017,-0.0330108086502875,-0.0547997803007038,-0.0842072199918474,-0.0997792437543851,-0.113662908309962,-0.14561215181209,-0.160889131080384,-0.177463828351724
12,"DZA","Algeria",0.0189447197102903,0.0153550697876987,0.00519694769852963,-0.00421523993815459,-0.00628634497914701,-0.00857132658015233,-0.00729983944660287,-0.00067954312170464,0.00626931977684086,0.0147533048895896,0.0254550865481737,0.0350211698115122,0.0335524689178563,0.0411809819042617,0.0461694625484397,0.048219370824822,0.0473709362482451,0.0413190852391419,0.0364826047642381,0.030358294812066,0.0256374773730956,0.0138346709073178,-0.00189494632953659,-0.0098041515900701
20,"AND","Andorra",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
24,"AGO","Angola",0.0196503649700281,0.0130333186316884,0.0106118345809252,0.0110688242913184,0.0102375776890933,0.00971866862584325,0.00895887749619706,0.0129773216614524,0.0188483079931394,0.0251904370449592,0.0332185874173903,0.037891240253489,0.0404373796589463,0.0409286056688032,0.044232230273179,0.0441477744775001,0.0391463708788313,0.0321776342049171,0.0211886838050319,0.0127569857948424,0.0098900288510908,-0.000845373401901444,-0.00154665168863761,-0.0025425578393257
660,"AIA","Anguilla",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
28,"ATG","Antigua and Barbuda",0.0205986392608408,0.0186814264859256,0.015465963432977,0.0023220372537005,-0.0105478548161657,-0.0270918290765862,-0.0354773214112757,-0.0399352537002588,-0.0298358991113798,-0.00996184459996947,0.00801960990072903,0.0187120179536155,0.00903498057014063,-0.00103048345688086,-0.00721727437516643,-0.0148218571775756,-0.0225083607934756,-0.0352565564956324,-0.0395550180084935,-0.0384305221581667,-0.0217144804221832,-0.00623873088259628,-0.0127524388838896,-0.00993301139497678
32,"ARG","Argentina",-0.00138598718819597,-0.0201762625030154,-0.0422220223193205,-0.0451165860673909,-0.0429749576863863,-0.0317617729283079,-0.0170746337347716,-0.00621505686147408,-0.000186462874365806,0.0148477960668489,0.0210821628135041,0.0248261772565381,0.0219744239650064,0.0107079514160366,0.00828040749107872,0.00234115297783077,-0.0020336017227971,-0.00832585002503355,-0.006132582843086,-0.00425280620212497,-0.00691978968824399,-0.00598692671675311,-0.00506800696013664,-0.0042814309436366
51,"ARM","Armenia",-0.136424117910464,-0.157539406533465,-0.160564223044893,-0.10343909653348,-0.0568664565419872,-0.0384804783712976,-0.0231359825644431,-0.00762898655715316,0.00426305824339246,0.016169851622905,0.0214575154967096,0.0229219983038287,0.0211835082253227,0.0173860435373852,0.0140251737688639,0.0113659460584161,0.024290020082498,0.0360640497001339,0.0319997653506026,0.0383416535648429,0.03534014829363,0.0146559356622895,-0.00418720274056884,-0.0243627792980817
533,"ABW","Aruba",-0.0021557682462671,0.00751856038528409,0.0206822077830051,0.0099709825143397,-0.000637741215158826,-0.0167566844094766,-0.028454731635055,-0.0371801926893038,-0.0362549316082373,-0.0270580948767897,-0.0176027161794871,-0.00167837982808154,-0.0127567395411302,-0.022562635865024,-0.0346015742517809,-0.0490566395877744,-0.0648083114336119,-0.076287953193956,-0.0840196557238658,-0.0762517646258354,-0.0436318942340904,-0.0130196603941955,-0.0266399696511494,-9999
36,"AUS","Australia",-0.00448934544882018,-0.0145383399706235,-0.0276169572402176,-0.0354146529686575,-0.0269616101866242,-0.0216118503020783,-0.0112800150615262,-0.00383484095580186,0.0029808972315708,0.00881805551475545,0.00975028843771164,0.00863056595763556,0.00535081359298184,0.00581121827357789,0.00827760328527782,0.00848402652398428,0.00770774394757412,0.00493004682583664,0.00463140870107415,0.00773737370016114,0.00672833177927767,0.00349080998032125,0.00116174249010292,0.000416726777062504
40,"AUT","Austria",0.0207830608994559,0.0014026894339938,-0.0092780461468407,-0.0248067970467994,-0.0326594507919343,-0.0399131307862802,-0.0445944089523693,-0.0259480504360457,-0.0129627249170359,-0.0011912997826439,0.00155688201620308,-0.00713308742343055,-0.0199652396016556,-0.0406187789132685,-0.0579824121903632,-0.0751876478953114,-0.0843385319390553,-0.089206636799738,-0.0931308179694325,-0.0983089601916202,-0.102746719801333,-0.0960992462429304,-0.0829758431340346,-0.073181083873877
