"code","iso","country","HFD.raw.1990","HFD.raw.1991","HFD.raw.1992","HFD.raw.1993","HFD.raw.1994","HFD.raw.1995","HFD.raw.1996","HFD.raw.1997","HFD.raw.1998","HFD.raw.1999","HFD.raw.2000","HFD.raw.2001","HFD.raw.2002","HFD.raw.2003","HFD.raw.2004","HFD.raw.2005","HFD.raw.2006","HFD.raw.2007","HFD.raw.2008","HFD.raw.2009","HFD.raw.2010","HFD.raw.2011","HFD.raw.2012","HFD.raw.2013","HFD.raw.2014","HFD.raw.2015","HFD.raw.2016","HFD.raw.2017","HFD.raw.2018","HFD.raw.2019","HFD.raw.2020","HFD.raw.2021"
4,"AFG","Afghanistan",11489.1808644396,11430.187899291,11227.7139472085,11090.6075716974,11159.0561683463,11256.3521562292,11382.9806675072,11481.7330556398,11528.7492692788,11553.8290209845,11597.3424098469,11591.7204560864,11112.641321245,10918.2992170623,10726.8361072468,10480.398909249,10145.3133277922,9798.20051161383,9472.28618005837,9095.3017888197,8794.3017040722,8494.65723945416,8167.23868712835,7913.76284743048,7680.41236313935,7479.28693843089,7298.84253127063,7127.12526907115,6971.810840359,6859.43233981772,6650.60230617631,6450.93607611259
8,"ALB","Albania",3945.69564939529,3990.19257064194,3811.9549547941,3630.33777533134,3399.33051670656,3402.79598013336,3457.21495470914,3374.34388735562,3210.29493399896,3043.5830352549,2917.17854281616,2718.6373377276,2601.37508891377,2488.70123747727,2288.84335983001,2067.00440717763,1792.91143116487,1488.57147529605,1283.48487309912,1083.99650514801,951.25733205968,853.50210566443,764.87003894872,687.92779858321,619.10265447636,556.83639828831,505.27290350601,455.146254477,404.740151861,368.18297025027,334.38600576038,345.90128706984
12,"DZA","Algeria",208.41509003906,200.16123472319,193.55672735466,186.69603304396,179.29131303895,171.72474177817,162.06209385347,149.79899573938,135.19600270651,122.90457547749,110.25111020739,97.22882799739,83.09272469061,69.75766484259,57.29365859857,47.17385369139,38.91358885734,31.30579334323,24.84393117165,19.59933686853,15.97227395205,13.34732794165,11.09367875143,9.29306690437,7.86655511045,6.72939104098,5.80124855093,5.04657849416,4.4565181457,3.95978912881,3.54247483645,3.82215679925
20,"AND","Andorra",0.39757887205,0.37500382588,0.35404717257,0.33010096882,0.31074832007,0.29360804133,0.27896717257,0.26300902285,0.24816512595,0.23349060615,0.21929863174,0.19946137934,0.18222977489,0.16709012494,0.15424246153,0.14298155384,0.1336431041,0.12424879427,0.11721013517,0.11129893824,0.10680042096,0.10394727547,0.10154748999,0.09946719252,0.09741142845,0.09445948273,0.09090816924,0.08681644497,0.08258805893,0.07869671325,0.07212236395,0.07394309425
24,"AGO","Angola",8258.87910291742,8178.54279700903,8075.98783545704,8053.13744207313,8009.34546060322,7880.63958324149,7621.49371540111,7399.8917560248,7252.75808106596,7052.041532301,6807.67425129052,6501.84480538368,6185.18226473717,5905.02227252937,5699.60957825245,5331.6737436274,5036.26040490145,4660.99246994477,4327.76546234173,3987.54334482402,3670.74664994403,3357.49863453342,3038.82519050491,2730.69925039681,2440.94291014376,2268.44126477453,2146.09293654106,2055.81467001022,1974.25303742005,1908.32521782173,1826.56444523182,1856.33071733491
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",60.12236351017,54.57556373603,48.57264730322,45.21034770756,40.0040587534,36.1306039914,31.84084970473,28.59207712123,25.72175414132,23.23891211141,20.84844807769,19.62315635195,18.38334899166,17.45755303235,16.60528081518,15.65819543284,14.28636526072,13.2242999264,11.64432192764,10.01390281565,9.2266096915,8.75498992483,8.45077232773,8.23893488151,7.9470277701,7.58515440499,7.11339175254,6.42144639598,5.68973762029,5.11505419923,4.40919103186,4.72175032866
32,"ARG","Argentina",254.35862908199,228.47732880923,206.73272702073,183.86755857043,160.84762484805,145.27232034134,128.64830275911,110.53648285025,97.68719392612,85.48770129352,75.50050335401,71.5540547269,70.16916482925,68.25776439388,63.4381642904,58.51829609538,53.45720547635,48.27694525238,40.109620074,33.92515053006,29.3385294519,26.09307860382,22.86733789466,20.44615443854,18.34538797366,17.30077595709,17.08491544507,15.9110978316,15.16212977983,14.71467375492,14.31295393859,12.92651940347
51,"ARM","Armenia",1585.02734361787,1754.91892896205,2023.70035572849,2234.7318919296,2259.16051067894,2281.20309255622,2315.89255572594,2240.38262823638,2206.86091904733,2209.08905044849,2138.73915629887,2034.54338258479,1837.14354615245,1638.32410931389,1409.25003304311,1206.91476210371,1021.94916084106,819.14365171541,650.73603725574,503.57711738689,394.59577997873,322.5208079993,260.87337270962,210.68706856756,177.14681883603,153.17475996924,134.40119086301,117.19309746442,105.19390368374,96.37148092236,90.22039169207,91.53911462266
533,"ABW","Aruba",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
