"code","iso","country","TCA.raw.2000"
528,"NLD","Netherlands",595483.76230638
540,"NCL","New Caledonia",1440330.50387027
554,"NZL","New Zealand",11255742.6007122
558,"NIC","Nicaragua",7776807.52116448
562,"NER","Niger",2.32870724518934
566,"NGA","Nigeria",10048731.3285808
570,"NIU","Niue",-8888
408,"PRK","North Korea",5196389.71427675
807,"MKD","North Macedonia",781684.416775691
578,"NOR","Norway",11739521.7846795
512,"OMN","Oman",0.359787440019531
586,"PAK","Pakistan",978655.889162418
585,"PLW","Palau",41263.4652091783
591,"PAN","Panama",5700499.75915412
598,"PNG","Papua New Guinea",42921809.0507529
600,"PRY","Paraguay",24296867.5525071
604,"PER","Peru",78087222.6830592
608,"PHL","Philippines",18599416.941341
616,"POL","Poland",10439489.7251151
620,"PRT","Portugal",2302481.42451336
634,"QAT","Qatar",-8888
178,"COG","Republic of Congo",26388373.1319187
642,"ROU","Romania",7915161.12535747
643,"RUS","Russia",761226496.94158
646,"RWA","Rwanda",497885.775446115
652,"BLM","Saint Barthelemy",621.950620423999
659,"KNA","Saint Kitts and Nevis",13259.9537494117
662,"LCA","Saint Lucia",50731.1858179625
670,"VCT","Saint Vincent and the Grenadines",29110.6141611665
882,"WSM","Samoa",-8888
674,"SMR","San Marino",829.54043271588
678,"STP","Sao Tome and Principe",14213.5747068487
682,"SAU","Saudi Arabia",6.80771239235242
686,"SEN","Senegal",39568.3625379719
688,"SRB","Serbia",2730300.36042798
690,"SYC","Seychelles",6209.62461939315
694,"SLE","Sierra Leone",5617878.28584828
702,"SGP","Singapore",18784.2309965232
534,"SXM","Sint Maarten",1022.17978238478
703,"SVK","Slovakia",2397197.26600283
705,"SVN","Slovenia",1293520.68720112
90,"SLB","Solomon Islands",2741617.78668098
706,"SOM","Somalia",87128.074783709
710,"ZAF","South Africa",5983115.28501287
410,"KOR","South Korea",5367962.22560963
728,"SSD","South Sudan",11386560.1047919
724,"ESP","Spain",11018923.0604052
144,"LKA","Sri Lanka",3939923.71486803
275,"PSE","State of Palestine",614.766898842448
729,"SDN","Sudan",72712.5600603193
740,"SUR","Suriname",13949809.5676835
752,"SWE","Sweden",27883714.0021027
756,"CHE","Switzerland",1544417.66033263
760,"SYR","Syria",105939.86933259
158,"TWN","Taiwan",2342180.5473948
762,"TJK","Tajikistan",60256.6484943265
834,"TZA","Tanzania",26406465.7748398
764,"THA","Thailand",19962441.0885643
626,"TLS","Timor-Leste",726234.451401696
768,"TGO","Togo",558803.51325529
776,"TON","Tonga",-8888
780,"TTO","Trinidad and Tobago",391844.281933988
788,"TUN","Tunisia",223827.619878476
792,"TUR","Turkiye",10060827.8056334
795,"TKM","Turkmenistan",10176.9356890597
796,"TCA","Turks and Caicos Islands",10851.3118848485
798,"TUV","Tuvalu",-8888
800,"UGA","Uganda",7764958.8545623
804,"UKR","Ukraine",11133284.6524519
784,"ARE","United Arab Emirates",0
826,"GBR","United Kingdom",3700301.79173509
840,"USA","United States of America",279900469.884125
858,"URY","Uruguay",1697322.42308113
860,"UZB","Uzbekistan",106176.257291829
548,"VUT","Vanuatu",1181152.06497089
862,"VEN","Venezuela",56533524.9709012
704,"VNM","Viet Nam",16551332.113414
876,"WLF","Wallis and Futuna Islands",-8888
732,"ESH","Western Sahara",-8888
887,"YEM","Yemen",-8888
894,"ZMB","Zambia",24050819.1117326
716,"ZWE","Zimbabwe",1414326.4246724
