"code","iso","country","TCL.raw.2005","TCL.raw.2006","TCL.raw.2007","TCL.raw.2008","TCL.raw.2009","TCL.raw.2010","TCL.raw.2011","TCL.raw.2012","TCL.raw.2013","TCL.raw.2014","TCL.raw.2015","TCL.raw.2016","TCL.raw.2017","TCL.raw.2018","TCL.raw.2019","TCL.raw.2020","TCL.raw.2021","TCL.raw.2022"
4,"AFG","Afghanistan",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
8,"ALB","Albania",0.00282519648016145,0.00197229072815785,0.00330900813071476,0.00480675248763848,0.00422117713634958,0.00420921992968066,0.00427875864987087,0.00433136460371057,0.00343693059990007,0.00334891846654836,0.00323415661889691,0.00315405593677964,0.0020112355873559,0.00185043468340629,0.00185729874374158,0.00211450185905383,0.00234796907009869,0.00247328793442116
12,"DZA","Algeria",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
20,"AND","Andorra",0.000297166649572314,0.00034947485283407,0.000359094251458924,0.000410723278226099,0.000203019260429825,0.000189207084476805,0.000129101008416838,0.000187285068500847,0.00016746110393274,0.000151832434106818,0.000163241180123407,0.000160233958367854,0.000115237633700665,0.000236517408020035,0.000306731143195033,0.00057327143433654,0.000590080516462752,0.000714314916622758
24,"AGO","Angola",0.00137242867532542,0.00128460410963368,0.00158935610126659,0.00177426544068858,0.00211671256128389,0.00235678622036826,0.00274015649548865,0.00286844916872112,0.00310450008789705,0.00327347212964287,0.00328039125475463,0.00344960978791262,0.0038102428384186,0.00407686581190494,0.00394099309158706,0.00425318543086417,0.0045012610001958,0.00445237883254659
660,"AIA","Anguilla",0.00165918380786325,0.001418206915844,0.00221690382006388,0.00309121454444622,0.00243718924374017,0.00213427321851781,0.00210674491848294,0.00147328570728057,0.000619619092434085,0.00047504686898591,0.000542178071428665,0.000562246382857649,0.000447495168203242,0.000275370167778631,0.000327007977703808,0.000240950735088074,0.000378615899725023,0.0002667370334271
28,"ATG","Antigua and Barbuda",0.00150529960725995,0.0018890626443127,0.00209090955797455,0.00238710695177153,0.00276040501477451,0.0023253962393349,0.0019598731767272,0.00192041377460226,0.00166838274547493,0.00128900284095064,0.00118313082285015,0.00106502418422956,0.00146405468791945,0.00292828749865408,0.00291312095166949,0.00297862227610297,0.00323461859882023,0.00287672148888089
32,"ARG","Argentina",0.00666534932901794,0.00752825191684359,0.00916738295785214,0.0109255040829833,0.0102932132655977,0.0105284909740902,0.0114635335507237,0.0117338672720731,0.0106287594450594,0.010276953331184,0.00908475213806406,0.00770834617772718,0.0064585272501827,0.00541563008976393,0.00492616511427038,0.00501389724253195,0.00486905320204303,0.00486037504436909
51,"ARM","Armenia",0.000526902715397034,0.000525660860357165,0.00045559707814584,0.000287693411106346,0.000358663610751076,0.000393194946290648,0.000419462150513696,0.00050445255943214,0.000462183341789895,0.000364448580811686,0.000269340229029281,0.00018387527492337,9.12913403059079e-05,6.99527161221091e-05,4.77339087620168e-05,5.75621643551578e-05,4.26692198392359e-05,2.29067013560203e-05
533,"ABW","Aruba",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
36,"AUS","Australia",0.00570760772689141,0.00555381443298443,0.00584031284265691,0.00504504617070385,0.00541846763275128,0.00595631191171657,0.00564889794853177,0.00454714426681904,0.00480432740623189,0.00517341599338554,0.00503552535116121,0.00649996627860092,0.00695915419385802,0.00691495689705446,0.0134418752565379,0.0233515801720278,0.0225480941528796,0.021990443474528
40,"AUT","Austria",0.00316236058193909,0.00342330189767638,0.00438120466764341,0.00495407938953068,0.00501347500289837,0.00478542000715937,0.0050393947680847,0.00409331288326081,0.00320538813350413,0.00292782883082455,0.00252307463294537,0.00248250916421899,0.00281678904923783,0.00367770068179536,0.00477422393303016,0.0056044190398301,0.00557865123356202,0.00564596478928212
31,"AZE","Azerbaijan",0.00056409255725474,0.000559662844630135,0.000457716839479573,0.000368323798138088,0.000334724550233831,0.000382546146825302,0.000322993453716094,0.000337193992598387,0.000286234142740375,0.000279362366976486,0.000196932809139109,0.000177702240551691,9.61120231103075e-05,8.44855435070706e-05,3.46205407482676e-05,3.39946224924476e-05,4.34145572657483e-05,5.38318145720437e-05
