"code","iso","country","WWC.raw.2015","WWC.raw.2016","WWC.raw.2017","WWC.raw.2018","WWC.raw.2019","WWC.raw.2020","WWC.raw.2021"
234,"FRO","Faeroe Islands",0.7998,-9999,-9999,-9999,-9999,-9999,-9999
238,"FLK","Falkland Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888
242,"FJI","Fiji",0.4911,-9999,-9999,-9999,-9999,-9999,-9999
246,"FIN","Finland",0.999,0.997,1,1,1,1,1
250,"FRA","France",1,1,1,1,1,1,-9999
258,"PYF","French Polynesia",0.5612,-9999,-9999,-9999,-9999,-9999,-9999
266,"GAB","Gabon",0.4579,-9999,-9999,-9999,-9999,-9999,-9999
270,"GMB","Gambia",0.0067,-9999,-9999,-9999,-9999,-9999,-9999
268,"GEO","Georgia",0.321,0.335,0.357,0.36,0.365,0.365,0.37
276,"DEU","Germany",0.99322,0.9929,0.993047,0.9932,0.993353,-9999,-9999
288,"GHA","Ghana",0.121,-9999,-9999,-9999,-9999,-9999,-9999
300,"GRC","Greece",0.934,0.934,0.948,0.948,0.942,0.947,0.947
304,"GRL","Greenland",-8888,-8888,-8888,-8888,-8888,-8888,-8888
308,"GRD","Grenada",0.5559,-9999,-9999,-9999,-9999,-9999,-9999
320,"GTM","Guatemala",0.355,-9999,-9999,-9999,-9999,-9999,-9999
831,"GGY","Guernsey",-8888,-8888,-8888,-8888,-8888,-8888,-8888
324,"GIN","Guinea",0,-9999,-9999,-9999,-9999,-9999,-9999
624,"GNB","Guinea-Bissau",0,-9999,-9999,-9999,-9999,-9999,-9999
328,"GUY","Guyana",0.2981,-9999,-9999,-9999,-9999,-9999,-9999
332,"HTI","Haiti",0.0416,-9999,-9999,-9999,-9999,-9999,-9999
336,"VAT","Holy See",-8888,-8888,-8888,-8888,-8888,-8888,-8888
340,"HND","Honduras",0.347,-9999,-9999,-9999,-9999,-9999,-9999
344,"HKG","Hong Kong",0.935,0.936,0.935,0.935,0.936,-9999,-9999
348,"HUN","Hungary",0.7659,0.7818,0.7919,0.8043,0.8034,0.8102,0.8352
352,"ISL","Iceland",0.869,-9999,-9999,-9999,-9999,-9999,-9999
356,"IND","India",0.327,-9999,-9999,-9999,-9999,-9999,-9999
360,"IDN","Indonesia",0.4524,-9999,-9999,-9999,-9999,-9999,-9999
364,"IRN","Iran",0.3,0.31,0.315,-9999,0.315,-9999,-9999
368,"IRQ","Iraq",0.271,0.333,0.291,0.28,0.3,0.289,-9999
372,"IRL","Ireland",0.935,0.937,0.941,0.944,0.944,0.9451,0.9475
833,"IMN","Isle of Man",0.852,-9999,-9999,-9999,-9999,-9999,-9999
376,"ISR","Israel",0.977,0.977,0.977,0.977,0.977,0.978,0.979
380,"ITA","Italy",0.869,-9999,-9999,-9999,-9999,-9999,-9999
388,"JAM","Jamaica",0.4683,-9999,-9999,-9999,-9999,-9999,-9999
392,"JPN","Japan",0.899,0.904,0.909,0.914,0.917,-9999,-9999
832,"JEY","Jersey",-8888,-8888,-8888,-8888,-8888,-8888,-8888
400,"JOR","Jordan",0.63,0.63,0.63,0.63,-9999,-9999,-9999
398,"KAZ","Kazakhstan",0.57,0.58,0.55,0.58,0.59,0.551,0.56
404,"KEN","Kenya",0.075,0.106,-9999,-9999,0.097,0.085,-9999
296,"KIR","Kiribati",0.2039,-9999,-9999,-9999,-9999,-9999,-9999
689,"XKX","Kosovo",-9999,-9999,-9999,0.0056,0.0056,-9999,-9999
414,"KWT","Kuwait",1,1,1,1,1,1,1
417,"KGZ","Kyrgyzstan",0.2685,-9999,-9999,-9999,-9999,-9999,-9999
418,"LAO","Laos",0.2471,-9999,-9999,-9999,-9999,-9999,-9999
428,"LVA","Latvia",0.7508,0.7334,0.7807,0.7616,0.7856,0.7747,0.7728
422,"LBN","Lebanon",0.55,-9999,-9999,-9999,-9999,-9999,-9999
426,"LSO","Lesotho",0.0287,-9999,-9999,-9999,-9999,-9999,-9999
430,"LBR","Liberia",0,-9999,-9999,-9999,-9999,-9999,-9999
434,"LBY","Libya",0.2939,-9999,-9999,-9999,-9999,-9999,-9999
438,"LIE","Liechtenstein",0.987,0.986772,0.986945,0.986979,0.987113,0.987147,0.987294
440,"LTU","Lithuania",0.7666,0.7748,0.776,0.7878,0.7922,0.7944,0.797705
442,"LUX","Luxembourg",-9999,-9999,-9999,-9999,-9999,-9999,0.994
446,"MAC","Macao",0.9156,-9999,-9999,-9999,-9999,-9999,-9999
450,"MDG","Madagascar",0,-9999,-9999,-9999,-9999,-9999,-9999
