"code","iso","country","TBN.raw.1990","TBN.raw.1991","TBN.raw.1992","TBN.raw.1993","TBN.raw.1994","TBN.raw.1995","TBN.raw.1996","TBN.raw.1997","TBN.raw.1998","TBN.raw.1999","TBN.raw.2000","TBN.raw.2001","TBN.raw.2002","TBN.raw.2003","TBN.raw.2004","TBN.raw.2005","TBN.raw.2006","TBN.raw.2007","TBN.raw.2008","TBN.raw.2009","TBN.raw.2010","TBN.raw.2011","TBN.raw.2012","TBN.raw.2013","TBN.raw.2014","TBN.raw.2015","TBN.raw.2016","TBN.raw.2017","TBN.raw.2018","TBN.raw.2019","TBN.raw.2020","TBN.raw.2021","TBN.raw.2022","TBN.raw.2023"
4,"AFG","Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0942415708940998,0.0942415708940998,0.0942415708940998,0.0942415708940998,0.0942415708940998,0.0942415708940998,0.0942415708940998,1.66125518350981,1.66151406119664,1.66151406119664,2.36597182048065,3.50344779315595,3.50344779315595,3.50344779315595,3.50344779315595
8,"ALB","Albania",0.991655915536081,0.991655915536081,0.991655915536081,0.991655915536081,0.991655915536081,1.31899154400428,3.43097626795898,3.55616174171467,3.55616174171467,5.36552968360257,5.36552968360257,5.36552968360257,5.38120793107319,5.60448172522437,6.28709860715103,7.97011771817961,9.82089555813707,11.1470653677051,13.5188457234284,13.5188457233781,13.7930220436177,15.3538994725342,16.2619689686277,16.6362605431629,16.6362605431629,16.6362605431629,16.6362605431629,16.6362605431629,18.196195406776,18.196195406776,18.196195406776,18.196195406776,18.196195406776,18.196195406776
12,"DZA","Algeria",0.0705083084176119,0.0705083084176119,0.0705083084176119,0.0740566686416164,0.0740566686416164,0.0740566686416164,0.0740566686416164,0.0740566686416164,0.0740566686416164,0.0740919207493545,0.0740919207493545,0.907173772312795,0.907173772312795,1.19144096518916,1.26069335719455,1.26069335719455,1.26069335719455,1.26069335719455,1.26069335719455,1.26904960198404,1.26904960198404,1.27328799604852,1.27328799604852,1.27328799604852,1.27328799604852,1.27328799604852,1.27328799604852,1.27328799604852,1.27328799604852,1.28415818172025,1.28415818172025,1.28415818172025,1.28415818172025,1.28415818172025
20,"AND","Andorra",5.33676705647596,5.33676705647596,5.33676705647596,5.37640299656292,5.37640299656292,5.37640299656292,5.37640299656292,5.37640299656292,5.37640299656292,5.37640299656292,17.8954983180618,17.8954983180618,17.8954983180618,17.9759371467368,17.9759371467368,17.9759371467368,17.9759371467368,17.9759371467368,17.9759371467368,17.9759371467368,17.9759371467368,17.9759371467368,17.9759371482188,26.9034895520127,26.9034895520127,26.9034895520127,26.9034895520127,26.9034895520127,26.9034895520127,26.9034895520127,26.9034895520127,26.9034895520127,26.9034895520127,26.9034895520127
24,"AGO","Angola",5.11785627705784,5.11785627705784,5.11785627705784,5.11785627705784,5.11785627705784,5.11785627705784,5.11785627705784,5.11785627705784,5.11785627705784,5.11785627705784,5.11785627705784,5.11785627705784,5.11785627705784,5.11785627705784,5.11785627705784,5.11785627705784,5.11785627705784,5.11785627705784,5.11785627705784,5.11785627705784,5.11785627705784,10.2342223605419,10.2342223605419,10.2342223605419,10.2342223605419,10.2342223605419,10.2342223605419,10.2342223605419,10.2342223605419,10.2342223605419,10.2342223605419,10.2342223605419,10.2342223605419,10.2342223605419
660,"AIA","Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"ATG","Antigua and Barbuda",5.43722311982567,5.43722311982567,5.43722311982567,5.43722311982567,5.43722311982567,5.43722311982567,5.43722311982567,5.43722311982567,5.43722311982567,5.43722311988948,5.43722311988948,5.43722311988948,5.43722311988948,5.43722311988948,5.43722311988948,15.2160380483622,15.2160380483622,15.2160380483622,15.4378059535505,15.4378059535505,15.4378059535505,15.4378059535505,15.4378059535505,15.4378059535505,15.4378059539788,15.4378059539788,15.4378059539788,15.4378059539788,15.4378059539788,15.4378059539788,15.4378059539788,15.4378059539788,15.4378059539788,15.4378059539788
32,"ARG","Argentina",4.18022443069627,4.21013840464836,4.36626944434194,4.51449909801339,4.96922929722475,5.06379211826204,5.14773336722411,5.37035369416402,5.39796525177108,5.7706229869815,6.17962219703522,6.38599935784097,6.48783089612288,6.75732300099449,7.01306557840858,7.15401991548963,7.23705756373749,7.2418083084889,7.27880420577642,7.68535456026507,7.69463556279899,7.76255633537636,7.79019436093222,7.79989976504792,7.84817621294464,8.03171906068482,8.0324851392953,8.07891008453483,8.13610272850451,8.14135738625454,8.14135738625454,8.35303515008823,8.35508555300845,8.35508555300845
51,"ARM","Armenia",NA,NA,7.99178823346243,18.6632040631582,18.6632040631582,18.6632040631582,18.6632040631582,18.6632040631582,18.6632040631582,18.6632040631582,18.6632040631582,18.675352886499,19.9920554627004,19.9920554627004,19.9920554627004,19.9920554627004,19.9920554627004,19.9975195206032,19.9975195206032,22.9141062326157,22.9191217366127,22.9191217366127,22.9191217366127,23.1531208977587,23.1531208977587,23.1531208977587,23.1531208977587,23.1531208977587,23.1531208977587,23.1531208977587,23.1531208977587,23.1531208977587,23.1531208977587,23.1531208977587
533,"ABW","Aruba",0.345999774377218,0.345999774377218,0.345999774377218,0.345999774377218,0.345999774377218,0.345999774377218,0.345999774377218,0.345999774377218,0.345999774377218,0.345999774377218,11.754464709365,11.754464709365,11.754464709365,11.754464709365,11.754464709365,11.754464709365,11.754464709365,11.754464709365,11.754464709365,11.754464709365,11.754464709365,11.754464709365,11.754464709365,11.754464709365,11.754464709365,11.754464709365,11.754464709365,11.754464709365,11.754464709365,11.754464709365,11.754464709365,11.754464709365,11.754464709365,11.754464709365
