"code","iso","country","WPC.raw.2016","WPC.raw.2017","WPC.raw.2018","WPC.raw.2019","WPC.raw.2020","WPC.raw.2021","WPC.raw.2022"
4,"AFG","Afghanistan",0.162504092032941,-9999,-9999,-9999,-9999,-9999,-9999
8,"ALB","Albania",0.378097552902349,-9999,-9999,-9999,-9999,-9999,-9999
12,"DZA","Algeria",0.27947581938708,0.284431400973723,0.289492736746031,0.294014560417791,0.247073265269046,0.250571048207309,-9999
20,"AND","Andorra",0.593456618543299,0.58704717563185,0.579547524832024,0.546073641249316,0.4994851994852,0.480173090062505,-9999
24,"AGO","Angola",0.144526849419302,-9999,-9999,-9999,-9999,-9999,-9999
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",0.337716973631907,-9999,-9999,-9999,-9999,-9999,-9999
32,"ARG","Argentina",-9999,-9999,-9999,0.41975,0.41975,0.41975,-9999
51,"ARM","Armenia",0.201344742276613,0.188856485682234,0.176985661205898,0.175155477499584,0.210623805981287,0.181344106908591,-9999
533,"ABW","Aruba",0.840360973167801,-9999,-9999,-9999,-9999,-9999,-9999
36,"AUS","Australia",0.5381894114181,0.512533075885121,0.506334712279901,0.496117693072636,-9999,-9999,-9999
40,"AUT","Austria",0.564059433184367,0.570385036042924,0.579038271613178,0.587843133721925,0.83414976386317,-9999,-9999
31,"AZE","Azerbaijan",0.251072976277554,0.246432222483293,0.272209592652393,0.310801513728941,0.361350010067234,0.392588995564602,-9999
44,"BHS","Bahamas",0.666707073155949,-9999,-9999,-9999,-9999,-9999,-9999
48,"BHR","Bahrain",1.28053785099972,1.47032163616445,1.22281246518434,0.918638745079361,0.946022749715899,1.1276436694652,-9999
50,"BGD","Bangladesh",-9999,-9999,-9999,0.0483555442680416,0.0430007353141842,0.0437765890318392,-9999
52,"BRB","Barbados",0.417968052998575,0.471761113518896,0.522117144818512,0.893371689628096,0.777853384302423,0.93088552631579,-9999
112,"BLR","Belarus",0.532084798401443,0.449030461137321,0.446277746450663,0.420726457344814,0.433946783522986,0.426784598044522,-9999
