"code","iso","country","OEB.raw.2003","OEB.raw.2004","OEB.raw.2005","OEB.raw.2006","OEB.raw.2007","OEB.raw.2008","OEB.raw.2009","OEB.raw.2010","OEB.raw.2011","OEB.raw.2012","OEB.raw.2013","OEB.raw.2014","OEB.raw.2015","OEB.raw.2016","OEB.raw.2017","OEB.raw.2018","OEB.raw.2019","OEB.raw.2020","OEB.raw.2021","OEB.raw.2022"
4,"AFG","Afghanistan",0.0980758952310235,0.0978441076103318,0.0986710845688081,0.100341205995229,0.0970018059324929,0.0970297609813003,0.0975546864974022,0.0973061238475061,0.098035432012841,0.101138136951019,0.0965373617951796,0.0936676886308982,0.0953535416589259,0.0948277322089757,0.0971806977897646,0.0998614810838523,0.101679148465071,0.100466479199267,0.100004285183909,0.0975362775968565
8,"ALB","Albania",0.0927657814842931,0.0888677402754103,0.094964167503915,0.0913921063343435,0.0925673404371321,0.0932619055788119,0.0906599924585322,0.0926600188602893,0.088517919633905,0.0912689564875946,0.0920999938505072,0.0882749796453189,0.0882446904570993,0.0895926424341305,0.0966615160579143,0.0943549658004016,0.0986059075713628,0.0965102213964679,0.0953326097135735,0.0919979014420356
12,"DZA","Algeria",0.0937693531468414,0.0908603156494118,0.0923227568041396,0.0923339222198091,0.0939345265118013,0.092357121650145,0.0920793354883263,0.0895463552997387,0.0922844964644453,0.09376080343054,0.0920484593797609,0.0892539933865219,0.089997491504849,0.0883892596651412,0.0906425589023443,0.0929572541886646,0.0971295248136714,0.0963357874624274,0.0948014687987415,0.0969942502272095
20,"AND","Andorra",0.0786029717956598,0.0743672853638219,0.0812314507416171,0.0811340271566923,0.0781367147962252,0.0773127408714121,0.0793548962340141,0.0787429047955407,0.0788556267785975,0.0801794487887468,0.0789920100862654,0.0772394653982841,0.0779730103209487,0.077770224175392,0.0801304537548214,0.079544911845627,0.0839218027316607,0.0781714075810125,0.0767671616477335,0.0770272369154243
24,"AGO","Angola",0.0583883777384554,0.0592587355213222,0.0607270750437173,0.0592003743132949,0.0621483301452708,0.0624434155495954,0.0608364973609882,0.0608025903449834,0.0635404752822532,0.0616927277033132,0.0615954631652163,0.0591134186668135,0.060016246481473,0.0586226345504624,0.0598818853485649,0.0573469386349743,0.0612804519958127,0.060377516769453,0.0624002939530675,0.0618505222993649
660,"AIA","Anguilla",0.0816347748041153,0.0825353413820267,0.0811739648381869,0.081106847524643,0.0791292627652486,0.0846779301762581,0.0817917600274086,0.0790436387062073,0.0813013936082522,0.0805625354250272,0.0834232007463773,0.0791469285885493,0.0788619632522265,0.0767883112033208,0.082489363849163,0.0896925295392672,0.0869885484377543,0.0859585449099541,0.0860889171560605,0.0856695716579755
28,"ATG","Antigua and Barbuda",0.0809643105086353,0.0805064612930572,0.080076320786719,0.0805346059992358,0.0786741613927815,0.0836963857075682,0.0805176468910994,0.0768817003678392,0.0794745989971691,0.0792854079217822,0.0821994803845882,0.0785232789952446,0.0785437586406867,0.0759338550269604,0.0815398047367732,0.0890785433627941,0.0861495842260343,0.0849260852016785,0.0852298213651887,0.0848111866938847
32,"ARG","Argentina",0.0497898806722882,0.0491773577664145,0.0559721973207826,0.0529782673959146,0.053464762580393,0.0567353829126837,0.0546005125191013,0.0558140266327967,0.0543409110287212,0.0538509169795503,0.0542118386772101,0.0534778402432093,0.0516702550765779,0.0533972120123203,0.056246399635856,0.0550544544789532,0.0579514088984066,0.0622489650211684,0.0564844759669204,0.0563794783516989
51,"ARM","Armenia",0.0813125154416858,0.0817256685660546,0.0839942523408238,0.0835455234259875,0.0819514447723992,0.0816952854299355,0.080833720688314,0.0815973139378494,0.0802260385019061,0.0814925053522855,0.0815151007219807,0.0782891518902938,0.0798482927300103,0.0785371655206641,0.0829008685781813,0.0850871155393918,0.0858661005830156,0.085425668852487,0.0862872861550161,0.0840497876351331
533,"ABW","Aruba",0.0795077040791512,0.0786390951701573,0.0801002449222973,0.0773581000311034,0.0784686524953161,0.0808872152652059,0.0775238081812859,0.0768713997943061,0.0792310178279877,0.0766550715480532,0.0792675011924335,0.0769279416118349,0.0788808454360281,0.0779032881770815,0.0811696133443287,0.083550583251885,0.082856097817421,0.0823508115751403,0.0799048255596842,0.0807610567126955
36,"AUS","Australia",0.0529341747342917,0.0517160657658035,0.0545810074763732,0.0547481993192039,0.0557527889669758,0.0549628674345303,0.0542532540046156,0.0512347480352225,0.0551195628191421,0.0576160841025559,0.0549523836238462,0.0567190090591123,0.0549409181271944,0.0521349618875465,0.0557531226079891,0.0585332975688712,0.0616493606334282,0.0593257209589437,0.0565892440628828,0.0561315222618589
40,"AUT","Austria",0.070592435026532,0.0661177107707133,0.0713042082179836,0.070730441290729,0.0727989004255312,0.0725877137867586,0.0706390798529683,0.0688676307485172,0.0700438015419756,0.0729060983205687,0.0707843455952735,0.0687518067590206,0.0720514299989776,0.0697189645632173,0.0756662066296411,0.0758919128873872,0.0788621515124603,0.0746008823894308,0.0727274366893953,0.0722520527932759
31,"AZE","Azerbaijan",0.0772278677410814,0.0764818794462223,0.0799312527191813,0.0787288381614707,0.0784803946611757,0.0777644756779548,0.0764213205879499,0.0763124384120125,0.0765921972859141,0.0790956707487388,0.0787038046700055,0.0766654078389454,0.0773024331048561,0.075025483473533,0.0827231020116437,0.08272891160213,0.0852099600388956,0.0841273467991504,0.0834728824343329,0.0826609747806072
