"code","iso","country","NRY.raw.1961","NRY.raw.1962","NRY.raw.1963","NRY.raw.1964","NRY.raw.1965","NRY.raw.1966","NRY.raw.1967","NRY.raw.1968","NRY.raw.1969","NRY.raw.1970","NRY.raw.1971","NRY.raw.1972","NRY.raw.1973","NRY.raw.1974","NRY.raw.1975","NRY.raw.1976","NRY.raw.1977","NRY.raw.1978","NRY.raw.1979","NRY.raw.1980","NRY.raw.1981","NRY.raw.1982","NRY.raw.1983","NRY.raw.1984","NRY.raw.1985","NRY.raw.1986","NRY.raw.1987","NRY.raw.1988","NRY.raw.1989","NRY.raw.1990","NRY.raw.1991","NRY.raw.1992","NRY.raw.1993","NRY.raw.1994","NRY.raw.1995","NRY.raw.1996","NRY.raw.1997","NRY.raw.1998","NRY.raw.1999","NRY.raw.2000","NRY.raw.2001","NRY.raw.2002","NRY.raw.2003","NRY.raw.2004","NRY.raw.2005","NRY.raw.2006","NRY.raw.2007","NRY.raw.2008","NRY.raw.2009","NRY.raw.2010","NRY.raw.2011","NRY.raw.2012","NRY.raw.2013","NRY.raw.2014","NRY.raw.2015","NRY.raw.2016","NRY.raw.2017","NRY.raw.2018","NRY.raw.2019","NRY.raw.2020","NRY.raw.2021"
4,"AFG","Afghanistan",0.108314444444444,0.110212222222222,0.102961111111111,0.109517777777778,0.111316666666667,0.101955555555556,0.111405555555556,0.114545555555556,0.119086666666667,0.104334444444444,0.0970711111111111,0.114051111111111,0.127275555555556,0.13273,0.137663333333333,0.142742222222222,0.126577777777778,0.133283333333333,0.126613333333333,0.119724444444444,0.115075555555556,0.109655555555556,0.106474444444444,0.103468888888889,0.0977511111111111,0.0932177777777778,0.100641111111111,0.0895022222222222,0.08435,0.0804288888888889,0.0875811111111111,0.0822233333333333,0.0960233333333333,0.101776666666667,0.104784444444444,0.108068888888889,0.119973333333333,0.123714444444444,0.110396666666667,0.07238,0.0772211111111111,0.120744444444444,0.137962222222222,0.109922222222222,0.167517777777778,0.142301111111111,0.176738888888889,0.123353333333333,0.199435555555556,0.182307777777778,0.145086666666667,0.196852222222222,0.200024444444444,0.208362222222222,0.185327777777778,0.184505555555556,0.162487777777778,0.141568888888889,0.190962222222222,0.204413333333333,0.165438888888889
8,"ALB","Albania",0.180281111111111,0.201126666666667,0.19275,0.224377777777778,0.203455555555556,0.23605,0.24495,0.240624444444444,0.248751111111111,0.251724444444444,0.252488888888889,0.262792222222222,0.28248,0.284743333333333,0.282524444444444,0.342535555555556,0.356342222222222,0.361445555555556,0.378162222222222,0.353558888888889,0.364436666666667,0.383434444444444,0.41964,0.409475555555556,0.400265555555556,0.410954444444444,0.400817777777778,0.375503333333333,0.409916666666667,0.33992,0.176153333333333,0.179481111111111,0.25579,0.237305555555556,0.238287777777778,0.196955555555556,0.229756666666667,0.237024444444444,0.199437777777778,0.221935555555556,0.20049,0.205371111111111,0.1916,0.20132,0.217118888888889,0.202168888888889,0.199292222222222,0.243571111111111,0.253074444444444,0.267155555555556,0.274984444444444,0.281935555555556,0.281327777777778,0.283102222222222,0.28268,0.283307777777778,0.285952222222222,0.280944444444444,0.27984,0.294261111111111,0.292821111111111
12,"DZA","Algeria",0.04795,0.0935644444444444,0.0944055555555555,0.0678044444444444,0.0770666666666667,0.0398433333333333,0.0678233333333333,0.0882022222222222,0.0778677777777778,0.0842133333333333,0.0740066666666667,0.0885622222222222,0.0647722222222222,0.0631755555555556,0.0972044444444444,0.0829,0.0484177777777778,0.0595344444444444,0.0648166666666667,0.0879055555555556,0.0733,0.06017,0.0568955555555556,0.0619544444444444,0.108366666666667,0.0945922222222222,0.0845966666666667,0.0525766666666667,0.08235,0.0677633333333333,0.131006666666667,0.116636666666667,0.06579,0.04997,0.0850444444444445,0.162733333333333,0.0492222222222222,0.108614444444444,0.0845522222222222,0.0516644444444444,0.100976666666667,0.0841177777777778,0.150982222222222,0.148928888888889,0.136584444444444,0.150536666666667,0.132537777777778,0.08464,0.189243333333333,0.16749,0.176711111111111,0.202438888888889,0.206682222222222,0.16867,0.179215555555556,0.17412,0.175613333333333,0.24787,0.24183,0.211912222222222,0.164156666666667
20,"AND","Andorra",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
24,"AGO","Angola",0.0836077777777778,0.0886288888888889,0.0847933333333333,0.0891277777777778,0.0908022222222222,0.0916977777777778,0.0945544444444444,0.0948155555555556,0.102757777777778,0.106152222222222,0.106518888888889,0.0979722222222222,0.106406666666667,0.104257777777778,0.0874733333333333,0.0842655555555556,0.0751422222222222,0.072,0.06401,0.0613722222222222,0.0546033333333333,0.05465,0.0556255555555556,0.0554677777777778,0.0555088888888889,0.0602622222222222,0.0616055555555556,0.0596111111111111,0.0569555555555556,0.05537,0.0622177777777778,0.0645777777777778,0.0616244444444444,0.0817877777777778,0.0755755555555556,0.0796433333333333,0.07541,0.0946233333333333,0.08656,0.100037777777778,0.119165555555556,0.13356,0.133548888888889,0.146244444444444,0.163472222222222,0.156514444444444,0.171476666666667,0.178865555555556,0.20169,0.204542222222222,0.205912222222222,0.127715555555556,0.220957777777778,0.192611111111111,0.195233333333333,0.191351111111111,0.194688888888889,0.205357777777778,0.20807,0.219116666666667,0.220224444444444
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",0.993356666666667,1,1,1,0.968315555555555,0.609882222222222,0.403452222222222,0.136905555555556,0.329458888888889,0.342074444444444,0.840688888888889,0.0769255555555556,0.0807177777777778,0.0622311111111111,0.07479,0.0716666666666667,0.0690511111111111,0.0726144444444445,0.0700433333333333,0.0802777777777778,0.0821888888888889,0.0957633333333333,0.0589466666666667,0.0703266666666667,0.102483333333333,0.0953177777777778,0.0992811111111111,0.10217,0.08426,0.08821,0.0906377777777778,0.0917188888888889,0.0907266666666667,0.0904611111111111,0.0849422222222222,0.0872266666666667,0.0887,0.0880311111111111,0.0898977777777778,0.0898044444444444,0.08995,0.0942111111111111,0.0961266666666667,0.0991244444444444,0.0808588888888889,0.0850233333333333,0.0896866666666667,0.09264,0.09386,0.0948411111111111,0.09558,0.0931211111111111,0.0956666666666667,0.09595,0.0961244444444444,0.0933922222222222,0.0858666666666667,0.08361,0.0805933333333333,0.0770711111111111,0.0773055555555555
32,"ARG","Argentina",0.223055555555556,0.214455555555556,0.255728888888889,0.279748888888889,0.213146666666667,0.219746666666667,0.225254444444444,0.184142222222222,0.202018888888889,0.210123333333333,0.22106,0.209441111111111,0.246955555555556,0.248816666666667,0.2536,0.282637777777778,0.271265555555556,0.340873333333333,0.349033333333333,0.304242222222222,0.357768888888889,0.426788888888889,0.401912222222222,0.475491111111111,0.430704444444444,0.434623333333333,0.392918888888889,0.476376666666667,0.373123333333333,0.490048888888889,0.519376666666667,0.525797777777778,0.498455555555556,0.519453333333333,0.576024444444444,0.568028888888889,0.61294,0.800778888888889,0.774795555555556,0.801692222222222,0.913997777777778,0.967003333333333,0.98125,0.871581111111111,0.989648888888889,0.937302222222222,1,1,0.756745555555556,1,1,0.901653333333333,1,1,1,1,1,0.941636666666667,1,1,1
51,"ARM","Armenia",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.203907777777778,0.203416666666667,0.177105555555556,0.184907777777778,0.213077777777778,0.17608,0.216922222222222,0.206861111111111,0.169064444444444,0.233556666666667,0.256904444444444,0.225555555555556,0.292483333333333,0.286703333333333,0.212376666666667,0.323483333333333,0.313382222222222,0.29929,0.251685555555556,0.318963333333333,0.344534444444444,0.388304444444444,0.409562222222222,0.430652222222222,0.405947777777778,0.279603333333333,0.259453333333333,0.196253333333333,0.227326666666667,0.198365555555556
533,"ABW","Aruba",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
