"code","iso","country","LUF.raw.1999","LUF.raw.2000","LUF.raw.2001","LUF.raw.2002","LUF.raw.2003","LUF.raw.2004","LUF.raw.2005","LUF.raw.2006","LUF.raw.2007","LUF.raw.2008","LUF.raw.2009","LUF.raw.2010","LUF.raw.2011","LUF.raw.2012","LUF.raw.2013","LUF.raw.2014","LUF.raw.2015","LUF.raw.2016","LUF.raw.2017","LUF.raw.2018","LUF.raw.2019","LUF.raw.2020","LUF.raw.2021","LUF.raw.2022"
4,"AFG","Afghanistan",0.0594155353357825,0.0565019105762335,0.0561934203024702,0.0727105877863755,0.0879486304394958,0.0996968991261232,0.108066849162558,0.111060178123273,0.106152880072741,0.10690072269292,0.107826549601483,0.108301985458181,0.106051217156436,0.0895364829355591,0.0780989597420877,0.069482241225794,0.0628968819034923,0.0589738684220952,0.0559378089886767,0.0542116165872378,0.0536803937245108,0.0542840209993177,0.055103733900668,0.0562950238708971
8,"ALB","Albania",-0.00509689506364602,-0.00689174454970785,-0.00831272746584101,-0.0100114037918487,-0.0108993674908453,-0.01144759969023,-0.0100623710479698,-0.00949259967569898,-0.00756516377751863,-0.00508627610078961,-0.00340782099128511,-0.00189429870912489,-0.000453904178266619,0.00138300694435766,0.00262175414863407,0.00435795457565739,0.00435456554495853,0.00473402401554031,0.00380494007739759,0.00206642381273006,0.00131298580452966,0.000845431363725982,0.00035449261110021,-0.000371946119199315
12,"DZA","Algeria",0.0417337747949866,0.0390720532509142,0.0324664830567072,0.0294211304933398,0.027327574124533,0.0255013667046481,0.0225936861238262,0.0203575170321447,0.0183961329531129,0.0166315400585854,0.0152433816706714,0.0135551456721399,0.0115514808334428,0.009174216175513,0.00678339692088217,0.00474841078288638,0.00323047561565996,0.00215643851845063,0.00130920635558346,0.000821440500219628,0.000567666110585809,0.00100488669518836,0.00168005133778424,0.00252697408054999
20,"AND","Andorra",0.007255367540049,0.00754134083990035,0.00786522970085559,0.00754648193293139,0.00688842202495883,0.00603050212540476,0.00530239482488434,0.00469060475419111,0.0040434696689095,0.00345995560988696,0.0028488081758226,0.00226015302376902,0.00164257922341587,0.00100444105093858,0.000424140175060436,-5.65520233413924e-05,-0.000580300875878144,-0.000931823111875203,-0.00124093133036622,-0.0015384720895374,-0.00174540108403659,-0.00197932081694871,-0.00209885122992028,-0.00211684505552891
24,"AGO","Angola",0.00484748205332035,0.0052735095915901,0.00588448248304728,0.00673950737081518,0.00771018393078613,0.00866856730562472,0.00964847292121072,0.0106726597585718,0.0119861715918109,0.0137493894924428,0.0156003470365635,0.0174913059168243,0.018979010818314,0.0201076808938633,0.0209653489025801,0.0216424638746791,0.0222914585226387,0.022822510248721,0.0229763137792349,0.0225602082157191,0.0219206917826951,0.0210783525943439,0.020396310761743,0.0197882188853734
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",-0.00726315077830222,-0.00710767435196543,-0.00691870097198699,-0.0066627336847252,-0.00640676639746342,-0.00617165570397853,-0.00594728931637869,-0.00564455269761722,-0.00519076377847164,-0.00460993924268503,-0.00427623374225486,-0.00403985901278348,-0.00383066105702138,-0.00364358373102265,-0.00308235175302644,-0.0027587585404881,-0.00254071233282065,-0.00239598021236893,-0.00206985892785762,-0.00217856602269472,-0.00212294843928969,-0.00204584224411454,-0.00195672770706784,-0.00192133469944646
32,"ARG","Argentina",0.0170089495537232,0.0178678516295038,0.0183881107696715,0.0197718133593767,0.0225618207316252,0.026138093196784,0.0301089055530656,0.0342049831460025,0.0369629081217673,0.0390151403616446,0.0432021366696504,0.0464250796951833,0.0490412753139798,0.0500337945170961,0.0487889347279558,0.0463116525269301,0.0430734161893591,0.039279427129138,0.0362842630255627,0.0334511707212083,0.0281478226278051,0.0234401759728102,0.0189229458010608,0.0153115603364136
51,"ARM","Armenia",0.0372774031030701,0.0385708063545665,0.0413940164570143,0.0445535215571529,0.0472764051627154,0.0509289132907358,0.057300534169358,0.0611007220305961,0.0636953240510556,0.0664099407822813,0.0687736867110645,0.0708559238137483,0.0706283672201626,0.069290293840671,0.0672297391540108,0.0625385780336613,0.0535376922755184,0.0481633900175415,0.0441640720078054,0.0407458645024351,0.0377440464044482,0.0350300098047549,0.0328116955995014,0.0306657890611362
533,"ABW","Aruba",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
36,"AUS","Australia",0.0163750304108734,0.0185624980886878,0.0200448521978696,0.020370336669865,0.0220134102465102,0.0233268030272049,0.0222536342665208,0.0207545474347237,0.0202330446316999,0.0205118781829185,0.019964212410715,0.0223277541095717,0.0233696920751333,0.0237625381334675,0.0227103333718698,0.021307244924899,0.0204046926820917,0.0205729630484462,0.0197924375491292,0.0171392876805138,0.0154370501823969,0.0102185664749051,0.00715502236292372,0.00516399562383005
40,"AUT","Austria",-0.0175534222097121,-0.0175292521129615,-0.0175921997090673,-0.0175597879501453,-0.0173594980958456,-0.0170531904963417,-0.0168343188767159,-0.0166507207825076,-0.0163924210059868,-0.0162538703837904,-0.0160186281077941,-0.0156487363381411,-0.0153140955603113,-0.0149027954941508,-0.0146746372169108,-0.0145633325271079,-0.0144518419351508,-0.0143998681995438,-0.0144757557122645,-0.0145753034991613,-0.0145884997354131,-0.0145382836201736,-0.0143825764825001,-0.0142884057745798
