"code","iso","country","OZD.raw.1990","OZD.raw.1991","OZD.raw.1992","OZD.raw.1993","OZD.raw.1994","OZD.raw.1995","OZD.raw.1996","OZD.raw.1997","OZD.raw.1998","OZD.raw.1999","OZD.raw.2000","OZD.raw.2001","OZD.raw.2002","OZD.raw.2003","OZD.raw.2004","OZD.raw.2005","OZD.raw.2006","OZD.raw.2007","OZD.raw.2008","OZD.raw.2009","OZD.raw.2010","OZD.raw.2011","OZD.raw.2012","OZD.raw.2013","OZD.raw.2014","OZD.raw.2015","OZD.raw.2016","OZD.raw.2017","OZD.raw.2018","OZD.raw.2019","OZD.raw.2020","OZD.raw.2021"
4,"AFG","Afghanistan",200.68395351737,191.72704190148,182.34298842975,180.12163970313,186.34232105223,193.01301444693,191.83729217835,192.85169142003,197.33241364587,208.81630824982,212.84835147642,200.33279423838,185.86625835007,192.80151278589,190.87413677851,189.0837120394,179.19693870154,201.71122768766,208.68910145105,190.59669867128,165.57831983153,154.23295398528,156.25993181139,157.38117467708,146.09644089744,151.98759168402,159.09837504689,167.11605669055,146.18443917628,143.30515611926,141.21688348074,141.31217496667
8,"ALB","Albania",82.9688877185,75.6200647439,69.37339674463,65.8247602814,61.34220259617,58.62299582388,55.83461747945,55.94050192353,48.38261612192,41.43489929475,34.34242723694,33.39693402357,38.99838982167,43.55731303057,44.46500824072,40.59278108553,35.52284566753,32.98322299282,29.85074935383,26.86833164374,22.52184716125,21.50088064703,21.74590594962,21.9022223846,20.96076199417,17.07992518005,15.34364402422,13.53703962864,12.62339829232,11.29855567024,9.54605985425,9.01452671353
12,"DZA","Algeria",47.23557034018,46.81488988098,44.52701270086,45.31277627091,44.04372766363,46.04072453743,43.80699178235,42.94754763973,40.07366675288,49.71453433599,51.04669901028,49.82466172904,46.08799585147,45.87754267661,46.58483065163,41.56696797165,40.76525653491,40.43374390325,40.84357236416,44.35559330167,46.38412900493,46.54422218165,43.66960317023,46.76710988163,47.41480192788,47.54883869528,44.24624717273,43.74777576503,47.1150496077,47.79905333771,48.37027276871,48.68724587303
20,"AND","Andorra",45.03081833025,44.78836721401,42.73204852858,45.06712610152,49.64333636674,56.91458643213,55.81902859956,51.29309108351,48.5439368211,50.35102494172,52.03106980661,45.81448871642,46.04268960295,44.06400849319,45.03599067499,43.93807475358,43.5788755052,39.77724713037,40.53259819721,43.33857686684,46.55488626253,45.38751459099,44.81508819175,44.94582573888,43.57960615919,40.3341933629,37.01064053845,34.37482461982,36.9279627087,35.22014694312,29.19156656345,28.44207400058
24,"AGO","Angola",109.92944283878,113.50771898643,103.51112475414,102.95352237023,94.25777890512,91.77938224857,83.54006167621,83.22271100173,83.57555221859,84.95722040566,65.30350193628,60.45730527721,52.02471364121,58.37399292755,75.90563730136,91.76059333559,105.6880848563,92.28752687161,77.84980122332,68.17338206343,65.06352314572,62.12101821332,55.99651761949,54.03543544703,50.71940709612,46.22996711104,46.32692705443,45.94931122976,43.30558536456,41.74188820864,40.47384318237,41.03251657853
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",2.69355919009,3.05409799359,3.29501541754,3.79278193441,3.68612637432,3.91361793391,3.54867510794,3.74586067559,2.83508700175,2.37784208244,1.25199971321,1.95625964797,1.62048749306,1.65561419897,0.43832068558,0.16819950943,0.17768005921,0.4797631413,0.6408954919,0.64235637984,0.36975861745,0.20154449134,0.16900994536,0.17839271368,0.15067095054,0.09677957498,0.05136815579,0.00252241968,0.03189281998,0.02521059489,0.01525634442,0.01445287246
32,"ARG","Argentina",15.11039007756,14.88602253716,14.84963804073,14.89951967554,15.3361648483,16.10749914112,15.88797031332,14.90175802684,16.63712836753,16.36594182778,14.60392922023,13.90454720051,14.30214970575,14.89879781178,14.74672684468,17.4268286122,18.07150510794,19.9876076549,16.03214565307,15.9157405155,16.67603811555,18.77842859066,20.4318579669,17.94821784147,16.8937458626,15.12430957651,18.2233757208,14.61481482899,17.87509418756,18.0083944432,18.05428246943,17.0716159043
51,"ARM","Armenia",88.99250563547,84.89282496957,86.4180940974,93.05727431668,93.28622400427,93.50579845828,87.14857765625,76.05115159526,68.02965411716,71.41418353423,71.36122359214,62.89077783228,64.56467976289,65.21521281694,64.29087376272,63.09737672066,66.03488707571,73.24398622295,71.18039598834,67.0387011835,55.81640164325,58.96504466968,63.08392598434,66.97761369923,67.99172046783,67.77811439045,57.68584124981,44.21749362098,35.21705504171,35.30069731746,35.65457528567,35.78440356116
533,"ABW","Aruba",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
36,"AUS","Australia",5.59110599349,4.72874166748,3.98080926207,3.74127244577,3.535340063,3.7655461239,4.07777418988,4.30301325601,4.28262611446,4.02671240999,3.72206070101,4.81152359424,4.61251491053,4.30440272806,3.01224780951,3.04760694993,3.18637762648,3.14302362609,2.92401746295,2.36760663039,2.2208143031,2.23864796526,2.846764615,3.35917063314,3.53400056419,3.56814137074,3.872207036,2.74278855869,4.1558754202,4.48923675697,4.50325028653,4.94691046205
