"code","iso","country","HFX.raw.1990","HFX.raw.1991","HFX.raw.1992","HFX.raw.1993","HFX.raw.1994","HFX.raw.1995","HFX.raw.1996","HFX.raw.1997","HFX.raw.1998","HFX.raw.1999","HFX.raw.2000","HFX.raw.2001","HFX.raw.2002","HFX.raw.2003","HFX.raw.2004","HFX.raw.2005","HFX.raw.2006","HFX.raw.2007","HFX.raw.2008","HFX.raw.2009","HFX.raw.2010","HFX.raw.2011","HFX.raw.2012","HFX.raw.2013","HFX.raw.2014","HFX.raw.2015","HFX.raw.2016","HFX.raw.2017","HFX.raw.2018","HFX.raw.2019","HFX.raw.2020"
4,"AFG","Afghanistan",0.858521861116485,0.8577746054156,0.856959881552626,0.856528522824304,0.856108525405107,0.855542775932284,0.854926462648927,0.85419824111715,0.853414804224974,0.852640292013044,0.85187303635409,0.850616688143685,0.848926149347696,0.847146673775597,0.845966322539065,0.84475795226057,0.837155149414586,0.830343757743936,0.823010049326923,0.814374056094822,0.804881850019428,0.792672585102721,0.779312178747003,0.766171138925657,0.75176740351647,0.735363045228024,0.717497123706391,0.698901916094823,0.679027766669058,0.658390520789595,0.636486497339117
8,"ALB","Albania",0.671348592608736,0.6672813928183,0.664010413615835,0.661106428405835,0.658023395096764,0.65451340854952,0.650738393306531,0.645266838047134,0.63857182723426,0.631850835348347,0.623492370174707,0.612006431372615,0.59739896953716,0.579481893262516,0.557870912108242,0.531990512298823,0.493565047473692,0.45348940457584,0.414579173557644,0.383888636243201,0.356396973930232,0.33201740196504,0.310589612093257,0.291769843063073,0.274966013687766,0.259883709504681,0.246652706844919,0.234931966642964,0.224404069524874,0.219217521435194,0.214985516392526
12,"DZA","Algeria",0.0512151642968869,0.0475089770867,0.0440494914509858,0.0408484053616349,0.0378918833354688,0.0351619702628438,0.0326358133916263,0.0302305465288909,0.0279313905779034,0.025721079245816,0.0236233118925917,0.0215617558562419,0.0196221170294409,0.0177863969941607,0.0160379101666567,0.0143750873190299,0.0127854188060757,0.0111145326680586,0.00961064791223974,0.00827491472836774,0.00711328355335805,0.00610230712417265,0.00524735344068271,0.00463834376369278,0.00411528923321783,0.00365728423534642,0.0032620606250064,0.00291500895886887,0.00261128877881486,0.00234089295998761,0.00209783053578985
20,"AND","Andorra",0.00535606414867141,0.0050275671247759,0.00472503274760162,0.00447198023544692,0.00422349884270727,0.0040155590795929,0.00382493968202784,0.0036385991673513,0.00346812561653141,0.00329290926171795,0.00315503207042569,0.00301730756845384,0.00286429493376571,0.00267872196360595,0.00252144419658305,0.00238077075655728,0.00225535248292252,0.00214952927361536,0.00203778781610333,0.0019323103527071,0.00184022838459602,0.00186641467496811,0.00180669025876484,0.00175671625259071,0.00172054305853987,0.00167105258156921,0.00162834896577222,0.0015804315447471,0.00152587937387142,0.00146562696055952,0.00141305424829307
24,"AGO","Angola",0.896034205860796,0.889469153754608,0.882256333698174,0.871803670923962,0.860794762925029,0.849357240960596,0.837249800641977,0.824405429188553,0.810715823011991,0.796095011020387,0.779956200268198,0.76250758085387,0.744170963680372,0.724520123707131,0.703831345719181,0.682418168858636,0.659958896348242,0.636480456573174,0.618990569897888,0.600080969990002,0.579950166967353,0.557916023281075,0.537764211686061,0.51632877613971,0.494340423749165,0.470274646350858,0.445890011976511,0.422800908741931,0.399490802915917,0.375559155775758,0.351589326222903
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",0.0398129707867504,0.0376790461904597,0.0356329422312808,0.0337377810015446,0.0319777065369911,0.0303255264874168,0.0287939697605313,0.0273958768372869,0.0261517545762208,0.0250687233705811,0.0241581195211677,0.0233775721122794,0.0230141845020154,0.0227096979733815,0.0224182214967393,0.0221202015887251,0.0217911595751145,0.0213761380421351,0.0207031465337024,0.0199719629632202,0.0191819851898959,0.0183533694014644,0.0175077575104895,0.0166211148781715,0.0157101589833386,0.0148000282254612,0.0139001495287792,0.013013492157357,0.0121599844400633,0.0113441874382242,0.0105758815919353
32,"ARG","Argentina",0.0951175643194497,0.0915294761902467,0.0882019111723607,0.0850550342767124,0.0819692723886673,0.078962185285195,0.0760323261228262,0.0731515938845245,0.0702829296283956,0.0673940511463677,0.0644772790127233,0.0615979391330947,0.0587298701441314,0.0555003396049604,0.0523541644952051,0.0492664951375293,0.0463056002237711,0.0435027209003861,0.0408912517897283,0.0385082401552344,0.0363095699261398,0.0345613553312595,0.0329715929917078,0.0315515231361247,0.0302645151497827,0.0290629299809342,0.0279411446395661,0.0268976041411893,0.0259021577781428,0.0249428013532826,0.0240362527589063
51,"ARM","Armenia",0.151992938506152,0.153069344224107,0.15482999750647,0.156905472261917,0.159208197912761,0.16141097979075,0.163027373051437,0.164311540898138,0.165006127270223,0.165019644334393,0.163650604345176,0.155545723366849,0.143059191579075,0.130433675995519,0.117870843630346,0.106113353034612,0.0952251334326127,0.0847249401608831,0.0748469659075411,0.0657416315774042,0.0574562531918298,0.0509451954386373,0.0450761874141805,0.0396843204787404,0.0375018550853076,0.0354282463262351,0.0335411531189164,0.0317033196599025,0.0301221618436903,0.0286721548053756,0.0273930617413831
533,"ABW","Aruba",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
36,"AUS","Australia",0.0321021382500433,0.03011596398652,0.0281341723803445,0.0259235950665238,0.0238946493571019,0.0220560392075351,0.0204059748339051,0.0188657317043047,0.0175172078386507,0.0162611804095431,0.015083971996291,0.0139687106120565,0.0129003167480633,0.0117603858405386,0.0106936183499383,0.00969066016517437,0.00887899184172385,0.00817388993434698,0.00759348869932554,0.00710067394167752,0.00669391329399562,0.00640151705832665,0.0061238489712755,0.00585311028872671,0.00559753338116455,0.00534514165520505,0.00510764611444277,0.00487034814583677,0.00464675487613323,0.00443613947692202,0.00424372412639352
40,"AUT","Austria",0.00770302725816216,0.00735020870543553,0.00703394872436799,0.0067509836868887,0.00648842141551531,0.00625899603414873,0.00606883384743069,0.00588524536993758,0.00571562256432889,0.00555143305438384,0.00539019990614088,0.00522826221029237,0.00507053564039152,0.00483714654058789,0.00461500603065469,0.00440124751759192,0.00419938694976022,0.00400922022922875,0.00382780490827228,0.00365334929173158,0.00348634661410333,0.00352073737015703,0.00340137610091455,0.00327973433417359,0.00316061768599117,0.00304564989926285,0.00293418952868422,0.00282930901038674,0.00272788950207887,0.00263010485953447,0.0025383251541741
31,"AZE","Azerbaijan",0.422237331642159,0.418809029713112,0.415624129209808,0.411192134301404,0.405153975644904,0.396702636777625,0.376185581036079,0.354220372258531,0.331661675162243,0.308982133492755,0.286450128112857,0.261708605199279,0.238234762183229,0.216283533029082,0.195704929128269,0.177086415107691,0.159804397172691,0.146056122400196,0.133615264050785,0.122394511923616,0.112307111510096,0.102930861333864,0.0965993554683187,0.0905319506472895,0.0864090907965352,0.0825437458227933,0.0791041158139055,0.076564136738342,0.0743530488622632,0.0721707311525921,0.0701910510448842
44,"BHS","Bahamas",0.04973562983556,0.0480116930749705,0.0457133880130543,0.0435439039357989,0.041549771769206,0.039682355062588,0.0378978615475532,0.0362566585964672,0.0347426560647837,0.0332733343920795,0.0318905533940397,0.0309266978035295,0.0298466529875429,0.0288344527870877,0.0275499307473143,0.0262611659126091,0.0251310230311893,0.0240140889004774,0.0229838465891031,0.0220914241972372,0.021202743133242,0.0204921550174453,0.0198301406459693,0.0190688890452157,0.0182801547880283,0.0175383130948801,0.0168101523847235,0.0159677352240888,0.0151777173999582,0.0144623522768763,0.0138027647803204
48,"BHR","Bahrain",0.0632661201727215,0.0585660377852306,0.0543105910409436,0.0502304820042561,0.0465455061338704,0.0431570001007994,0.0398733502168435,0.0369025324587277,0.0342238326496619,0.0316827229695694,0.0292787341145138,0.0266696100019346,0.0242158404861165,0.0219927649124303,0.020249034876036,0.018872405657525,0.0173274090003196,0.0159990177850373,0.0147382534676537,0.0133962792588678,0.0123197698795847,0.011377495690325,0.0104814398532623,0.00979698202152084,0.00911539666466342,0.00826778755228649,0.00754256536799595,0.00681580851109634,0.00612981742173403,0.00552177747268251,0.00494396739213862
