"code","iso","country","PSU.raw.1965","PSU.raw.1966","PSU.raw.1967","PSU.raw.1968","PSU.raw.1969","PSU.raw.1970","PSU.raw.1971","PSU.raw.1972","PSU.raw.1973","PSU.raw.1974","PSU.raw.1975","PSU.raw.1976","PSU.raw.1977","PSU.raw.1978","PSU.raw.1979","PSU.raw.1980","PSU.raw.1981","PSU.raw.1982","PSU.raw.1983","PSU.raw.1984","PSU.raw.1985","PSU.raw.1986","PSU.raw.1987","PSU.raw.1988","PSU.raw.1989","PSU.raw.1990","PSU.raw.1991","PSU.raw.1992","PSU.raw.1993","PSU.raw.1994","PSU.raw.1995","PSU.raw.1996","PSU.raw.1997","PSU.raw.1998","PSU.raw.1999","PSU.raw.2000","PSU.raw.2001","PSU.raw.2002","PSU.raw.2003","PSU.raw.2004","PSU.raw.2005","PSU.raw.2006","PSU.raw.2007","PSU.raw.2008","PSU.raw.2009","PSU.raw.2010","PSU.raw.2011","PSU.raw.2012","PSU.raw.2013","PSU.raw.2014","PSU.raw.2015","PSU.raw.2016","PSU.raw.2017","PSU.raw.2018","PSU.raw.2019","PSU.raw.2020","PSU.raw.2021"
36,"AUS","Australia",12.02028,12.4432,13.09888,13.12904,12.63668,11.6942,11.71504,12.64304,14.62278,14.1024,13.58804,13.45158,12.7627,11.00738,11.69174,12.46796,11.8873,11.06548,10.02458,8.86876,7.60728,6.95702,6.96,7.59356,8.14312,8.08674,8.1756,8.15486,7.87078,8.08466,9.68594,10.25876,10.07606,10.17914,9.63396,8.4352,8.19912,7.84886,8.10774,7.96808,7.71202,7.14452,7.71674,6.95168,6.03848,5.6275,5.02238,3.34284,2.58114,2.7473,2.67168,2.8725,2.92476,3.13902,3.56956,4.00364,3.79456
40,"AUT","Austria",36.34332,37.57444,38.96336,38.53388,39.41452,38.868,39.36288,38.63818,39.092,36.53232,34.57396,32.39272,31.15674,29.60154,30.45142,31.17552,31.23182,30.20476,30.55378,30.13148,29.98072,29.38926,29.17968,27.73258,25.96958,24.812,24.17124,23.76698,23.3783,22.87048,21.6971,21.03838,20.17026,19.32788,18.69516,18.39454,17.45892,16.76696,16.12656,15.05716,13.92488,13.28736,12.69106,11.26542,10.23242,9.92202,9.29082,9.00122,9.65712,10.2146,10.31118,10.1921,9.94062,9.61452,9.62936,9.30908,9.06094
31,"AZE","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8371,0.55415,0.369433333333333,0.277075,0.22166,0.0542399999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,"BHS","Bahamas",15.87712,16.20562,17.42792,18.94718,20.3078,21.74718,23.7512,25.00004,26.62422,27.4094,27.07074,28.05218,29.79818,28.54102,27.86874,27.30428,25.98926,25.53466,28.43322,29.7339,29.02626,27.10292,23.46146,18.7493,16.12362,16.23064,15.84942,15.56548,15.05798,14.24414,15.01046,17.15296,18.39474,21.76954,22.63156,21.4797,20.37126,20.23894,18.8104,20.16136,22.11338,23.08664,23.813,24.04496,24.34216,23.6741,22.6966,21.76906,20.93034,19.56408,20.05558,21.04418,22.35038,22.62644,23.51702,21.87422,20.05426
48,"BHR","Bahrain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40614,1.16876,2.9258,4.60546,6.80622,10.5404,10.84508,10.19562,10.54684,11.13242,10.24958,12.39954,14.48372,15.54568,15.71734,15.4077,15.16604,16.24042,15.11126,13.85654,12.3843,10.58122,7.52442,6.75858,6.37326,5.84888,6.56442,6.28314,5.9397,5.79868,6.34726,6.37618,7.6565,9.01554,9.98154,12.06468,12.90032,13.29466,14.80254,15.05964,13.87956
50,"BGD","Bangladesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0.09978,0.39054,0.39282,0.40826,0.44912,0.673660000000001,0.6345,0.64276,0.8176,1.21726,1.42562,1.78954,2.56054,2.95798,3.11134,2.6,2.19304,1.59648,1.00876,0.41488,0.39354,0.27208,0.4284,0.94524,1.67118,1.99218,2.8559,3.3307,3.43332,2.70738,2.38638,1.43556,0.97762,2.08086,4.1769,6.4774,9.21672,11.93168,13.3961,14.17046,15.33284,16.5855,18.0311,21.85176
52,"BRB","Barbados",0,0,0,0,0.10608,0.10608,0.8011,0.8011,0.8011,1.15394,2.37516,7.01272,10.86248,15.75996,19.61242,22.27676,21.84828,23.53088,26.52764,29.32948,30.68782,31.87698,28.76618,23.50686,18.84782,15.8876,12.13396,11.82304,11.54274,11.52742,12.1496,12.28894,12.55998,12.97958,13.16894,12.6351,12.6164,11.8093,13.0407,12.74692,13.14302,16.79616,21.34734,21.21782,24.01378,32.2962,31.40108,34.5161,35.40388,35.50352,31.6561,38.21268,38.51664,42.5856,46.23962,48.11672,45.4104
112,"BLR","Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.2604,20.54615,15.9101,13.519725,12.55528,9.67118,8.02088,7.86044,8.06118,7.50008,6.97504,6.41228,6.72702,7.30206,8.83416,10.4139,11.79636,13.52998,14.90118,16.37442,16.6218,16.92916,15.6777,14.2276,11.34696,9.42632,8.13082,7.502,6.8805,6.94176
56,"BEL","Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.7891,40.51575,39.7610333333333,38.941675,38.4055,37.9331,37.20024,36.67868,34.16186,31.75282,29.56892,27.22802,25.62608,26.027,25.55842,24.96882,24.80424,23.30924,23.08612,23.12498,23.0706,22.53428
84,"BLZ","Belize",3.60774,4.65168,4.99888,4.99018,6.35986,6.87868,5.6262,4.74552,5.52168,4.97372,4.85334,5.13538,4.66138,2.64876,1.8316,0.48944,0.15522,0.15522,0.15522,0.15066,0.0390600000000001,1.09892,2.0887,2.7981,3.31692,4.2817,4.43832,4.96774,6.05762,5.85254,6.33624,5.25,4.7196,4.22442,5.22158,4.12476,4.81032,10.87952,12.04352,10.89284,10.50212,10.33048,3.27248,0.80438,1.00214,1.00214,7.89266,8.94492,13.65276,16.8288,23.63304,24.07192,28.8298,31.47002,37.00348,37.02812,35.73136
