"code","iso","country","PF5.raw.2006","PF5.raw.2007","PF5.raw.2008","PF5.raw.2009","PF5.raw.2010","PF5.raw.2011","PF5.raw.2012","PF5.raw.2013","PF5.raw.2014","PF5.raw.2015","PF5.raw.2016","PF5.raw.2017","PF5.raw.2018","PF5.raw.2019","PF5.raw.2020","PF5.raw.2021","PF5.raw.2022"
84,"BLZ","Belize",3155.98572876451,2865.83239017115,2988.12049686605,3448.59006164321,3760.69403749836,6640.27941175585,7167.99306265871,8135.88257013073,9060.15239457431,9426.45713095619,8462.77851069715,8428.67080073536,7696.81338675028,7640.42592984751,9510.53567620069,8126.77527322737,7614.38373739499
204,"BEN","Benin",0.178227816040129,0.127279528389847,0.127279528389847,0.171840035634969,0.191006853126899,0.210035605761786,0.267424875363159,0.595998428525607,1.3904174051295,1.37516032799729,3.97140103799847,4.20055572514175,3.86437267255174,3.57447279568114,3.86462506209471,1.54338944004459,1.42129543883084
60,"BMU","Bermuda",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
64,"BTN","Bhutan",222.801413212092,236.037097997195,282.926340450114,306.20448138493,406.807968594769,431.413263037238,457.158683165515,431.577658247314,433.424739772571,325.410007223469,390.24854057174,485.386532974735,528.403449938787,494.668210605854,533.472351190416,472.752107154823,417.306063906504
68,"BOL","Bolivia",100202.756612946,108957.687300322,129639.27792985,131949.771436565,157933.774212103,166697.849377007,173481.385412839,153824.390324134,158845.343850503,121954.91073785,138647.652439823,163058.048646102,177497.843369058,208944.068561297,247661.026547333,256719.342084531,279763.758134704
70,"BIH","Bosnia and Herzegovina",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
72,"BWA","Botswana",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
76,"BRA","Brazil",1689764.73001297,1595324.38960637,1496238.372058,1232976.80325083,1098696.77176244,976190.49110223,969495.451075322,880885.051696294,929032.10648392,864201.048717957,1269786.75879991,1473498.96303891,1616506.85845242,1700544.82927242,1875589.13315596,1619125.32429219,1546733.43371399
92,"VGB","British Virgin Islands",1.02317482470768,1.38858902285091,1.71014421205729,2.09014171768771,2.16322091681922,3.17173604954058,2.68940472850065,2.55787798122786,2.00248585488107,2.00978900054904,0.803967917467714,26.031714038379,26.4702679328354,26.6164354072581,26.6164354072581,26.5433350560089,1.62617624096028
96,"BRN","Brunei Darussalam",496.812646270526,529.805902888388,606.104099478701,737.621712492923,721.905080501125,965.812178656357,1061.67570714102,1031.23201182747,1058.82869845235,1115.31629107288,1000.85063359567,880.725187084853,848.941062926788,662.412491166573,609.772554522665,495.248330587778,499.209660928829
