"code","iso","country","UWD.raw.1990","UWD.raw.1991","UWD.raw.1992","UWD.raw.1993","UWD.raw.1994","UWD.raw.1995","UWD.raw.1996","UWD.raw.1997","UWD.raw.1998","UWD.raw.1999","UWD.raw.2000","UWD.raw.2001","UWD.raw.2002","UWD.raw.2003","UWD.raw.2004","UWD.raw.2005","UWD.raw.2006","UWD.raw.2007","UWD.raw.2008","UWD.raw.2009","UWD.raw.2010","UWD.raw.2011","UWD.raw.2012","UWD.raw.2013","UWD.raw.2014","UWD.raw.2015","UWD.raw.2016","UWD.raw.2017","UWD.raw.2018","UWD.raw.2019","UWD.raw.2020","UWD.raw.2021"
4,"AFG","Afghanistan",2785.84975318335,2894.75853499102,2935.69122112669,3051.70445766283,2759.78130360756,2930.34503446489,2886.73297673708,2974.75470769105,2956.96472506224,2864.52146125282,2793.26172883889,2786.39247923978,2607.9213523468,2590.88888128714,2493.61883009575,2334.3411078311,2091.05530003846,1880.08168896517,1653.96927049691,1441.43140864069,1307.89308976818,1190.2187249769,1083.17823683969,1060.10972272857,993.27068118267,935.48140951344,891.71790738651,832.82075587437,704.91355479141,655.11066049243,589.5472985416,524.22210262173
8,"ALB","Albania",146.61470013569,153.28039251358,152.20397562631,148.19559493007,174.5503444225,129.07794511567,117.63816327159,110.77572154179,102.16488283534,87.67525972828,77.09003354559,69.27164453316,62.33553363155,56.21342805991,50.61431967352,46.39744427294,43.68285110764,41.35391057024,39.56691944111,37.8990894378,36.75778395465,36.63990208893,35.94139424648,34.97468120061,33.88619609197,33.17064984299,32.70973809787,31.98206688285,30.77958710641,28.40217729157,26.50750153531,24.60077394104
12,"DZA","Algeria",180.15277087642,161.41898396068,147.41161867763,139.78654550675,133.66944896527,127.00586917456,120.99828221285,117.92577814144,113.92043503031,110.44640042394,106.70567814608,103.04678916635,99.09940102498,95.15690924847,91.60455651325,87.33482874263,83.41532588475,79.72700243181,76.58486597941,73.50973807361,71.14375994166,68.78036387555,66.71257381522,64.96687255623,63.19573176387,61.33775535336,58.96432777012,55.94584062189,54.06165899644,52.14687022848,50.29482852148,49.22121115681
20,"AND","Andorra",2.52394852891,2.58085218043,2.57069009937,2.54580445316,2.52588092534,2.50890014206,2.48135332339,2.44119917685,2.39861136941,2.34800888273,2.30268337923,2.25192066884,2.25471994425,2.25949804117,2.262951178,2.26243313604,2.2589299424,2.2525191148,2.23993053896,2.21918201741,2.18690605315,2.146523547,2.12908371771,2.1181976823,2.09958306124,2.0672413332,1.96793150586,1.80249655026,1.62606358743,1.52085995842,1.48118210616,1.44888009261
24,"AGO","Angola",10237.6943580059,9802.0835950556,9295.0810212282,8996.59580128621,8777.78424698639,8462.31509065347,7930.5587250297,7643.0215191679,7456.65557017937,7208.27668538436,6936.44938751143,6616.9693851758,6262.58872548197,5895.32571686048,5681.34338754112,5245.9188705909,5250.13893327247,4651.49302708198,4272.46850725942,3937.94597948481,3644.59813266706,3340.31052493394,2984.90478588849,2645.52363505193,2279.60713931305,2057.20510647737,1863.98137259686,1716.24711352151,1567.57870869212,1465.34302512545,1354.90797407071,1271.18521449439
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",152.72414238804,142.2420972374,140.91666946375,152.20516900383,146.82998175527,144.40945138571,140.19133994152,131.60271751672,121.66628986284,110.3738199326,99.72315008596,88.56604215878,84.13207661388,83.5108907706,83.8292774028,87.13023681861,87.66075729383,87.51779697288,85.4586756356,82.98871468837,82.19344382936,81.09467345898,80.33814309723,81.09870672798,84.08503254497,81.75890432611,80.377070093,80.15158595072,79.42040412726,78.91985278333,76.66506172549,75.33934932459
32,"ARG","Argentina",180.55954532342,164.66975318756,144.01777138009,127.25890496176,119.90059219711,119.3405449652,114.55014298123,115.95966323335,108.55059788478,97.59371319267,88.08669655658,84.83586839158,86.08942294937,80.17371067486,72.69152202965,68.32138404127,65.62321742634,62.34168676147,60.48749197941,58.02700820401,55.8707989554,52.88392874804,48.75722526098,46.74648715092,44.52032296165,40.26126416561,35.54911588455,30.49458829704,24.89058958169,22.56853367952,20.9560673348,19.72768343389
51,"ARM","Armenia",495.26305425574,489.87794760333,522.13709166249,505.78803251906,496.56074891553,449.24694447216,383.70487163175,345.56404820901,291.22578477497,245.26150063486,206.89417346731,179.14653609909,142.97873925746,119.8341492392,106.91471834352,94.21537471904,84.09333322037,63.75801671892,54.77022589991,44.95446814532,36.5736901213,32.80865564914,24.223498179,19.78418032123,16.98437817235,14.82879864845,15.36953104731,12.8875886745,12.55489706748,12.20678570355,11.47782880132,10.8736794607
533,"ABW","Aruba",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
