"code","iso","country","COE.raw.2003","COE.raw.2004","COE.raw.2005","COE.raw.2006","COE.raw.2007","COE.raw.2008","COE.raw.2009","COE.raw.2010","COE.raw.2011","COE.raw.2012","COE.raw.2013","COE.raw.2014","COE.raw.2015","COE.raw.2016","COE.raw.2017","COE.raw.2018","COE.raw.2019","COE.raw.2020","COE.raw.2021","COE.raw.2022"
4,"AFG","Afghanistan",0.183861043611317,0.177822501142209,0.189674630425635,0.185611512225999,0.192841698025116,0.184347138781882,0.183399673228613,0.180929075555071,0.17546744995797,0.195066174456273,0.189892777687053,0.183878404275277,0.188560070457455,0.190945642881165,0.195330922345866,0.183515240856975,0.198204691597454,0.203690112541933,0.196207635011522,0.1938279101048
8,"ALB","Albania",0.196645323136425,0.176926281669325,0.181241252051484,0.175191211076746,0.201266944490486,0.163865654361821,0.156555111179846,0.155857678426855,0.168913584023369,0.180028545930519,0.150485358292773,0.146185924193442,0.155878133324502,0.142885278188143,0.149092724804077,0.139350855784568,0.135859248250123,0.136659746982881,0.142347160238463,0.13220634225296
12,"DZA","Algeria",0.170824691135092,0.16890610436347,0.171545208151535,0.172502121882839,0.188420984145095,0.16883312761342,0.168179850875993,0.167559925756404,0.177522073044684,0.226403267265938,0.17535249303625,0.194220000405826,0.211172080150869,0.215531588314404,0.225104922414048,0.202913835738039,0.208903651219017,0.23956823431936,0.242788069517851,0.237909623496508
20,"AND","Andorra",0.199557560613447,0.184743438531642,0.181996568126755,0.179982078929772,0.176611371365472,0.168227432650232,0.16121636182491,0.160859976022333,0.158765840413147,0.160604347447247,0.154374228657765,0.15095987099548,0.154518933226889,0.151328432258748,0.151736852023965,0.146784522376698,0.144064595947864,0.144756771197761,0.148689292616231,0.144171919039924
24,"AGO","Angola",0.302598308389595,0.303251315209065,0.305109276312544,0.291025793945552,0.303460448831521,0.296810043256216,0.277819673976477,0.293893651942191,0.30488627002164,0.268816673514922,0.273346450582413,0.250018300782176,0.281518016268217,0.277754374400075,0.239468494872192,0.233736163162608,0.253793715892224,0.246695842046534,0.234939839765676,0.23468136252371
660,"AIA","Anguilla",0.0946573862181716,0.0893093511322045,0.0904344448184215,0.089409810511215,0.0866292462923175,0.0850135047145462,0.0798122623133245,0.0848892710240411,0.0796096678916371,0.0819829986741197,0.0801528536548902,0.076623672272713,0.0785806346795892,0.0777369714422928,0.077165172020125,0.0753737276371363,0.0734385118104007,0.0769911904376585,0.0789988731387127,0.073681324804462
28,"ATG","Antigua and Barbuda",0.107018420008149,0.0893246091744275,0.0922899909102551,0.105352631917357,0.0899486598896748,0.0852268238530134,0.0836608695341765,0.0902629287644092,0.0807790187222858,0.0826332899300135,0.0809744586995539,0.0774301187040033,0.0799993074203684,0.079539423502155,0.0774730864905013,0.076236417349211,0.0741712315137822,0.0780642275569292,0.0797757614513601,0.0741763705443106
32,"ARG","Argentina",0.147029202864513,0.135044932951667,0.13063156863595,0.139913838875756,0.145046125261434,0.138865060367686,0.128513882709329,0.123910767620961,0.119615801777288,0.128864647405278,0.125351656738818,0.119251283631481,0.122850314746953,0.118502003953723,0.121140484537107,0.119602579875987,0.124348235692822,0.141668699507174,0.121893090586634,0.131970155730442
51,"ARM","Armenia",0.175271244165843,0.167166391340087,0.170613234043162,0.168002713560717,0.164806097959529,0.160319421163988,0.151782850129827,0.161647093086487,0.153795425943361,0.160943306000828,0.155537802383779,0.153488049423853,0.157642205805974,0.160274497147986,0.162018792360702,0.153479227063108,0.159672559173928,0.156815913213689,0.159763594100412,0.150331760443607
533,"ABW","Aruba",0.0932543508385989,0.0897451063929572,0.0946430229968504,0.0874269897367112,0.0899487481924879,0.0846846238472455,0.0808390749454848,0.0900663495260177,0.0849405109218225,0.084011121741765,0.0847871182682141,0.0794341560195203,0.083741169946073,0.0855320265651573,0.0882026494966251,0.0815676938298587,0.0825453126532074,0.0880006733674487,0.0842913821036132,0.0822361275203411
36,"AUS","Australia",0.116535621229237,0.108353271627017,0.107962382131371,0.110269739382204,0.101374299639918,0.0905617163107547,0.0945462932607465,0.0903976263141697,0.0887834943278068,0.0868759774823493,0.0928111155135985,0.0878926763696952,0.0877422752229545,0.0879085343742658,0.0837554067111412,0.082627022194801,0.139551560856922,0.0949744224420893,0.0755841704448982,0.0727717743555831
40,"AUT","Austria",0.246608294663937,0.222696073290793,0.222205041618834,0.21945980627769,0.204521777510858,0.19935853563917,0.19558569601944,0.199821826960683,0.19184601770057,0.184754719086065,0.186252165419053,0.184170336079586,0.186858975668629,0.176456302937255,0.172896250891019,0.168426227720976,0.161768067562186,0.165194519728818,0.170822511153459,0.159583551227756
31,"AZE","Azerbaijan",0.163283659371768,0.156275823388122,0.155687366040708,0.156609252296057,0.153630912649045,0.145907921977322,0.142717582685843,0.156174217806185,0.144833569793073,0.152054241060818,0.145531592735468,0.142405264624782,0.148039271951068,0.143236739087511,0.143527665373801,0.138738168572087,0.142111415429649,0.142928716670634,0.148703367902027,0.136789490866997
44,"BHS","Bahamas",0.108686236351731,0.107625385606441,0.107463981153804,0.106499125208642,0.104022250608148,0.0982734144171971,0.092638963619424,0.101562931039882,0.0968231599052682,0.0954258188031012,0.0916916154320025,0.092773687614534,0.0901719224329013,0.0934512941518564,0.0882469827142353,0.0839798052118765,0.0825546013442958,0.086621983174299,0.0880559355714125,0.0799956373270633
