"code","iso","country","NTL.raw.1992","NTL.raw.1993","NTL.raw.1994","NTL.raw.1995","NTL.raw.1996","NTL.raw.1997","NTL.raw.1998","NTL.raw.1999","NTL.raw.2000","NTL.raw.2001","NTL.raw.2002","NTL.raw.2003","NTL.raw.2004","NTL.raw.2005","NTL.raw.2006","NTL.raw.2007","NTL.raw.2008","NTL.raw.2009","NTL.raw.2010","NTL.raw.2011","NTL.raw.2012","NTL.raw.2013","NTL.raw.2014","NTL.raw.2015","NTL.raw.2016","NTL.raw.2017","NTL.raw.2018","NTL.raw.2019","NTL.raw.2020","NTL.raw.2021"
76,"BRA","Brazil",4656852,5433891,5239800,6647776,6770911,7394894,7537235,8079282,8479705,7551369,8097672,8081764,9059223,8782261,9200412,9504747,9341282,10006998,10786312,11118537,12853874,25146555,26719473,28653852,26247597,36780140,35240582,35450523,31059664,32392400
92,"VGB","British Virgin Islands",1426,1802,1913,2479,2426,2748,2698,2914,2720,2842,3129,3056,3203,2843,2914,3039,2832,2918,2808,3024,3099,3151,3088,3102,2986,2714,2187,2959,2498,3328
96,"BRN","Brunei Darussalam",22100,32556,34272,44099,50008,50910,50563,45989,46037,46632,49172,44050,51375,46125,44020,49212,50208,52760,57306,62616,61521,70470,72562,76675,70975,79783,79063,82748,75807,83242
100,"BGR","Bulgaria",447919,611798,454369,675230,583683,436469,625597,575158,754411,771323,864462,628317,663493,807387,609689,714161,802633,763863,782824,778747,890335,1306889,1364451,1302536,1311708,1691455,1583661,1718273,1428998,1548176
854,"BFA","Burkina Faso",12163,15879,15967,18657,20614,21151,25767,26786,28902,30353,30702,30358,33406,35348,36007,38660,39019,42651,48325,50587,59918,951181,751641,762650,777036,1188845,1052598,1035697,809574,920565
108,"BDI","Burundi",3301,5087,4733,5368,3293,4160,4308,4331,5462,4583,5161,2165,4963,4347,6845,6280,5659,6345,7895,7685,9435,87096,74770,107128,95279,77373,92724,86985,86422,91037
132,"CPV","Cabo Verde",2831,3598,3743,5472,6060,5757,7636,8915,9801,9821,9423,9918,12212,11937,10602,12041,11411,10802,13107,13879,14398,22854,27714,25612,24952,35568,35971,38210,32749,35432
116,"KHM","Cambodia",4641,7149,5768,8235,7510,13078,12696,14966,17646,18949,18391,22284,27491,24339,23710,28246,28890,21107,96803,80183,51381,593907,385344,457326,575535,685327,883702,858331,875759,910417
120,"CMR","Cameroon",34112,36977,31760,40652,44208,42325,45195,45825,52233,56387,56405,50036,61588,52885,47869,52091,54081,57484,63522,65962,79699,933086,801733,824037,883083,1402436,1380149,1297012,1083577,1176069
124,"CAN","Canada",13854001,14123197,12472318,16651507,15091331,13380545,15526233,15304015,16261258,14728252,14853342,13602012,15361339,13313837,11398804,15180624,15065305,14292910,13811412,14624861,13644537,14385617,16644726,68215756,40164728,59756942,21329563,22077168,16310282,35612487
136,"CYM","Cayman Islands",5903,5787,6077,7597,7930,8413,8362,8849,9107,9333,9261,9365,8083,8781,9264,9475,9146,8453,8946,9189,10661,9984,9920,9909,9865,10463,10192,10313,6836,10364
140,"CAF","Central African Republic",5958,4955,4731,6211,5720,5524,6140,6488,6549,5742,6123,4838,6743,5205,4788,5273,4451,4711,5843,6515,5563,1864484,1819841,2062573,2549709,2961574,2967742,2854172,2529493,2664774
148,"TCD","Chad",4537,5418,4881,6961,7194,6635,6585,7198,8280,9867,10513,12225,15145,16840,15530,19670,16797,20455,24160,31111,35121,1247645,1080235,1209754,1438045,1605734,1245449,1565385,1407503,1372333
152,"CHL","Chile",330936,435119,461748,561080,572669,592643,717939,697872,768281,799653,809319,788408,878603,822096,813715,880713,837529,931649,963705,1015269,1108149,1897328,1916952,1947257,1926806,2499936,2863546,2590704,2297677,2417362
