"code","iso","country","VOE.raw.2003","VOE.raw.2004","VOE.raw.2005","VOE.raw.2006","VOE.raw.2007","VOE.raw.2008","VOE.raw.2009","VOE.raw.2010","VOE.raw.2011","VOE.raw.2012","VOE.raw.2013","VOE.raw.2014","VOE.raw.2015","VOE.raw.2016","VOE.raw.2017","VOE.raw.2018","VOE.raw.2019","VOE.raw.2020","VOE.raw.2021","VOE.raw.2022"
4,"AFG","Afghanistan",0.0144274941396986,0.0128416775800024,0.0138464059643475,0.0132048459140821,0.0149850816776626,0.0145362023035274,0.0145844961068985,0.0147173555409697,0.0154710494087189,0.0154493799273994,0.0162877203699275,0.0162365201505698,0.0169931463900975,0.0139446134584445,0.0148887209465322,0.0146122164819204,0.0157850667322887,0.0160322330875521,0.0159254209202737,0.015864468758493
8,"ALB","Albania",0.00991167784451186,0.00825675107386555,0.0107320022980151,0.00895764429140202,0.00952805091981991,0.00863238036395172,0.00841487488012906,0.0101316581372894,0.0117735365989466,0.0132976497098021,0.00888510274239708,0.00696419159443912,0.0104238717423758,0.00873046411433396,0.0114449379206951,0.00993349571991769,0.0100441311111501,0.00942449527686668,0.00977994069315528,0.0096940512578198
12,"DZA","Algeria",0.0217868955535473,0.0237066678704002,0.0223100932298158,0.0221799862989815,0.0211006641778862,0.018016146409643,0.0227375030677771,0.0212484886248832,0.0243044503918151,0.0283251887624338,0.0191402654020622,0.0238126671561193,0.0259281951844225,0.0226576592855384,0.0234485480239033,0.0228463966319562,0.0217001016981124,0.0235407964460795,0.0228075425127755,0.0248625576586586
20,"AND","Andorra",0.0123483254022147,0.0120631788122912,0.00859188097517433,0.0120939987509562,0.00839265171746145,0.00909316170363385,0.0118091152231817,0.00982599659071759,0.0118650235334362,0.0116867120274123,0.00976865053700197,0.00893971015052068,0.0104887244760448,0.0115208262175688,0.0127763692128085,0.011670870466988,0.0115643821972609,0.0115950405018836,0.011669948142994,0.0118790941124371
24,"AGO","Angola",0.0597950952673289,0.0611106192426088,0.0703865872141873,0.0607706250367771,0.0684539186480151,0.0743825231806469,0.066893597001276,0.0855881630558424,0.0762561565440103,0.0797221477642558,0.078720653466001,0.0771017215358278,0.0836019298066298,0.0720161416684982,0.0661228118005696,0.0658884091410064,0.0635796405919413,0.0613848166717306,0.0606730888919044,0.0603363074448114
660,"AIA","Anguilla",0.00104624788873224,0.000942051002593822,0.0010520325401752,0.00109093132809478,0.0009717444828404,0.000914513577106503,0.000934275664362995,0.00107016731582216,0.00093377027397503,0.000952223763643615,0.00092181836995368,0.000905066439840598,0.000951279317136413,0.000992422194737762,0.000876527989367685,0.000861824882892766,0.000874823715123932,0.000873182238738301,0.000882795935452298,0.000851040167068985
28,"ATG","Antigua and Barbuda",0.00205402946412082,0.00134841811797531,0.00172475869973786,0.0023779077517472,0.00158725231478325,0.00128605575244997,0.00150704307187984,0.00207596948934829,0.00148243913789166,0.0014434709781338,0.00135941682504595,0.00133694889168041,0.00149187869549966,0.00160398040480188,0.00115744037885767,0.00117025300997785,0.00119993736629973,0.00117691672541174,0.00118176005449636,0.00113540448695392
32,"ARG","Argentina",0.0668598477200622,0.0618961915245758,0.0383602666575276,0.0568268563993853,0.0565523883018289,0.0369945546457569,0.0464104000907217,0.0386160890205645,0.0431629790769078,0.0499072125231756,0.0486022429784263,0.0442182430613326,0.0486525572858963,0.0333660028327167,0.0359175063470497,0.0440983531567577,0.044151652389006,0.041652142127304,0.0422587453101446,0.0415380910751658
51,"ARM","Armenia",0.00939027764520961,0.0114735896199333,0.00963853391983485,0.0144038517434245,0.0114917409050051,0.0112079591764739,0.0086424812072565,0.0136575426442438,0.010388757131474,0.0105221309214778,0.009717375574525,0.0128222596563551,0.0128229379740248,0.0129597111633897,0.0170076426926386,0.0118945304833329,0.0122645978981484,0.012176121056134,0.0118180663007697,0.0117839601984561
533,"ABW","Aruba",0.00277804544462379,0.00283281058852293,0.00379830204202216,0.0030491294938189,0.00308051342571757,0.00260016412260368,0.00270169020514565,0.00378171632423575,0.00378875439758491,0.00344452441040303,0.00320524251810117,0.00263206691321677,0.00286769672057108,0.00473888091115941,0.00488366073734296,0.00353376575146503,0.00395386825159832,0.00370709205905452,0.00360236067580248,0.00378958733172031
36,"AUS","Australia",0.031549833817355,0.0473136292047028,0.0545875004482296,0.0542542755678083,0.0349671861758052,0.0341078869112306,0.0454298941180084,0.0396359609272689,0.0416313600635763,0.0390788068370302,0.0428248049900377,0.044861348358177,0.0470778738186582,0.0422728481018834,0.0405195472845061,0.0393856611963754,0.039557777148773,0.0386255305476923,0.0405634619096196,0.0396566196402143
40,"AUT","Austria",0.010858335990903,0.00812362302533182,0.00790226781318144,0.00626070842960303,0.00709517085911343,0.00930801204438471,0.00913043266782601,0.00746579242355422,0.00892188296508412,0.00901121877158369,0.00811137327109674,0.00726801571432469,0.0094693603444789,0.00891531227332358,0.00919642200143045,0.00868401311625844,0.00847804735803485,0.00902631149286103,0.00847839950007958,0.00835823029262093
31,"AZE","Azerbaijan",0.0114434608748355,0.0136033989623406,0.0127272729966442,0.018364727710185,0.0180729195516283,0.0131860244825058,0.0130022083966884,0.0198551320248764,0.0144563870879819,0.015095307236786,0.0135714776372639,0.0153804811477244,0.0171183909483162,0.013528052511426,0.0140598760058609,0.0126792026241879,0.0123091491968639,0.0128543638154772,0.0131999955695711,0.0126972944269875
