"code","iso","country","TCC.raw.2001","TCC.raw.2002","TCC.raw.2003","TCC.raw.2004","TCC.raw.2005","TCC.raw.2006","TCC.raw.2007","TCC.raw.2008","TCC.raw.2009","TCC.raw.2010","TCC.raw.2011","TCC.raw.2012","TCC.raw.2013","TCC.raw.2014","TCC.raw.2015","TCC.raw.2016","TCC.raw.2017","TCC.raw.2018","TCC.raw.2019","TCC.raw.2020","TCC.raw.2021","TCC.raw.2022"
4,"AFG","Afghanistan",88.0927124726996,178.640363847506,244.336255176793,201.444958543251,235.956834322818,152.084535921028,252.841662036967,107.406248242,70.4054969240538,87.728452806416,112.955062178954,39.3076156560536,1.45184122524522,2.71929047096788,-9999,-9999,-9999,25.7058452539019,17.1150667581445,36.5823078924066,26.4824616019173,5.87254217911024
8,"ALB","Albania",3729.02103148486,889.517115481187,613.533964996035,3236.59553951855,694.575351021669,962.706292414279,5225.02668846589,5471.31840388018,1337.34029202893,655.793343785084,1188.24819566251,5395.64885290522,2570.31092204013,1051.88171570211,283.574737103897,928.44962233817,1689.02503275382,2048.76922812295,1074.14461078847,1117.78738856239,1685.67723568926,2095.48427006634
12,"DZA","Algeria",3468.7602521696,3009.83312064461,3831.4371131811,4374.15938832561,4469.56862855997,5415.39407352861,5201.5565830457,7972.33695954944,10467.2735717668,2605.62381650651,8344.08446203929,10912.733208613,6926.52926971552,9523.34857212739,5706.84570000082,8011.48377873878,45978.5550963903,5763.90973646607,6291.28820175072,13072.6666017597,20472.8926204843,13442.6136365019
20,"AND","Andorra",1.65421294770616,1.25502222352864,0.342063642126736,22.5893744865342,2.39615769844618,6.6245482711849,2.16905929217881,5.24786348720268,2.85329960521484,1.08372213858072,0.913257606093749,7.69771963732205,3.36418664112196,1.36826045550347,2.16778333332465,0.627510828626302,3.42216039471354,14.8882136337261,8.03998279296006,27.4944919866796,2.22471297738064,15.226936491046
24,"AGO","Angola",101220.6215245,61034.2272658815,52461.5454657123,71273.8769082336,93434.7368442984,76940.4260287003,145286.712618932,103582.036353462,165947.650351214,159806.091260325,182927.915450208,180754.820684468,168841.254197719,212662.076714711,161718.969611051,229710.487435925,280456.3210513,242552.497389538,175098.370183632,248028.431778444,298294.06964509,266942.236723834
660,"AIA","Anguilla",3.87846070809678,0.146329650799696,1.09774508499131,8.85399590507161,3.65866292281358,1.31715659843315,8.63554887017035,10.3906512749533,1.90246758015408,0.439017861481119,1.02456278406141,1.90261415862413,1.31716796056857,0.365832980221354,-9999,-9999,1.17081098392035,0.219474815132378,-9999,0.146329856090494,1.68278169644097,0.219497195673828
28,"ATG","Antigua and Barbuda",24.0741894383268,17.6560416525434,17.0780226113932,25.4632597464398,61.1655998156781,61.1521159968272,37.1578287404568,45.6956437829557,61.5300948193348,19.1364780119639,25.8364759735199,33.345390665995,21.3452319761979,24.8756521566124,8.90747070089626,14.4253997362749,71.8984097999903,162.814605988637,23.4103101071039,15.235993936174,39.1589252103602,37.3195643235145
32,"ARG","Argentina",147805.950355627,105001.862245904,249155.006893011,433429.689669164,367249.347774893,316447.228385678,425345.267763961,592753.227198336,309857.999150469,413230.822407081,499187.177669319,478177.910644148,376776.593290887,241102.807660986,180233.105499868,230189.421127317,233919.677767189,172958.094577021,145444.270784679,197379.024915417,201881.841050826,232223.662919479
51,"ARM","Armenia",131.840612264474,172.538591177831,395.816694918294,83.2047439481185,104.014577636627,129.749066650566,54.5364156634852,113.031533139032,202.733517452042,162.172624326069,173.988574498576,197.678176409158,41.8412621937651,38.1275819058029,1.99011539360894,30.0475796445898,41.7473180152126,5.90252185319227,0.706427593621961,18.5429691633875,4.96472232192057,8.46307184608506
533,"ABW","Aruba",-9999,0.526107731559787,0.977057600014106,-9999,-9999,0.225486960564236,-9999,-9999,0.375797838164605,-9999,-9999,0.150324923184678,-9999,-9999,-9999,-9999,-9999,0.300630886008572,-9999,-9999,-9999,-9999
36,"AUS","Australia",218816.302071089,312150.16268373,373846.609083387,124768.677018028,177023.608127624,186303.939364445,372716.784111204,205724.854030255,203711.091918606,290725.498718446,121315.707314502,139802.757737008,260094.139570634,281737.524096337,261575.004181528,430902.903126649,236876.45758491,250750.69872334,1661547.60338715,2356516.28766233,261043.553472131,118987.434874085
40,"AUT","Austria",6926.269007849,10902.1498770553,14475.6948263987,14599.4047673175,21657.1456085136,12583.5333934775,31669.6899276509,26895.7431901562,15887.114562212,16712.8637813389,18089.7613580744,11158.4292337297,7645.34181265341,9869.56861126756,7937.70488354001,17210.2931877555,18405.6897260197,26310.0929436867,33642.4307956119,25936.5150664044,16651.6415526769,19865.0622304055
31,"AZE","Azerbaijan",553.299356121381,1154.20594286608,1039.34155116165,584.955793002261,246.265258757643,525.201462694247,507.557225265027,472.316924148984,371.834047451176,549.600088443597,147.455688626063,597.63196869334,149.075993705876,328.246022802263,26.7451929600521,25.4752098674609,80.1010522112152,75.3286397556706,11.9497634291666,22.7749614943728,85.226337261263,146.178247370431
44,"BHS","Bahamas",432.999419703507,700.976136521128,274.23087625082,588.099371463769,1450.09057364047,1015.77394436093,604.807671603694,1949.23576147202,823.971962444363,400.643992779148,624.793852519444,370.593972574439,1572.70768040758,902.306492079028,1089.01311180571,3136.08465530682,3703.93622655409,913.749076370806,1557.77356329313,2696.17849708247,1548.81289483581,593.103843067059
48,"BHR","Bahrain",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
