"code","iso","country","SOE.raw.2003","SOE.raw.2004","SOE.raw.2005","SOE.raw.2006","SOE.raw.2007","SOE.raw.2008","SOE.raw.2009","SOE.raw.2010","SOE.raw.2011","SOE.raw.2012","SOE.raw.2013","SOE.raw.2014","SOE.raw.2015","SOE.raw.2016","SOE.raw.2017","SOE.raw.2018","SOE.raw.2019","SOE.raw.2020","SOE.raw.2021","SOE.raw.2022"
4,"AFG","Afghanistan",0.00123828982905688,0.00132672220696315,0.00137024334972424,0.00148301674112955,0.00157989560704171,0.00170847098159654,0.00170940780567853,0.00183286518693564,0.00189054178211621,0.00191867166748817,0.00199918962097961,0.00205438337225874,0.00207773465118945,0.00228718496401343,0.00226893944919317,0.00229545866430866,0.00231459610094584,0.00238317695025798,0.00262414258774685,0.00259184220853066
8,"ALB","Albania",0.0162442075291581,0.0144007078495379,0.0145150912628167,0.0134851617771654,0.0121225340532269,0.0111156553069062,0.00977002404508376,0.0082188987336168,0.00902321078112101,0.00816556907064707,0.00749468685298323,0.00674374210576082,0.00697397047677766,0.00620060430835372,0.00627347573870507,0.00634935707434939,0.00582586650159562,0.00526109272970758,0.00531524967878501,0.00553747003334107
12,"DZA","Algeria",0.00632248058994762,0.00681833353887472,0.00702978114944318,0.00704242608408138,0.00688584912278818,0.00685483061090169,0.00667460521966089,0.00644088293661106,0.00766897647266987,0.00891057434082225,0.00854652398463277,0.0103646678935351,0.0115621510186622,0.0122838551233981,0.0129948689668058,0.0136044464074184,0.0140926419194507,0.0161416961645293,0.015414492015711,0.0167214802199045
20,"AND","Andorra",0.00699999917142925,0.00635770280067845,0.0059845637902063,0.00570702138015292,0.00489333310538933,0.00453163968951258,0.00407378844884035,0.00343466780408281,0.00334524696649603,0.00310469348921352,0.00276511842627651,0.00271216628517366,0.00254574885274687,0.0023445782522569,0.00217731399216411,0.00189879862859942,0.00180107306344434,0.00159963419200099,0.00154850828365298,0.00165666431755031
24,"AGO","Angola",0.00167416201307231,0.00170492224245885,0.00169688501008482,0.00174435335063533,0.00186765954900517,0.00187659448679306,0.00181767741209127,0.00189610061550652,0.00203918857919814,0.00184247692763927,0.00198099025550651,0.00190796843677915,0.00205575600550074,0.00223015733986549,0.00209831412478654,0.00223527780492041,0.00247316639962968,0.00247903268529668,0.00253110464728223,0.00238242606701121
660,"AIA","Anguilla",0.000849041312757845,0.00069579524452228,0.00084561881647347,0.000810811375528659,0.000812068028662137,0.000645739372323162,0.000705730970779762,0.000924302215767161,0.000706879349450236,0.000762193812681851,0.000647373292392186,0.00067911773944077,0.000753486021175768,0.000805899939847523,0.000647532985358373,0.000533984273302244,0.000616193899165308,0.000613284771056788,0.000569996740254997,0.000544724743134669
28,"ATG","Antigua and Barbuda",0.00263353055404096,0.00222257608135253,0.00272859907099303,0.00264230309696761,0.00240066832327909,0.00200376199309758,0.00208833912022379,0.00288454917427054,0.00233910289185511,0.00223008304331736,0.0020642603819064,0.00206233788441227,0.0022605499779912,0.00266657664798002,0.00165713304119171,0.00154651657289698,0.00169886148159588,0.00163454732983335,0.00155819226187648,0.00150954636236168
32,"ARG","Argentina",0.0025327621653468,0.00230630493091659,0.00219607135448335,0.00223001132840657,0.00212156436989064,0.00218935871696855,0.00198542844462713,0.00185951748539688,0.00181651580260127,0.0017862022122797,0.00178930739351687,0.0016989810315619,0.00170294510408788,0.0016292685618123,0.0015926845461795,0.00156396423698901,0.00154271630068486,0.00166692014864356,0.00155611506057917,0.00166681771839059
51,"ARM","Armenia",0.00548212928463652,0.00553874395987206,0.00569031360292689,0.00636135596432546,0.00691811355798708,0.00800829530030056,0.00830066217487747,0.00888471417931713,0.00872964431022584,0.00901574503032892,0.00897287230636508,0.00924989296248243,0.00888039428916589,0.00909525488262401,0.00925110631874022,0.00866384596827267,0.0094726802459271,0.009209510659509,0.00921755808500015,0.00916397496570028
533,"ABW","Aruba",0.002585986441981,0.00243582067232475,0.00258556625374414,0.00241892108222335,0.00235489776088701,0.00212748918805375,0.00216372029662463,0.00235234066511236,0.00220692258105072,0.00221271604327789,0.00216780811220272,0.00208170384175496,0.00213037026757758,0.00233595083674491,0.00226858399787939,0.00212144075053369,0.0022537706256154,0.00209347098330376,0.00205649115094659,0.00200874143951228
36,"AUS","Australia",0.0157807098935477,0.0152446202909365,0.0152880262101798,0.01434328733808,0.0134406100376494,0.012807307657282,0.0123228227777384,0.0118444309791809,0.0110443376233557,0.0106237051923513,0.0101899945456967,0.0099098994975155,0.00948785101934388,0.00860679045169646,0.00798308282734411,0.00740091131044924,0.0074503674230071,0.00648899946101969,0.00644303624536156,0.00629403437404774
40,"AUT","Austria",0.00667035401045041,0.00587817986036833,0.00603571377380632,0.00554176216798734,0.00487649370486302,0.00473835467862658,0.00429353317292085,0.00385911951984113,0.0037372593278959,0.00344443501771219,0.00330757740668812,0.0032427334704469,0.00314503902724262,0.00288335633639552,0.00265572457824881,0.00277300554331327,0.00246002733318834,0.00226866745331963,0.00227405528735048,0.00228000246981381
31,"AZE","Azerbaijan",0.0137713583074002,0.0142396720966698,0.0135558661157683,0.0128667529954484,0.0121298228153413,0.0110853332577311,0.0104461106035412,0.0100102603216054,0.00908395032974243,0.00925580418801784,0.0090144161727476,0.00879359487039312,0.00863970990817083,0.00847865283796596,0.00785907819980266,0.00741673561372309,0.00757067288987352,0.0074842262479122,0.00755544657742052,0.00736695118929149
