"code","iso","country","USD.raw.1990","USD.raw.1991","USD.raw.1992","USD.raw.1993","USD.raw.1994","USD.raw.1995","USD.raw.1996","USD.raw.1997","USD.raw.1998","USD.raw.1999","USD.raw.2000","USD.raw.2001","USD.raw.2002","USD.raw.2003","USD.raw.2004","USD.raw.2005","USD.raw.2006","USD.raw.2007","USD.raw.2008","USD.raw.2009","USD.raw.2010","USD.raw.2011","USD.raw.2012","USD.raw.2013","USD.raw.2014","USD.raw.2015","USD.raw.2016","USD.raw.2017","USD.raw.2018","USD.raw.2019","USD.raw.2020","USD.raw.2021"
4,"AFG","Afghanistan",2348.16336913767,2438.47297287431,2469.70678653059,2562.84532157034,2313.80705652033,2455.61393810611,2416.21769000539,2485.79552899005,2468.30782976739,2387.22284660316,2325.11594126104,2317.17573591733,2166.41125151237,2149.19000455839,2064.05116405986,1928.58445165494,1722.7931193182,1547.28585028373,1357.39071318296,1178.95270284999,1066.03136147882,966.33203911532,876.3157005614,854.8531936346,797.84592266357,748.58976853565,711.70196906691,662.44859120027,558.47393875711,517.41443673339,463.71892174557,411.00707673358
8,"ALB","Albania",88.35133571648,92.66134221311,92.35031240513,89.67713629779,104.78025071724,76.51041445071,68.53326784155,63.58500883085,57.64413282017,48.46954971307,41.66300109346,36.09032391386,31.30751323471,27.08215804178,23.25943876377,20.72437541425,19.25150402974,18.03891123783,17.14807368093,16.24506709058,15.63889870754,15.43386729396,14.85811307184,14.14027182478,13.36639063181,12.76855076435,12.34352396963,12.00181414658,11.36603899258,10.31810286943,9.52644267995,8.75434703573
12,"DZA","Algeria",144.89905963908,128.37530841746,115.57988965974,105.82088487567,97.58807003542,89.46054027087,81.95286382281,76.78988634803,71.39614639501,66.65902557138,61.95950159687,57.58791797099,53.42448410739,49.43584973575,46.02444176602,42.38233933479,38.92220143406,35.52680963071,32.4488760136,29.53492971565,27.12162578674,24.78041105324,22.7146550924,21.69734464956,20.71285748463,19.66774111166,18.47055065861,16.89561184785,15.9166673659,14.97599292464,14.16249261631,13.5820103232
20,"AND","Andorra",1.7102347423,1.67560560994,1.65509619995,1.62887399761,1.61163887772,1.59820904523,1.57390127722,1.54031634074,1.50431134901,1.463448096,1.42461778228,1.38395548841,1.31367545249,1.2874448827,1.25964926502,1.23099689096,1.19871370261,1.16780836577,1.13051354959,1.08726589908,1.03685627276,0.98128437721,0.96359258617,0.94995956863,0.93302156056,0.91208006642,0.86233502251,0.78363164415,0.70067239312,0.64876380587,0.62711681389,0.60728089462
24,"AGO","Angola",8518.68427976253,8140.63984173713,7705.41831109958,7446.86307830398,7254.89435135241,6982.34757225799,6530.16300783117,6280.96214552475,6116.95344325475,5901.45384765286,5668.2159546549,5390.10220729731,5085.18697761257,4771.89933141125,4580.59764904784,4207.45276286826,4183.17163954307,3677.10080796407,3349.51537239367,3066.81313991302,2813.98534194573,2549.28764025153,2246.8913629076,1957.98026730806,1653.38393457592,1458.47752004496,1304.03499416434,1183.93332621005,1066.17391975293,981.38196382222,894.2156920133,826.50304590713
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",114.30900839858,105.70801732797,105.65461893462,115.27559651913,112.44329956046,111.89212345786,109.74935370129,104.00760961913,96.97647670702,88.67888005499,80.78080622566,72.49492507411,67.78273666471,66.2047564155,65.32278424618,66.58309480146,65.58174765356,64.16486868126,61.32307641525,58.30969749243,56.63879544968,54.97661200042,53.81961142727,53.44232031426,54.68310128808,52.74947021507,51.3439970901,50.75156361913,49.73939246293,48.81453772128,47.08631324289,45.89823627139
32,"ARG","Argentina",128.20927056706,115.98155706689,99.98270888331,87.54408663973,81.64228432081,80.47760592756,76.60778914327,76.92758384227,71.85146352917,64.47469598895,57.52010553665,55.11600866447,54.05312053873,49.3114786033,43.68513953509,39.15705686316,35.95750467255,33.01512345939,30.75679025761,28.03117056721,25.61386878615,23.8542145772,21.64805150173,20.55121462726,19.40929973492,17.00613964744,14.61861302909,12.19488282081,9.70797957757,8.59644623577,7.843770547,7.27445374268
51,"ARM","Armenia",445.10972057188,439.15730111617,467.69548811354,452.57072204006,443.57628584765,400.52848024415,341.09224095239,305.60956087105,255.97276683976,214.08366462284,178.99486492179,156.30904238377,126.94302341307,108.09747692533,97.82870528224,87.34918609028,78.28778173004,59.51620983775,51.28286487227,42.37866726345,34.78892049629,31.20908481816,23.51646213119,19.63035523096,17.30177273323,15.54501367946,15.98061493586,13.36653180063,12.98055148961,12.57886449173,11.80149530907,11.17599118213
533,"ABW","Aruba",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
36,"AUS","Australia",5.71061442321,5.36991356924,5.10472420135,4.71943612131,4.53512361483,4.31584699253,4.03145169695,3.55297116819,3.22533258926,3.1213594841,2.93441309915,2.8354814908,2.82921331709,2.94866979323,3.03992470292,3.01835215103,2.94878849307,2.73199973334,2.28211635715,1.97093877526,1.69357354692,1.64862172933,1.56771433741,1.3474724444,1.2866171896,1.1849767196,1.06772836387,0.99133038711,0.90756485108,0.86854355352,0.8074839695,0.76114610517
