"code","iso","country","WWT.raw.2015","WWT.raw.2016","WWT.raw.2017","WWT.raw.2018","WWT.raw.2019","WWT.raw.2020","WWT.raw.2021"
233,"EST","Estonia",0.83,0.83,0.83,0.83,0.83,0.83,0.82
748,"SWZ","Eswatini",0.0641,-9999,-9999,-9999,-9999,-9999,-9999
231,"ETH","Ethiopia",0,-9999,-9999,-9999,-9999,-9999,-9999
234,"FRO","Faeroe Islands",0.7467,-9999,-9999,-9999,-9999,-9999,-9999
238,"FLK","Falkland Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888
242,"FJI","Fiji",0.3603,-9999,-9999,-9999,-9999,-9999,-9999
246,"FIN","Finland",0.84,0.84,0.85,0.85,0.85,0.85,0.85
250,"FRA","France",0.82,0.82,0.82,0.82,0.82,0.82,-9999
258,"PYF","French Polynesia",0.5015,-9999,-9999,-9999,-9999,-9999,-9999
266,"GAB","Gabon",0.3591,-9999,-9999,-9999,-9999,-9999,-9999
270,"GMB","Gambia",0,-9999,-9999,-9999,-9999,-9999,-9999
268,"GEO","Georgia",0.321,0.335,0.357,0.36,0.365,0.365,0.37
276,"DEU","Germany",0.96802,0.97124,0.971808,0.972379,0.97295,-9999,-9999
288,"GHA","Ghana",0.063,-9999,-9999,-9999,-9999,-9999,-9999
300,"GRC","Greece",0.934,0.934,0.948,0.948,0.942,0.947,0.947
304,"GRL","Greenland",-8888,-8888,-8888,-8888,-8888,-8888,-8888
308,"GRD","Grenada",0.4447,-9999,-9999,-9999,-9999,-9999,-9999
320,"GTM","Guatemala",0.2394,-9999,-9999,-9999,-9999,-9999,-9999
831,"GGY","Guernsey",-8888,-8888,-8888,-8888,-8888,-8888,-8888
324,"GIN","Guinea",0,-9999,-9999,-9999,-9999,-9999,-9999
624,"GNB","Guinea-Bissau",0,-9999,-9999,-9999,-9999,-9999,-9999
328,"GUY","Guyana",0.2028,-9999,-9999,-9999,-9999,-9999,-9999
332,"HTI","Haiti",0,-9999,-9999,-9999,-9999,-9999,-9999
