"code","iso","country","VOA.raw.1960","VOA.raw.1961","VOA.raw.1962","VOA.raw.1963","VOA.raw.1964","VOA.raw.1965","VOA.raw.1966","VOA.raw.1967","VOA.raw.1968","VOA.raw.1969","VOA.raw.1970","VOA.raw.1971","VOA.raw.1972","VOA.raw.1973","VOA.raw.1974","VOA.raw.1975","VOA.raw.1976","VOA.raw.1977","VOA.raw.1978","VOA.raw.1979","VOA.raw.1980","VOA.raw.1981","VOA.raw.1982","VOA.raw.1983","VOA.raw.1984","VOA.raw.1985","VOA.raw.1986","VOA.raw.1987","VOA.raw.1988","VOA.raw.1989","VOA.raw.1990","VOA.raw.1991","VOA.raw.1992","VOA.raw.1993","VOA.raw.1994","VOA.raw.1995","VOA.raw.1996","VOA.raw.1997","VOA.raw.1998","VOA.raw.1999","VOA.raw.2000","VOA.raw.2001","VOA.raw.2002","VOA.raw.2003","VOA.raw.2004","VOA.raw.2005","VOA.raw.2006","VOA.raw.2007","VOA.raw.2008","VOA.raw.2009","VOA.raw.2010","VOA.raw.2011","VOA.raw.2012","VOA.raw.2013","VOA.raw.2014","VOA.raw.2015","VOA.raw.2016","VOA.raw.2017","VOA.raw.2018","VOA.raw.2019","VOA.raw.2020","VOA.raw.2021","VOA.raw.2022","VOA.raw.2023"
36,"AUS","Australia",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.44020295143127,-9999,1.4074912071228,-9999,1.47130513191223,-9999,1.40723323822021,1.44212782382965,1.50154197216034,1.50705575942993,1.38279473781586,1.3691999912262,1.36807608604431,1.38379085063934,1.41976547241211,1.45372104644775,1.49919033050537,1.43641376495361,1.36174380779266,1.35561084747314,1.35369718074799,1.37772917747498,1.3939208984375,1.26963520050049,1.29803049564362,1.35839426517487,1.31948041915894,-9999
40,"AUT","Austria",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.44895005226135,-9999,1.35477888584137,-9999,1.31755948066711,-9999,1.30749690532684,1.34388208389282,1.47565114498138,1.37865650653839,1.37268495559692,1.36926245689392,1.35846436023712,1.39284467697144,1.43029069900513,1.40244364738464,1.44877302646637,1.45656740665436,1.3913494348526,1.3835529088974,1.33747661113739,1.38591921329498,1.39915668964386,1.33687436580658,1.39443778991699,1.38676011562347,1.40876078605652,-9999
31,"AZE","Azerbaijan",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.12103068828583,-9999,-1.02284121513367,-9999,-0.906228959560394,-9999,-0.981288135051727,-1.04470455646515,-1.05670249462128,-1.12416350841522,-1.27916121482849,-1.23339664936066,-1.32513201236725,-1.25976669788361,-1.30459702014923,-1.30184757709503,-1.29948163032532,-1.4027693271637,-1.47917592525482,-1.55238330364227,-1.56097424030304,-1.56363570690155,-1.50821161270142,-1.52881360054016,-1.5415164232254,-1.52770555019379,-1.4408358335495,-9999
44,"BHS","Bahamas",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.10283946990967,-9999,1.15747666358948,-9999,1.20222544670105,-9999,1.18893682956696,1.03227174282074,0.98453950881958,0.942519128322601,1.02023363113403,1.09843242168427,1.12191426753998,1.00714540481567,0.988209545612335,0.960108458995819,0.934573888778687,0.924448728561401,1.04737842082977,0.951491832733154,0.852161884307861,0.849596917629242,0.774486243724823,0.904696941375732,0.915464580059052,0.904381930828094,0.869135797023773,-9999
48,"BHR","Bahrain",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.718783438205719,-9999,-1.06540274620056,-9999,-1.05687987804413,-9999,-0.571163654327393,-0.590705573558807,-0.561549425125122,-0.743174850940704,-0.903966546058655,-0.856526553630829,-0.868917524814606,-0.790999948978424,-0.965909421443939,-1.21731686592102,-1.31802463531494,-1.31746447086334,-1.31105923652649,-1.31306099891663,-1.37202835083008,-1.38725745677948,-1.41806530952454,-1.42869198322296,-1.4533017873764,-1.49894762039185,-1.41756176948547,-9999
50,"BGD","Bangladesh",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.0584283582866192,-9999,-0.0855698809027672,-9999,-0.22792449593544,-9999,-0.43222051858902,-0.551806807518005,-0.672145783901215,-0.569969236850739,-0.451236516237259,-0.573499917984009,-0.442116975784302,-0.289043039083481,-0.268090695142746,-0.315068930387497,-0.401940673589706,-0.405386388301849,-0.473918706178665,-0.512037396430969,-0.583839416503906,-0.615030944347382,-0.742027103900909,-0.741844892501831,-0.769557952880859,-0.774542570114136,-0.752661883831024,-9999
52,"BRB","Barbados",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.34296929836273,-9999,1.27400147914886,-9999,1.26449751853943,-9999,1.23130881786346,1.15570759773254,1.10496938228607,0.949198722839355,1.03720331192017,1.02995073795319,0.946911215782166,1.12787127494812,1.1365772485733,1.11405873298645,1.13297867774963,1.13735830783844,1.14508771896362,1.09655451774597,1.08579421043396,1.11359691619873,1.10209810733795,1.10116636753082,1.12545907497406,1.12188565731049,1.12864553928375,-9999
112,"BLR","Belarus",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.819772601127625,-9999,-0.77269583940506,-9999,-1.31242227554321,-9999,-1.45189714431763,-1.45855021476746,-1.59736406803131,-1.76681733131409,-1.75380945205688,-1.70445394515991,-1.59331786632538,-1.54764413833618,-1.55507206916809,-1.66020834445953,-1.56718134880066,-1.54442870616913,-1.44286942481995,-1.46507394313812,-1.3393886089325,-1.35598385334015,-1.363152384758,-1.40739941596985,-1.45349812507629,-1.58077239990234,-1.6263952255249,-9999
56,"BEL","Belgium",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.43329954147339,-9999,1.34284746646881,-9999,1.36650443077087,-9999,1.37745249271393,1.47829031944275,1.44026613235474,1.42076218128204,1.34239435195923,1.36077105998993,1.32498848438263,1.3466922044754,1.36068689823151,1.32516324520111,1.34942185878754,1.3730456829071,1.36636698246002,1.38745987415314,1.37702023983002,1.33848917484283,1.33021223545074,1.3083484172821,1.27844524383545,1.271479845047,1.29260873794556,-9999
84,"BLZ","Belize",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.824221611022949,-9999,0.881688356399536,-9999,0.975879788398743,-9999,0.796831011772156,0.842791497707367,0.7400723695755,0.688429117202759,0.544680774211884,0.526492059230804,0.646870255470276,0.744926631450653,0.685301244258881,0.695515275001526,0.695277273654938,0.711436152458191,0.520108461380005,0.578148722648621,0.570842862129211,0.570631861686707,0.431013256311417,0.504456102848053,0.523253381252289,0.542922258377075,0.532865047454834,-9999
