"code","iso","country","TKP.raw.2010","TKP.raw.2011","TKP.raw.2012","TKP.raw.2013","TKP.raw.2014","TKP.raw.2015","TKP.raw.2016","TKP.raw.2017","TKP.raw.2018","TKP.raw.2019","TKP.raw.2020","TKP.raw.2021","TKP.raw.2022","TKP.raw.2023","TKP.raw.2024"
4,"AFG","Afghanistan",0.592551312760717,0.592551312760717,0.592551312760717,0.592551312760717,0.592551312760717,0.592551312760717,22.2099339040372,22.2120545700887,22.2120545700887,22.2137898650638,24.5526050068753,24.5526050068753,24.5526050068753,24.5526050068753,24.5526050068753
8,"ALB","Albania",43.2894842150874,52.1789898535399,54.2904085615006,55.9437227818867,55.9437227818867,55.9437227818867,55.9437227818867,55.9437227818867,58.3673168529063,58.3673168529063,58.3673168529063,58.3673168529063,58.3673168529063,58.3673168529063,58.3673168529063
12,"DZA","Algeria",5.85920673228534,5.89325691473698,5.89325691473698,5.89325691473698,5.89325691473698,5.89325691473698,5.89325691473698,5.89325691473698,5.89325691473698,5.98548653735626,5.98548653735626,5.98548653735626,5.98548653735626,5.98548653735626,5.98548653735626
20,"AND","Andorra",18.0104557529494,18.0104557529494,18.0104557543481,26.1966819899136,26.1966819899136,26.1966819899136,26.1966819899136,26.1966819899136,26.1966819899136,26.1966819899136,26.1966819899136,26.1966819899136,26.1966819899136,26.1966819899136,26.1966819899136
24,"AGO","Angola",74.0707508540233,74.67924160441,74.67924160441,74.67924160441,74.67924160441,74.67924160441,74.67924160441,74.67924160441,74.67924160441,74.67924160441,74.67924160441,74.67924160441,74.67924160441,74.67924160441,74.67924160441
660,"AIA","Anguilla",54.0820594730663,54.0820594730663,54.0820594730663,-9999,54.0820594730663,54.0820594730663,54.0820594730663,54.0820594730663,54.0820594730663,54.0820594730663,54.0820594730663,54.0820594730663,54.0820594730663,54.0820594730663,54.0820594730663
28,"ATG","Antigua and Barbuda",71.5409449632142,71.5409449632142,71.5409449632142,71.5409449632142,72.9248952992155,72.9248952992155,72.9248952992155,72.9248952992155,72.9248952992155,72.9248952992155,72.9248952992155,72.9248952992155,72.9248952992155,72.9248952992155,72.9248952992155
32,"ARG","Argentina",39.1490647752398,39.1535234230071,39.3344428953766,39.387223428,39.685848981148,39.7864742862047,40.0061520288787,40.3201528864045,40.4899702122197,40.4913382246842,40.4913382246842,40.4913382279071,40.5036372778481,40.5036372778481,40.5036372778481
51,"ARM","Armenia",39.4872709839901,39.4872709839901,39.4872709839901,39.4872709839901,39.4872709839901,39.4872709839901,39.4872709839901,39.4872709839901,39.4872709839901,39.4872709839901,39.4872709839901,39.4872709839901,39.4872709839901,39.4872709839901,-9999
533,"ABW","Aruba",78.7038447323829,78.7038447323829,78.7038447323829,78.7038447323829,78.7038447323829,78.7038447323829,78.7038447323829,78.7038447323829,78.7038447323829,78.7038447323829,78.7038447323829,78.7038447323829,78.7038447323829,78.7038447323829,78.7038447323829
36,"AUS","Australia",36.9664601519226,42.0150007675344,42.7943096707895,43.868815725428,46.1176495707468,47.2729955130653,50.2227133382167,51.5485714093029,53.0011108228771,57.6909292420646,58.1422036311932,58.1422036311932,58.1422036311932,58.1422036311932,58.1422036311932
40,"AUT","Austria",69.0965441821185,69.617919148546,69.6957738435853,70.4169472375025,70.4466708658968,70.5175214097332,70.5341388625375,70.5341394857312,70.5643757459328,70.6258219141383,70.6278680795188,70.6348826510217,70.6348826510217,70.6348826510217,70.6348826510217
31,"AZE","Azerbaijan",37.9619994429885,37.9619994429885,37.9619994429885,37.9619994429885,37.9619994429885,37.9619994429885,37.9619994429885,37.9619994429885,41.3478520844996,41.3478520844996,41.3478520844996,41.3478520844996,41.3478520844996,41.3478520844996,41.3478520844996
44,"BHS","Bahamas",25.6996669104803,-9999,38.0914872161286,38.0914872161286,-9999,46.1889412699683,46.1889412699683,46.1889412699683,46.1889412699683,46.1889412699683,46.1889412699683,46.1889412699683,46.1889412699683,46.1889412699683,46.1889412699683
48,"BHR","Bahrain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,"BGD","Bangladesh",11.9320168461168,12.0808773677383,12.0808773677383,12.109819413146,12.109819413146,12.109819413146,12.109819413146,17.2141803539877,17.2141803539877,23.8711503353016,23.8711503353106,23.8711503594552,23.8711503594552,23.8711503594552,23.8711503594552
52,"BRB","Barbados",1.68442364588143,1.68442364588143,1.68442364588143,1.68442364588143,1.68442364588143,1.68442364588143,1.68442364588143,1.68442364588143,1.68442364588143,1.68442364588143,1.68442364588143,1.68442364588143,1.68442364588143,1.68442364588143,1.68442364588143
112,"BLR","Belarus",93.4876477913575,93.4876477913575,93.494640143831,93.5287441212005,93.6115004337374,93.659190364379,93.659190364379,93.659190364379,93.659190364379,93.659190364379,93.659190364379,93.659190364379,93.659190364379,93.659190364379,93.659190364379
56,"BEL","Belgium",24.8764213550938,24.8793622588173,24.8868904303412,24.9167596244785,26.9236618154311,27.9783437513689,46.0698022644904,46.0717810021303,46.0781991293597,46.0965518082559,46.1019185723563,46.1064434641204,46.1067973186957,46.1067973186957,46.1067973186957
84,"BLZ","Belize",35.4192668349526,35.4753217612959,39.8340404415472,39.8348051618354,39.8348051618354,39.8348051618354,39.8348051618354,39.8348051618354,39.8348051618354,39.8348051618354,39.8348051618354,39.8348051618354,39.8348051618354,39.8348051618354,39.8348051618354
