"code","iso","country","OEC.raw.2003","OEC.raw.2004","OEC.raw.2005","OEC.raw.2006","OEC.raw.2007","OEC.raw.2008","OEC.raw.2009","OEC.raw.2010","OEC.raw.2011","OEC.raw.2012","OEC.raw.2013","OEC.raw.2014","OEC.raw.2015","OEC.raw.2016","OEC.raw.2017","OEC.raw.2018","OEC.raw.2019","OEC.raw.2020","OEC.raw.2021","OEC.raw.2022"
4,"AFG","Afghanistan",0.0854285536449382,0.0859269837821851,0.0864242142368959,0.0873250046008915,0.0839048978032519,0.083473676677725,0.0831975921678525,0.0855605642916265,0.0864457894579652,0.0860376359674158,0.0845118961822503,0.0814820477006703,0.0835174148564648,0.0824452193650923,0.085516237505856,0.088920064345869,0.0884017998625359,0.0865641131676598,0.0881724950515174,0.08579946079491
8,"ALB","Albania",0.0947077255438563,0.0908225229592677,0.0970504272349568,0.0933141559167645,0.0947333843371956,0.0953565789705946,0.0929263913167153,0.0949111316235204,0.0905140070451,0.0935933789336622,0.0939356211649747,0.0907028716329872,0.0899717884918863,0.0917015835046372,0.0999004170324122,0.0977109879196423,0.101800768284844,0.0994219459756526,0.0983011458439698,0.0947992592364975
12,"DZA","Algeria",0.0986422146539877,0.09309903246278,0.0986466020985998,0.0969580043374604,0.0960825446145278,0.0954168064724593,0.0990911114353644,0.099974473512735,0.0958115608169459,0.0965589414568521,0.100337499902632,0.0947651302106109,0.0947736418414048,0.0948564284519857,0.110328414101246,0.105883448240075,0.110308945813523,0.107458991519834,0.105967550084151,0.102760778256038
20,"AND","Andorra",0.0783983704944452,0.0746319368481636,0.0818447122971217,0.0817960618684689,0.0789467475066582,0.0776741852362951,0.0801790859550238,0.0792980020244916,0.0793310683220625,0.0807193430761496,0.0789480662594239,0.0771216880530119,0.0782854165881872,0.0778780216351151,0.0794370379298925,0.0788178336289194,0.083327657646603,0.0775208150347074,0.0761655097206434,0.0765192649430699
24,"AGO","Angola",0.0545761102843279,0.0553659621533597,0.0579634138482329,0.0559569425963335,0.0595748109949629,0.0583176290349487,0.0578717197588144,0.0578858481644704,0.0606708870978879,0.0581764086898414,0.0573902327595796,0.0553457658315397,0.0557228558148759,0.0540704115255429,0.0555880227366335,0.0546305463142046,0.058843990693688,0.0561079812579201,0.060270357384851,0.0591425646740923
660,"AIA","Anguilla",0.0817994549870491,0.0825727432966232,0.0812895074486732,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0792042538523674,0.0789809077978134,0.0769173353910446,0.0824739187955856,0.0896625891327858,0.0869554057717323,0.0859220214188099,0.0860761826237043,0.0856524830063184
28,"ATG","Antigua and Barbuda",0.0810976583096716,0.0801394267214669,0.0799819288982285,0.0807801797054708,0.0786998993717134,0.0834768791683018,0.0803072559647262,0.0766520907773691,0.0792351347558639,0.0790313442840296,0.0819397875491311,0.0784129847226472,0.0785300007154202,0.0759221888307867,0.0813336362098825,0.0888857522373458,0.0859784794051245,0.084754432630108,0.0850510296063969,0.0846447024988123
32,"ARG","Argentina",0.0484974000608124,0.0492144194934708,0.0557933371216126,0.0536939185458207,0.0515154288656522,0.0572209653596099,0.0550721575504762,0.0537220548049074,0.0529682384542774,0.0520443264773727,0.0534755727183652,0.0522227808722089,0.0507025409937928,0.0534838286910877,0.0558401645401866,0.0554292668520878,0.0565476148581478,0.0623341411690767,0.0550921747615279,0.0545410223631049
51,"ARM","Armenia",0.081360115249744,0.0817369325314944,0.0837457047803618,0.0839574896978376,0.082481175548038,0.0819298418183395,0.0813336307261437,0.0823621749309227,0.0806181731387305,0.0816696151382493,0.0813952927280664,0.0783702585648111,0.080192834225722,0.078449629626614,0.0822131516079659,0.0853590554588811,0.0859159902264131,0.0854895002282397,0.0862744258084769,0.084108986782533
533,"ABW","Aruba",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
36,"AUS","Australia",0.0554806287548813,0.0521660943450002,0.0577820070472478,0.0566304384851966,0.0583199237365694,0.0576047627925842,0.0570319552174846,0.0559094067278903,0.0558911146067409,0.0582449146191617,0.0581364549384978,0.0589074773045373,0.0570780982437781,0.0572631514194194,0.0587228862676897,0.0601475148758876,0.0646515640602986,0.0632694252073406,0.0607816734369027,0.0604618920265464
40,"AUT","Austria",0.0693109933184176,0.0651000473338162,0.0702481398674298,0.0692509353892053,0.0720041434903652,0.071783260622899,0.0691835353052549,0.0674391079730011,0.06923288862727,0.0727201376245109,0.0699345833197932,0.0680179254277497,0.0718359110793858,0.068906293548873,0.0762491186128092,0.0766121629396292,0.0793906788568948,0.0747217597271988,0.0724570192899827,0.0724733049598122
31,"AZE","Azerbaijan",0.0737845018901933,0.0728191037746709,0.0758047524120402,0.0747650196284962,0.0749392993790912,0.0739572140492257,0.0727416745360478,0.0726803084147114,0.0725462973296353,0.0753254445834717,0.0751005733250182,0.0731381047635719,0.0734546845297607,0.0715736294358992,0.078916680387727,0.0788280214317585,0.0811012971452625,0.0800971617355406,0.0793695541197015,0.0788754074786321
44,"BHS","Bahamas",0.0995387823542179,0.105066693331326,0.10834679328605,0.109895281977468,0.105055929730078,0.102760980075056,0.100669078577261,0.107208654093437,0.101744690814461,0.102642382471225,0.0994523008568929,0.0986530860950207,0.0927020999378171,0.0988522694028657,0.104631931052126,0.106131384605604,0.107924668846146,0.105908774234206,0.10541816282746,0.102426345725328
