"code","iso","country","BER.raw.2000","BER.raw.2005","BER.raw.2010","BER.raw.2015","BER.raw.2020"
4,"AFG","Afghanistan",0.271446838839908,0.260589638052623,0.260149634410726,0.261179490084118,0.262069972838806
8,"ALB","Albania",0.233110862471335,0.23050087172342,0.229064893456371,0.228201805724123,0.232245003303176
12,"DZA","Algeria",0.346948784884276,0.344815878712936,0.342899698324673,0.34173481436643,0.341805968049479
20,"AND","Andorra",0.415896433450755,0.417253261729026,0.413224077212971,0.421389807804333,0.428467129961401
24,"AGO","Angola",0.375060140408397,0.364610248093852,0.361528487201123,0.353035499198328,0.350693514660646
660,"AIA","Anguilla",0.448621609902628,0.429391331271447,0.419152852306104,0.416801869102559,0.41391452788667
28,"ATG","Antigua and Barbuda",0.489575939065957,0.491742197910525,0.474314905332828,0.464458127287741,0.4598544347201
32,"ARG","Argentina",0.233954935876323,0.225621362171498,0.218379287898667,0.215108970626983,0.215668187178786
51,"ARM","Armenia",0.321820930249297,0.320402260124868,0.314386510282048,0.310924629824147,0.323565824508548
533,"ABW","Aruba",0.424339059051071,0.428439607668184,0.427895302777656,0.388921929063577,0.391313236905257
36,"AUS","Australia",0.243663318575514,0.23691208746242,0.234011312406848,0.232356405944381,0.232153352078449
40,"AUT","Austria",0.317532188901592,0.313840313552006,0.312763496108018,0.312310384910818,0.312399384628496
31,"AZE","Azerbaijan",0.161439070750965,0.157067688421067,0.157504266242646,0.158491464115214,0.163518359239844
44,"BHS","Bahamas",0.47506842920791,0.456253515600703,0.450120541871953,0.444183461457414,0.441333127254151
48,"BHR","Bahrain",0.279702525884482,0.267675880889555,0.269535416196245,0.267659962731784,0.266222347482709
50,"BGD","Bangladesh",0.0786357331863363,0.076657794456936,0.0759858307606641,0.0757735367002581,0.0761427908685129
52,"BRB","Barbados",0.147084790083267,0.143333858988938,0.146134817184224,0.145411126548361,0.148128993136494
112,"BLR","Belarus",0.131397371709217,0.130116126714285,0.130439314116835,0.130908493652143,0.132542004148313
56,"BEL","Belgium",0.133885351836618,0.134446538846642,0.134071054338805,0.13475306682597,0.134900882272152
84,"BLZ","Belize",0.423337829685594,0.38964306113876,0.37136033294725,0.353293526757232,0.345341384798314
204,"BEN","Benin",0.207002062414253,0.19572828600081,0.190021630538005,0.1804908742468,0.18486377704155
60,"BMU","Bermuda",0.381344478916473,0.352458531075595,0.352765374529569,0.352019053501095,0.357742881440714
64,"BTN","Bhutan",0.340291852495292,0.323516196281822,0.31804520804148,0.313606997933631,0.310805830554651
68,"BOL","Bolivia",0.34087450758197,0.330309324941657,0.319949532267824,0.312387603311069,0.310127948786716
70,"BIH","Bosnia and Herzegovina",0.278148490792327,0.274730799658338,0.275410268732084,0.275295733514245,0.275158321532049
72,"BWA","Botswana",0.32476477733782,0.322883293260527,0.319334740663431,0.319246709645171,0.322471921799514
76,"BRA","Brazil",0.248954961337464,0.241268736577942,0.238446767834495,0.235585859540246,0.236153969817459
92,"VGB","British Virgin Islands",0.499619653860969,0.475579533176725,0.461582352846674,0.440050170415978,0.437693503684259
96,"BRN","Brunei Darussalam",0.536143051262068,0.525062392843674,0.519235554656023,0.515696713662286,0.513144081067598
100,"BGR","Bulgaria",0.204810975304936,0.204908503249549,0.203981199043488,0.204384818752613,0.206987342443394
854,"BFA","Burkina Faso",0.0813657336490707,0.0780314310781155,0.0768070828992069,0.0763209638158763,0.074736503047003
108,"BDI","Burundi",0.111395996169864,0.108628017968579,0.107487009970059,0.106538578051544,0.10871168431695
132,"CPV","Cabo Verde",0.43695033972868,0.437747661917293,0.435733407334429,0.438620423850276,0.43790268806468
116,"KHM","Cambodia",0.298711599374266,0.277009114926489,0.265886893998875,0.258826605405378,0.255148429067878
120,"CMR","Cameroon",0.354541123969385,0.343265968298996,0.335791813551205,0.327585197673347,0.325641347133168
124,"CAN","Canada",0.54660035739185,0.539945223292621,0.536938787997849,0.533424828531323,0.531503854443325
136,"CYM","Cayman Islands",0.479465944291558,0.453502212531841,0.431581658445611,0.424280368978095,0.424085468164046
140,"CAF","Central African Republic",0.433838996744816,0.422706993100282,0.408253911934223,0.406186118577475,0.40123740253616
148,"TCD","Chad",0.266455740987516,0.260605339487102,0.257042813873887,0.254006182275474,0.251869634552575
152,"CHL","Chile",0.608336153159169,0.594358189640593,0.583033710947325,0.573979619172998,0.571391179323426
156,"CHN","China",0.267935434816273,0.264682424941989,0.263222022790715,0.26336456002478,0.265890953021235
170,"COL","Colombia",0.349063788780152,0.33720533228881,0.329651922589054,0.323453675237783,0.32160986567826
174,"COM","Comoros",0.410154497608079,0.399112577908008,0.394283936809982,0.386008464587793,0.381673920425915
184,"COK","Cook Islands",0.428875705212375,0.426804213218581,0.428515337675751,0.435778146682117,0.433931110543597
188,"CRI","Costa Rica",0.363442992852291,0.343161027939011,0.335295770862312,0.325974137509487,0.323273446638193
384,"CIV","Cote d'Ivoire",0.216183974449455,0.209051800886983,0.20317267101492,0.198234963858024,0.195215214121556
191,"HRV","Croatia",0.233308290671209,0.231527719787549,0.231304140927358,0.232075343600235,0.232082890508726
192,"CUB","Cuba",0.214825712537659,0.201838025740789,0.188445348152965,0.184218241154167,0.183534090360627
531,"CUW","Curacao",0.516128085915626,0.505770490133581,0.488957525286807,0.473932794546559,0.464905609504867
196,"CYP","Cyprus",0.353613873730075,0.345400717800342,0.343834220546699,0.339802890487392,0.350891798156756
203,"CZE","Czech Republic",0.182875530091584,0.180756075110355,0.180176320141892,0.180643933644941,0.180904953110711
