"code","iso","country","GHI.raw.1990","GHI.raw.1991","GHI.raw.1992","GHI.raw.1993","GHI.raw.1994","GHI.raw.1995","GHI.raw.1996","GHI.raw.1997","GHI.raw.1998","GHI.raw.1999","GHI.raw.2000","GHI.raw.2001","GHI.raw.2002","GHI.raw.2003","GHI.raw.2004","GHI.raw.2005","GHI.raw.2006","GHI.raw.2007","GHI.raw.2008","GHI.raw.2009","GHI.raw.2010","GHI.raw.2011","GHI.raw.2012","GHI.raw.2013","GHI.raw.2014","GHI.raw.2015","GHI.raw.2016","GHI.raw.2017","GHI.raw.2018","GHI.raw.2019","GHI.raw.2020","GHI.raw.2021","GHI.raw.2022"
60,"BMU","Bermuda",1.28274715061191e-07,1.42680714585737e-07,1.22370857524415e-07,1.38596239547605e-07,1.35895727477779e-07,1.30169383229321e-07,1.25995189402857e-07,1.1961780286983e-07,1.14322728229208e-07,1.09024630542563e-07,1.0044478058951e-07,9.56720513449581e-08,1.02501929180445e-07,9.97733090637094e-08,1.01333760482376e-07,9.96651602754128e-08,1.05714180598322e-07,1.14360557876651e-07,1.03651778532131e-07,8.0667331823449e-08,1.05650275364029e-07,8.00045045228898e-08,6.98237859160331e-08,1.02228669762607e-07,1.33060598062163e-07,1.06062198853546e-07,1.22742122067949e-07,1.2126777265421e-07,1.33763187800568e-07,1.13702485130343e-07,9.41728997045325e-08,8.8092527032339e-08,8.6376081749331e-08
64,"BTN","Bhutan",7.25377026643981e-07,7.08864010276732e-07,6.65849374459279e-07,6.36084705805025e-07,6.26112924210428e-07,7.00335763920278e-07,7.07643172474372e-07,7.10080832006952e-07,6.65488817668973e-07,6.36026130986567e-07,6.09419412861326e-07,5.44726478359309e-07,5.0215428608528e-07,4.55223529979363e-07,4.08557276188073e-07,4.32091910451218e-07,4.11319986966039e-07,3.50975924932996e-07,3.48237822699088e-07,3.10132107997612e-07,2.97280976851836e-07,3.19677716303219e-07,3.19618206464537e-07,3.35352543265045e-07,3.36895072406439e-07,3.21580669346281e-07,3.28668889894667e-07,3.27765971517494e-07,3.37235114207721e-07,3.18214928113942e-07,3.40550882811355e-07,2.91082339113154e-07,-9999
68,"BOL","Bolivia",1.19528392440599e-06,1.18555735419316e-06,1.21652883719123e-06,1.18977689113145e-06,1.12842788772408e-06,9.04221016917289e-07,8.78368463877383e-07,9.48900706381638e-07,8.4493370219791e-07,8.5145897125246e-07,7.65507281828939e-07,7.43110028944565e-07,8.11103976384559e-07,8.04609113527631e-07,8.19189525992474e-07,8.41470103589179e-07,7.935221186768e-07,7.69828974976318e-07,7.37124743170516e-07,7.19616108192553e-07,7.71237654636523e-07,7.37807599878735e-07,7.39025290515997e-07,7.12317125634695e-07,6.93158521040689e-07,6.72978346100406e-07,6.68253390800961e-07,6.46651221980419e-07,6.204967689015e-07,6.1813769801167e-07,6.34829126485953e-07,6.4111468919633e-07,6.24066687515543e-07
70,"BIH","Bosnia and Herzegovina",-9999,-9999,-9999,-9999,1.02786313655353e-06,8.37919233581266e-07,4.81303838783291e-07,6.13370432039367e-07,6.62483410588307e-07,6.21355073361796e-07,6.84105155462124e-07,6.38946351163793e-07,6.49651271520514e-07,6.30283394187429e-07,6.49485691492496e-07,6.38099063247256e-07,6.489713099631e-07,6.20967184648854e-07,6.38754077277918e-07,6.68681302918363e-07,6.74770216402621e-07,7.40501239818844e-07,7.0418930898552e-07,6.73384686802703e-07,6.29379825389008e-07,5.8401580779497e-07,6.41379076655718e-07,6.32718623750415e-07,6.11793740514109e-07,5.60936688244159e-07,5.80979701852256e-07,5.11225801160914e-07,4.87123008186039e-07
72,"BWA","Botswana",1.11695670800799e-06,9.93240740858711e-07,9.55585264091677e-07,9.46176367172438e-07,9.32041048672775e-07,9.26853687123798e-07,9.25212421731983e-07,8.25847601599497e-07,8.0379514043151e-07,7.18256186514167e-07,7.18646082218215e-07,8.73604880691326e-07,8.3952776281482e-07,4.32527668017144e-07,4.43907117002886e-07,4.88119098797141e-07,5.37668250073894e-07,4.43110687988748e-07,7.71487147985241e-07,4.64959890533208e-07,9.31701624576328e-07,1.04009950470526e-06,5.81025701097997e-07,4.9400839993252e-07,4.1833272063109e-07,3.84405034457202e-07,3.57258151207849e-07,4.6037069114527e-07,3.96670379469207e-07,3.11429667992246e-07,3.90375380117279e-07,5.86685099966638e-07,5.55785235589014e-07
76,"BRA","Brazil",4.49869153617513e-07,4.59169367604013e-07,4.71274383671355e-07,4.58512568349076e-07,4.45471236316975e-07,4.40353772801892e-07,4.32968447594268e-07,4.34143205169816e-07,4.48202312153238e-07,4.54903972338376e-07,4.44583033605034e-07,4.50768175773932e-07,4.51020825077119e-07,4.57366781079617e-07,4.53420700496861e-07,4.42808448383344e-07,4.25315722465431e-07,4.13940673168908e-07,3.99423912962345e-07,3.8998356366486e-07,3.93540504984416e-07,3.84621488803758e-07,3.90442691973022e-07,3.90245879716224e-07,4.00978251894737e-07,4.08473014918245e-07,4.11965743872438e-07,4.10980852840468e-07,3.95443444671414e-07,3.93472768529068e-07,4.02843448077942e-07,4.06302502590433e-07,3.92601637566639e-07
92,"VGB","British Virgin Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
96,"BRN","Brunei Darussalam",5.33339195219475e-07,6.09529343108077e-07,5.58836511648453e-07,5.4172753480908e-07,4.92936770771091e-07,4.94741533408596e-07,4.83522425214243e-07,5.04520302288875e-07,4.85023824778893e-07,5.05404995651459e-07,4.80268502171573e-07,4.80577618978565e-07,4.22887251715728e-07,4.6244183163661e-07,4.48475416947163e-07,4.33344984826908e-07,5.16098348121879e-07,5.43450568618162e-07,6.48075507678358e-07,5.56533525701898e-07,5.37352167108445e-07,5.8608301460599e-07,5.7328190427014e-07,5.0239302854435e-07,5.52869267506882e-07,4.78743901051171e-07,5.08248502871384e-07,5.77315204472408e-07,5.89731409899632e-07,6.01637187565189e-07,6.03542447143301e-07,6.09532606070742e-07,5.9622699073128e-07
100,"BGR","Bulgaria",9.2758821163606e-07,8.68134454834075e-07,8.64593151619651e-07,8.73350097471043e-07,8.08441333109399e-07,7.7197301926273e-07,7.40917038779503e-07,8.25387483824282e-07,7.58546627408994e-07,7.39344198920528e-07,6.98105457475623e-07,7.11011018436974e-07,6.42418103040301e-07,6.5693867797601e-07,6.07130802240175e-07,5.72192213835718e-07,5.41876492533678e-07,5.41243375701211e-07,4.99261728848989e-07,4.52141245010826e-07,4.58950819242446e-07,4.94882517441827e-07,4.48586811725272e-07,4.08526448571635e-07,4.24908172947788e-07,4.36081634095721e-07,4.05975491263798e-07,4.1243770441154e-07,3.76182606695382e-07,3.49574996156367e-07,3.27445823217864e-07,3.40793825788555e-07,3.54229176199179e-07
854,"BFA","Burkina Faso",1.54115033187425e-06,1.46496493081814e-06,1.49257158437822e-06,1.47193354086322e-06,1.48954424822999e-06,1.45025069596006e-06,1.37470355608308e-06,1.34816071234926e-06,1.27696875119162e-06,1.20158364993662e-06,1.26274706896832e-06,1.15575819958137e-06,1.15290649692363e-06,1.26619770797578e-06,1.25336587905695e-06,1.19186019465933e-06,1.12724832028494e-06,1.11843569619276e-06,1.09433969065721e-06,1.09484593407514e-06,1.05685598367838e-06,1.00983626444595e-06,9.73031343766156e-07,9.53117338728079e-07,9.30767884526696e-07,9.31837212799569e-07,9.218856597975e-07,8.95924343136515e-07,8.64626611938939e-07,8.44624194365963e-07,8.45163720384382e-07,8.20665664662211e-07,8.25744558427686e-07
108,"BDI","Burundi",4.90781178677544e-07,4.77829101859108e-07,4.72652588348443e-07,5.0586518331796e-07,5.17221989875438e-07,5.82289307494968e-07,6.39731467328514e-07,6.63553804241904e-07,6.2485546715084e-07,6.16487001220816e-07,6.4319645147008e-07,6.33124380037654e-07,6.12177655712953e-07,6.26831351594071e-07,6.30055372825811e-07,6.43441813026014e-07,6.40015196288449e-07,6.41735519651044e-07,6.36289875270849e-07,6.34915842561352e-07,6.58062167771811e-07,6.68708795861626e-07,6.49749626578701e-07,6.96569475553135e-07,6.68003763977972e-07,6.9850268285064e-07,7.5877018427219e-07,8.32447704945957e-07,8.49534166430634e-07,8.00784939599137e-07,8.1452877203114e-07,8.27798049878525e-07,8.25097891381516e-07
132,"CPV","Cabo Verde",5.35643972944381e-07,5.21421218460299e-07,5.28494431916881e-07,4.83154451639372e-07,3.92783077786853e-07,3.88355674396935e-07,3.41472298173756e-07,3.27175245443445e-07,3.12429529712036e-07,3.14748496696235e-07,2.80441533270174e-07,2.99801661222505e-07,3.02296560393194e-07,2.94129404659111e-07,2.76408816662763e-07,2.68736801622694e-07,2.65690687317481e-07,2.33968648645416e-07,2.08087522427193e-07,2.29488677249439e-07,2.38358706358279e-07,2.47016792796106e-07,2.13240656420598e-07,2.10947215403644e-07,2.08689595338815e-07,2.09085813216984e-07,2.03024117824802e-07,1.93708512499589e-07,1.94398032384124e-07,1.86475142870768e-07,2.21604063807405e-07,2.19857021196076e-07,1.89433514971672e-07
116,"KHM","Cambodia",-9999,-9999,-9999,1.13271029919614e-06,1.62517793669053e-06,1.74609647035723e-06,1.6752815195377e-06,1.61904220601886e-06,1.57153276261977e-06,1.47228498691039e-06,1.28100663257536e-06,1.20252610549049e-06,1.14555785804243e-06,1.12853507620214e-06,1.01765085273124e-06,9.54844382801075e-07,9.14020936157965e-07,8.57495259166289e-07,8.22116602066155e-07,8.61189587044247e-07,8.30293522542967e-07,8.04405326645715e-07,7.411853433731e-07,6.88381470860186e-07,6.58246296656001e-07,6.47689513492761e-07,6.5073866031802e-07,6.59879089592153e-07,6.45522750290948e-07,6.62764340599517e-07,6.97289074310468e-07,6.90712707111939e-07,6.56732324328411e-07
120,"CMR","Cameroon",7.41312628471028e-07,7.5835671374142e-07,7.63150849990686e-07,8.10946963458589e-07,8.21321963287214e-07,8.27418108099249e-07,8.48823283713949e-07,7.98482710307753e-07,7.91868188725495e-07,7.62496154195483e-07,7.84121982619041e-07,7.26353251622548e-07,6.82487861181965e-07,6.83988571915668e-07,6.11854823669136e-07,6.23085028479209e-07,5.73756854456423e-07,5.75911266243657e-07,5.56504999656334e-07,5.60464110105064e-07,5.38293831776272e-07,5.10527956569923e-07,4.8851023130183e-07,4.86323865877526e-07,4.87262877075185e-07,5.02828830595877e-07,4.93262404290968e-07,4.54675494330078e-07,4.42832654741286e-07,4.36063235984707e-07,4.47226658585149e-07,4.34405407464871e-07,4.1311149267919e-07
124,"CAN","Canada",6.35320823775478e-07,6.40032151426966e-07,6.51837473672766e-07,6.40562475803349e-07,6.33733487362438e-07,6.31385497702271e-07,6.40014140936448e-07,6.23145135056509e-07,6.07485840787442e-07,5.88597105479312e-07,5.77865438913647e-07,5.60059671843423e-07,5.51035779158191e-07,5.52296063196841e-07,5.36817727314551e-07,5.1571300854568e-07,5.00417499973621e-07,5.10394329399685e-07,4.90014890811822e-07,4.77133266469001e-07,4.72076343758085e-07,4.65680291072876e-07,4.60565527345973e-07,4.5334461081694e-07,4.42217181781344e-07,4.40775479667212e-07,4.26491172519537e-07,4.2079321094632e-07,4.16995213967984e-07,4.08964710523468e-07,3.92792546316314e-07,3.83268311498906e-07,3.78293993479874e-07
136,"CYM","Cayman Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
