"code","iso","country","OZE.raw.2003","OZE.raw.2004","OZE.raw.2005","OZE.raw.2006","OZE.raw.2007","OZE.raw.2008","OZE.raw.2009","OZE.raw.2010","OZE.raw.2011","OZE.raw.2012","OZE.raw.2013","OZE.raw.2014","OZE.raw.2015","OZE.raw.2016","OZE.raw.2017","OZE.raw.2018","OZE.raw.2019","OZE.raw.2020","OZE.raw.2021","OZE.raw.2022"
4,"AFG","Afghanistan",0.0889695821150487,0.0904577623087707,0.0899714591699231,0.0912483282707476,0.0873573336518549,0.088484654222349,0.0869697218449762,0.0893500328961896,0.0909937517385628,0.0897075715579611,0.0882100344131604,0.085322036970786,0.0870728834920994,0.086957350343131,0.0891345169355638,0.0932057384087838,0.0910249024211708,0.0898740876427634,0.0925005153538609,0.0899188838808705
8,"ALB","Albania",0.0934911853184702,0.0894018804130129,0.0955999342903849,0.0919554006876172,0.0937204797564693,0.0942072691104036,0.0916297035118457,0.0937731338047476,0.0896509567975305,0.0926112195765409,0.0928653602078942,0.0894850989826469,0.089121793884616,0.0909003034745732,0.0985838635474574,0.0959282233431948,0.1001966444962,0.0981405934349703,0.0970015723111804,0.0937626541943633
12,"DZA","Algeria",0.100298294083045,0.0950226441705166,0.100087333888313,0.0984911255028126,0.0976142420289472,0.0964687531042595,0.100421885966879,0.100708305092477,0.0970256779203196,0.0980211521501739,0.101031731854929,0.0944802431968465,0.0946210704140518,0.0940086301525799,0.114540899779633,0.109690115886784,0.113834322514472,0.110963970934278,0.109246680524249,0.106604212514979
20,"AND","Andorra",0.0786672589505217,0.0748817987473548,0.0820892668934697,0.0820546808300196,0.079140265741759,0.0779211493743933,0.080424387220681,0.0795789521110514,0.0795936214854542,0.0809972992073849,0.0791980349830038,0.0775159478652264,0.078618578691377,0.078250477877405,0.0799025153979771,0.0792585432531905,0.0836950824925952,0.0778926225804348,0.0765248921698191,0.076900793725709
24,"AGO","Angola",0.057402740122476,0.0581555245663424,0.0592564843722006,0.0587252653142894,0.0612639531852102,0.0627301893439783,0.061383289329774,0.0618179075957682,0.0648473960707697,0.0629542104779541,0.0641635207975085,0.0628259696568251,0.0641178862498152,0.0632358831197367,0.0646020075691979,0.062473557965693,0.0672426498231868,0.0691329968860898,0.0697865428325345,0.0686977377655545
660,"AIA","Anguilla",0.0818011497253118,0.0825704268972705,0.0812895064652539,0.0812451779136055,0.079229362388806,0.0846736192801956,0.0818307653515133,0.0791200113748219,0.0813753825674686,0.0805739117265661,0.0834345902883142,0.0792034924396953,0.078981410597753,0.0769178323280475,0.0824728512101044,0.0896596684846193,0.0869519546234801,0.0859145665668539,0.0860748518606827,0.0856485372978115
28,"ATG","Antigua and Barbuda",0.0812366194920585,0.0801658957383656,0.0800628060677838,0.0809694440670251,0.0787771202720438,0.0835139064638161,0.0803916191205067,0.0767914148617015,0.0793110015164153,0.0790757070572594,0.0819651559787346,0.0784499768533802,0.0785944903120676,0.0760049839107689,0.081370511143411,0.0888525176687858,0.0859683577771877,0.0847497330759898,0.0850360361096043,0.0846311619498137
32,"ARG","Argentina",0.0448196811340102,0.0450978056504087,0.0511245937831421,0.0490261902717479,0.0480973876923454,0.0518125836502612,0.0501083581359871,0.0501674517305378,0.049146666940417,0.0488129918247971,0.049427037147504,0.0482217777296642,0.0468117000550582,0.0485200073119271,0.0557565208926213,0.054714243487101,0.0561265049212193,0.0607760673273478,0.0546136687583042,0.0545641971010689
51,"ARM","Armenia",0.0805957648799301,0.0808467241002485,0.0825774476224733,0.08237281219594,0.0810509620544364,0.0801902900964276,0.0801952620415076,0.0810946428846733,0.078971916222337,0.0800389666695521,0.0795548722933336,0.0763142960630974,0.0783097029250416,0.0762640190336489,0.0801544643486645,0.0838032478730622,0.0836939996881717,0.083109110766086,0.0842644231467587,0.0821798928889446
533,"ABW","Aruba",0.0793968882417269,0.0785580954917273,0.0799583384510078,0.077255198794341,0.0783810589291239,0.080838782947715,0.0774320984653831,0.0767078835748074,0.0791426569872551,0.076547943631614,0.0792088162994688,0.0768637419285918,0.0787773615834457,0.0777790472269761,0.0810709362819264,0.083508129325368,0.0827719626208082,0.0822573635570148,0.0799158853244969,0.0807849448373767
36,"AUS","Australia",0.0518228333179004,0.0511048825996461,0.0564977639121969,0.0547505295709322,0.055671528939572,0.0560510518751088,0.0559021620945992,0.0546300270812075,0.0549850065017696,0.0577992617684805,0.0586054210196418,0.0598367023156268,0.0570009629684831,0.057783163995281,0.0629460129278182,0.0647953297206875,0.0704887405484948,0.0679525933199141,0.0653619508368624,0.0648793066441814
40,"AUT","Austria",0.0688488928230031,0.0644757038385927,0.069534175163002,0.0687672263282913,0.0711199955137565,0.0709112092597024,0.0688449208492418,0.0672007340649755,0.0684522392352197,0.0715841296581017,0.0692902039718005,0.0673675016543196,0.0707454030184886,0.0682672061075047,0.074821836014894,0.0749843145583628,0.0779207984946661,0.0735045705586463,0.0716092795291435,0.0715186060476341
31,"AZE","Azerbaijan",0.0771849000510093,0.0758265245907262,0.0791290136810664,0.0778465548039846,0.0776517614541913,0.0772435295325549,0.0758363253733066,0.0752092761729998,0.0761939494581617,0.0789288542977906,0.0780630621769629,0.0760631216905833,0.0766559638775701,0.0744379567592008,0.0847180386821686,0.0845211020480377,0.0873436381372322,0.0859095527297489,0.0853280037173338,0.0844161692990334
