"code","iso","country","TCG.raw.2020"
634,"QAT","Qatar",-7777
178,"COG","Republic of Congo",-1.37652334032518
642,"ROU","Romania",1.46478190287314
643,"RUS","Russia",-0.0227139335417543
646,"RWA","Rwanda",-2.85789593648375
652,"BLM","Saint Barthelemy",-3.931918183936
659,"KNA","Saint Kitts and Nevis",1.18436082481568
662,"LCA","Saint Lucia",-1.36465862271424
670,"VCT","Saint Vincent and the Grenadines",-2.34753145345638
882,"WSM","Samoa",-7777
674,"SMR","San Marino",1.06439760053185
678,"STP","Sao Tome and Principe",-7777
682,"SAU","Saudi Arabia",-7777
686,"SEN","Senegal",-0.764057772680571
688,"SRB","Serbia",1.17802148549317
690,"SYC","Seychelles",-7777
694,"SLE","Sierra Leone",-9.0199709656683
702,"SGP","Singapore",-1.86715117735875
534,"SXM","Sint Maarten",-2.36611968078009
703,"SVK","Slovakia",-1.57730088307503
705,"SVN","Slovenia",-0.482437735316541
90,"SLB","Solomon Islands",-0.842703737930863
706,"SOM","Somalia",-7777
710,"ZAF","South Africa",-7777
410,"KOR","South Korea",-1.02090601395651
728,"SSD","South Sudan",1.05048481383157
724,"ESP","Spain",0.252546824075769
144,"LKA","Sri Lanka",-3.79351520592108
275,"PSE","State of Palestine",-7777
729,"SDN","Sudan",-7777
740,"SUR","Suriname",-0.423470949636201
752,"SWE","Sweden",-3.49540456490349
756,"CHE","Switzerland",-0.767665134930237
760,"SYR","Syria",-7777
158,"TWN","Taiwan",0.166685597384316
762,"TJK","Tajikistan",-7777
834,"TZA","Tanzania",-11.2993054475832
764,"THA","Thailand",0.38301498183448
626,"TLS","Timor-Leste",-0.109869848695595
768,"TGO","Togo",-5.85961312703599
776,"TON","Tonga",-7777
780,"TTO","Trinidad and Tobago",-3.18071542442412
788,"TUN","Tunisia",-7777
792,"TUR","Turkiye",0.650217121528898
795,"TKM","Turkmenistan",-7777
796,"TCA","Turks and Caicos Islands",-7777
798,"TUV","Tuvalu",-7777
800,"UGA","Uganda",-23.4017612301284
804,"UKR","Ukraine",4.07773859934994
784,"ARE","United Arab Emirates",-7777
826,"GBR","United Kingdom",2.72112059200922
840,"USA","United States of America",-1.2288410740994
858,"URY","Uruguay",-7777
860,"UZB","Uzbekistan",-7777
548,"VUT","Vanuatu",-0.32068397298369
862,"VEN","Venezuela",-2.48915187232115
704,"VNM","Viet Nam",-3.14559890956874
876,"WLF","Wallis and Futuna Islands",-7777
732,"ESH","Western Sahara",-7777
887,"YEM","Yemen",-7777
894,"ZMB","Zambia",-7.30561726920482
716,"ZWE","Zimbabwe",-5.91097145402282
