"code","iso","country","GOE.raw.1960","GOE.raw.1961","GOE.raw.1962","GOE.raw.1963","GOE.raw.1964","GOE.raw.1965","GOE.raw.1966","GOE.raw.1967","GOE.raw.1968","GOE.raw.1969","GOE.raw.1970","GOE.raw.1971","GOE.raw.1972","GOE.raw.1973","GOE.raw.1974","GOE.raw.1975","GOE.raw.1976","GOE.raw.1977","GOE.raw.1978","GOE.raw.1979","GOE.raw.1980","GOE.raw.1981","GOE.raw.1982","GOE.raw.1983","GOE.raw.1984","GOE.raw.1985","GOE.raw.1986","GOE.raw.1987","GOE.raw.1988","GOE.raw.1989","GOE.raw.1990","GOE.raw.1991","GOE.raw.1992","GOE.raw.1993","GOE.raw.1994","GOE.raw.1995","GOE.raw.1996","GOE.raw.1997","GOE.raw.1998","GOE.raw.1999","GOE.raw.2000","GOE.raw.2001","GOE.raw.2002","GOE.raw.2003","GOE.raw.2004","GOE.raw.2005","GOE.raw.2006","GOE.raw.2007","GOE.raw.2008","GOE.raw.2009","GOE.raw.2010","GOE.raw.2011","GOE.raw.2012","GOE.raw.2013","GOE.raw.2014","GOE.raw.2015","GOE.raw.2016","GOE.raw.2017","GOE.raw.2018","GOE.raw.2019","GOE.raw.2020","GOE.raw.2021","GOE.raw.2022","GOE.raw.2023"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.17516660690308,NA,-2.10229182243347,NA,-2.17394614219666,NA,-1.58768701553345,-1.17576801776886,-0.945146262645721,-1.2288156747818,-1.47365152835846,-1.44011056423187,-1.52779507637024,-1.50775218009949,-1.47831559181213,-1.47410047054291,-1.37553513050079,-1.39949083328247,-1.35930466651917,-1.39618384838104,-1.29025280475616,-1.38897216320038,-1.50134539604187,-1.51861417293549,-1.60950922966003,-1.66956210136414,-1.87955236434937,NA
8,"ALB","Albania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.68858790397644,NA,-0.732602536678314,NA,-0.917780160903931,NA,-0.624333381652832,-0.563986718654633,-0.408371657133102,-0.696387231349945,-0.580952644348145,-0.427722543478012,-0.367063492536545,-0.255941480398178,-0.279453217983246,-0.202177077531815,-0.26892501115799,-0.323875933885574,-0.0489184409379959,0.0282399524003267,0.0298212617635727,0.0987358614802361,0.0806501731276512,-0.0621441006660461,-0.154880329966545,-0.0353600680828094,0.0650628432631493,NA
12,"DZA","Algeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.08876645565033,NA,-0.883071959018707,NA,-1.01074934005737,NA,-0.614207327365875,-0.674277365207672,-0.559222877025604,-0.446233421564102,-0.438161790370941,-0.537276387214661,-0.603184521198273,-0.534546136856079,-0.395901709794998,-0.520578742027283,-0.447385340929031,-0.430986166000366,-0.339201897382736,-0.410823673009872,-0.464160442352295,-0.536838710308075,-0.488373935222626,-0.56773042678833,-0.573433458805084,-0.653295338153839,-0.513090252876282,NA
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41403770446777,NA,1.40335631370544,NA,1.38048672676086,NA,1.36772322654724,1.34903717041016,1.50376403331757,1.28759801387787,1.53840279579163,1.50177264213562,1.52840650081635,1.53620111942291,1.51271617412567,1.49892425537109,1.52334606647491,1.53268504142761,1.71228265762329,1.74090492725372,1.80549323558807,1.87640738487244,1.87926542758942,1.85206508636475,1.74941408634186,1.74925327301025,1.49530494213104,NA
24,"AGO","Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.859939992427826,NA,-1.05510711669922,NA,-1.07503414154053,NA,-1.13215708732605,-1.12422430515289,-1.32887244224548,-1.1102192401886,-1.38104915618896,-1.20500719547272,-1.06138837337494,-0.945070207118988,-1.13826775550842,-1.19323122501373,-0.988945424556732,-1.24267661571503,-1.05590403079987,-0.928497076034546,-0.971013605594635,-0.951664865016937,-1.00511503219604,-1.12856233119965,-1.25839388370514,-1.12807631492615,-1.04042935371399,NA
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.644922494888306,NA,0.65214592218399,NA,0.618822574615479,NA,0.568053841590881,0.576729536056519,0.54032027721405,0.447557687759399,0.407992005348206,0.399155050516129,0.498479098081589,0.497974842786789,0.487727552652359,0.481366097927094,0.48122963309288,0.487086772918701,-0.0703446120023727,0.183694764971733,0.218476206064224,-0.0360001102089882,-0.0534708015620708,-0.0546945296227932,-0.204486712813377,-0.19328498840332,-0.159468576312065,NA
32,"ARG","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.165690049529076,NA,0.328712493181229,NA,-0.0280386935919523,NA,-0.228479072451591,-0.0342199839651585,0.015197392553091,-0.0979790613055229,-0.0339163094758987,-0.0125325033441186,-0.123509347438812,-0.294032037258148,-0.1117919459939,-0.0723610669374466,-0.206967011094093,-0.253538548946381,-0.110760383307934,-0.0493510514497757,0.219068825244904,0.135000482201576,0.0280940532684326,-0.120677568018436,-0.253818213939667,-0.389672070741653,-0.282877296209335,NA
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.380564451217651,NA,-0.546766698360443,NA,-0.546417593955994,NA,-0.0457692667841911,-0.197253704071045,-0.118263445794582,-0.142497807741165,-0.261502921581268,-0.381906569004059,-0.177952587604523,-0.0268956422805786,-0.171523153781891,-0.11502830684185,-0.0323866233229637,0.078659787774086,-0.255827993154526,-0.331129431724548,-0.311781495809555,-0.251172304153442,-0.170385882258415,-0.225958585739136,-0.304616540670395,-0.281927227973938,-0.314229518175125,NA
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28138864040375,1.28759801387787,1.27981781959534,1.24660122394562,1.27092468738556,1.49665641784668,1.24645340442657,1.23643040657043,1.24758815765381,1.22132623195648,0.887889862060547,0.848053455352783,0.853404819965363,0.875804901123047,1.01347315311432,0.98783677816391,1.07522451877594,1.08404016494751,1.10533332824707,NA
