"code","iso","country","PRS.raw.2015","PRS.raw.2018"
446,"MAC","Macao",2.69638824462891,1.84588015079498
450,"MDG","Madagascar",0.450370519746144,0.875090503848087
454,"MWI","Malawi",1.20585172483952,1.53727965297402
458,"MYS","Malaysia",3.84286224481001,3.61449267641224
462,"MDV","Maldives",1,1
466,"MLI","Mali",0.0414521324803513,0.0352036171859364
470,"MLT","Malta",2.45196491143011,2.72332047406078
584,"MHL","Marshall Islands",1,1
478,"MRT","Mauritania",0.126463568623518,0.194844475859869
480,"MUS","Mauritius",4.77863890324596,3.70973680203079
484,"MEX","Mexico",2.02700917778243,2.24647369886505
583,"FSM","Micronesia",4.51959085849732,4.42559539873368
498,"MDA","Moldova",1.51007844176287,1.53223049833928
492,"MCO","Monaco",1.47207172697463,1.8946011320437
496,"MNG","Mongolia",0.141170893222192,0.535400208484335
499,"MNE","Montenegro",1.12368002757004,1.61364253487341
504,"MAR","Morocco",1.53084653361185,1.69529987250251
508,"MOZ","Mozambique",0.215348191148177,0.262551164075566
104,"MMR","Myanmar",1.38760253687323,1.88840165276032
516,"NAM","Namibia",0.0421492467215661,0.133813652076996
520,"NRU","Nauru",1,1
524,"NPL","Nepal",0.647881311093654,1.48361392947949
528,"NLD","Netherlands",1.9066246018284,1.98525756736723
540,"NCL","New Caledonia",2.44371929550322,1.96424636176181
554,"NZL","New Zealand",1.85213800658944,1.6987130959809
558,"NIC","Nicaragua",2.2081671551566,1.8526031012608
562,"NER","Niger",0.403959101360829,1.00498137019012
566,"NGA","Nigeria",1.97477164146721,2.3735459982294
570,"NIU","Niue",1,1
408,"PRK","North Korea",1.43269928769304,1.7662689137617
807,"MKD","North Macedonia",2.09069229764399,1.94704686369213
578,"NOR","Norway",3.05005340865789,3.29471808305084
512,"OMN","Oman",1.66064765688029,1.6758029613193
586,"PAK","Pakistan",2.93519326820782,3.1996326806856
585,"PLW","Palau",1,1
591,"PAN","Panama",2.26505957868703,2.0725300505019
598,"PNG","Papua New Guinea",1.44404458576758,1.1156222359635
600,"PRY","Paraguay",0.636114358828795,0.911502827189342
604,"PER","Peru",2.88128155371703,2.81712429747235
608,"PHL","Philippines",2.2730498379678,2.25771010886321
616,"POL","Poland",1.29910016401365,1.25842164895967
