"code","iso","country","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
60,"BMU","Bermuda",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,1580.00004291534,1600.00002384186,1600.00002384186,1600.00002384186,1600.00002384186,1600.00002384186,1600.00002384186,1000,1500,400,-8888,-8888,-8888
64,"BTN","Bhutan",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,7507.74145126343,-8888,-8888,-8888,-8888,6199.20015335083,-8888,-8888,-8888,-8888,-8888
68,"BOL","Bolivia",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
70,"BIH","Bosnia and Herzegovina",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
72,"BWA","Botswana",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,1082.99899101257,-8888,999.000012874603,-8888,1508.081,-8888,-8888,-8888,-8888,-8888
76,"BRA","Brazil",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,220706.7,320501.3,206540.5,273076.6,2400817.5,3535822.9,1185839.7,486543.7,518325.3,775562.8,937283,1023469.9,-8888,-8888,-8888,-8888,-8888,-8888,-8888
92,"VGB","British Virgin Islands",-8888,-8888,-8888,-8888,-8888,0,-8888,-8888,-8888,0,0,0,0,0,0,0,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
96,"BRN","Brunei Darussalam",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
100,"BGR","Bulgaria",-8888,-8888,-8888,-8888,-8888,0,0,0,776000,769000,775000,770000,770000,774000,793000,822000,839000,858000,871000,887000,1003000,895000,749000,787000,677000,573000,654000,827000,849000,827000,908000,-8888,-8888
854,"BFA","Burkina Faso",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
