"code","iso","country","SDA.raw.1990","SDA.raw.1991","SDA.raw.1992","SDA.raw.1993","SDA.raw.1994","SDA.raw.1995","SDA.raw.1996","SDA.raw.1997","SDA.raw.1998","SDA.raw.1999","SDA.raw.2000","SDA.raw.2001","SDA.raw.2002","SDA.raw.2003","SDA.raw.2004","SDA.raw.2005","SDA.raw.2006","SDA.raw.2007","SDA.raw.2008","SDA.raw.2009","SDA.raw.2010","SDA.raw.2011","SDA.raw.2012","SDA.raw.2013","SDA.raw.2014","SDA.raw.2015","SDA.raw.2016","SDA.raw.2017","SDA.raw.2018","SDA.raw.2019","SDA.raw.2020","SDA.raw.2021","SDA.raw.2022"
4,"AFG","Afghanistan",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.26632388915824,0.251580290434209,0.235716606301279,0.210559959152311,0.184316343852324,0.15194216271443,0.105588483555508,0.0692495146718441,0.0554065661633873,0.0363909725961191,0.0207030526051271,-9999
8,"ALB","Albania",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.146698772367773,-0.0624891502023069,0.0062612126006425,0.0447126866314815,0.0703155687940493,0.0848574316957635,0.0875675069466786,0.0741752787117373,-0.00221224682671584,-0.0912725175934802,-0.150818458446039,-0.176361786239412,-0.202626925717982,-0.206163162766848,-0.207866050024636,-0.186753943004185,-0.211450018100625,-0.207101956045152,-0.161784705771032,-0.120763058417295,-0.104498363618161,-0.0668480483195856,-0.0209810026535916,0.00212852350981363
12,"DZA","Algeria",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00564168629840189,0.0057719612326268,0.0037215729591149,0.0203031385182746,0.0317657658190817,0.0387605385065706,0.041323239835861,0.0424321857383705,0.0412843981952,0.00997689914735456,-0.00968339414249009,-0.0332112435629538,-0.0639528108458902,-0.0783817168322325,-0.114055383000341,-0.127410395545194,-0.11937827216321,-0.106621994431693,-0.0808937538227325,-0.091568232943196,-0.0584188770196849,-0.0458215983728216,-0.0306785472728087,-0.0216571847738865
20,"AND","Andorra",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
24,"AGO","Angola",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.000673793008166327,0.0184314946624633,0.0417163962600688,0.0497019615681724,0.0693840641109453,0.0753880385844767,0.0588742712169028,0.062143712880186,0.0715228932620984,0.0708085537010865,0.098619596349774,0.118048180171398,0.132221656622747,0.136900127001685,0.170223614868376,0.186520698693458,0.161681513259787,0.137298221121615,0.102902832833838,0.0658035019793102,0.051618365281294,0.0151773323463122,-0.000722783338781223,-0.00623748639830447
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0372411672064441,0.0302861472970242,0.0184102462784208,-0.0512323877228063,-0.1426744871458,-0.223878818777998,-0.268909394241119,-0.279221761136975,-0.225952316259207,-0.14975750005086,-0.0637346346714471,-0.00737517642329162,0.0292830757484221,0.00400878765565627,-0.00748695417347327,-0.0169572632579272,-0.0268649187365595,-0.0393909656343703,-0.0360383863507086,-0.030791377654418,-0.0172722981559575,0.00230084418484311,-0.00406395073075417,-0.0028557231268484
32,"ARG","Argentina",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0122228260391704,0.00561401094240566,-0.00227700486367355,-0.00466066788691847,-0.0039362966493378,-0.00257254712598023,-0.00112251895866634,-0.00435001262950582,-0.00423980973749382,0.00577446071362031,0.0113282352350961,0.0250826170813288,0.029227955148577,0.0236086755367912,0.0118645502839394,0.0123948647672321,0.0209217392347838,0.0120255913157987,-0.00154497550107563,-0.0156349050819875,-0.0368180006766278,-0.0338062471682154,-0.0276783940356187,-0.0265149712894033
51,"ARM","Armenia",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.225329954937598,-0.183000365839217,-0.112417293686451,0.0110796646254105,0.100305486339275,0.15427833404413,0.18913135893001,0.199334532133567,0.169290977944183,0.122881649637033,0.0524446465293051,0.0334367503241868,0.0127624484101887,0.0170053006929887,0.0269593361352625,0.0282672551312542,0.0510485864747121,0.0693098601807873,0.0678809785433712,0.0478586517649271,0.0233665199826456,0.000312130374463759,-0.0214154528118425,-0.0337792371525323
533,"ABW","Aruba",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0595736358997867,0.0372573421168974,0.00117187941331176,-0.000420801820562517,-0.00215942104702792,-0.00429931239472433,0.00289025660437137,-0.00258847975906477,-0.0115459121571974,-0.0228259012007473,-0.0534855452246248,-0.140529188425188,-0.0942650574419757,-0.0807115794413807,-0.0828056350368709,-0.0840506154745915,-0.115258897529027,-0.186283573320772,-0.217316734835922,-0.277206179010255,-0.273384461888678,-0.357717212534054,-0.29123259152925,-9999
