"code","iso","country","SPI.raw.1980","SPI.raw.1981","SPI.raw.1982","SPI.raw.1983","SPI.raw.1984","SPI.raw.1985","SPI.raw.1986","SPI.raw.1987","SPI.raw.1988","SPI.raw.1989","SPI.raw.1990","SPI.raw.1991","SPI.raw.1992","SPI.raw.1993","SPI.raw.1994","SPI.raw.1995","SPI.raw.1996","SPI.raw.1997","SPI.raw.1998","SPI.raw.1999","SPI.raw.2000","SPI.raw.2001","SPI.raw.2002","SPI.raw.2003","SPI.raw.2004","SPI.raw.2005","SPI.raw.2006","SPI.raw.2007","SPI.raw.2008","SPI.raw.2009","SPI.raw.2010","SPI.raw.2011","SPI.raw.2012","SPI.raw.2013","SPI.raw.2014","SPI.raw.2015","SPI.raw.2016","SPI.raw.2017","SPI.raw.2018","SPI.raw.2019","SPI.raw.2020","SPI.raw.2021","SPI.raw.2022","SPI.raw.2023","SPI.raw.2024"
31,"AZE","Azerbaijan",18.07,18.13,18.14,18.14,18.9,18.9,18.91,19.62,19.62,19.62,19.62,19.62,19.62,22.49,22.49,22.49,22.51,22.51,22.51,22.51,22.51,22.52,22.52,27.07,30.67,31.09,36.58,36.58,37.6,41.7,41.7,42.07,42.07,42.07,42.07,42.07,42.07,42.07,42.73,42.92,42.92,42.92,42.92,42.92,43.09
44,"BHS","Bahamas",0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.34,0.34,0.34,7.25,7.25,7.25,7.25,7.25,9.08,9.08,9.08,9.08,9.08,9.08,9.08,9.08,9.09,9.09,18.11,18.11,18.11,21.62,21.62,21.62,21.62,21.62,21.62,21.62,21.62,21.62,21.62
48,"BHR","Bahrain",3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68
50,"BGD","Bangladesh",0.44,0.68,1.22,4.17,4.17,4.17,4.48,4.48,4.48,4.48,4.48,4.48,15.74,15.74,15.74,15.74,17.78,17.78,17.78,18.02,18.32,18.36,18.36,18.36,18.38,18.39,18.42,18.5,18.5,18.87,19.64,19.66,19.78,19.81,19.81,19.81,19.81,19.81,19.81,19.81,19.81,19.81,19.81,19.81,19.81
52,"BRB","Barbados",1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.17
112,"BLR","Belarus",7.42,7.5,7.5,7.51,7.51,7.51,7.75,7.75,7.99,7.99,9.21,9.23,9.24,9.28,9.29,9.34,9.56,9.56,9.56,9.59,9.59,9.63,9.67,9.67,9.68,9.68,9.68,9.68,9.69,9.69,11.5,11.5,11.5,13.4,13.41,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,90.64
56,"BEL","Belgium",0.01,0.01,0.01,0.01,0.01,0.11,0.17,0.17,4.77,4.77,4.79,4.8,4.8,4.8,4.88,4.91,5.06,5.23,5.28,5.33,5.69,6.65,6.98,10.42,10.68,10.8,10.9,11.01,11.06,12.81,12.84,12.87,12.92,13.03,32.97,38.7,87.29,87.52,88.08,94.72,94.88,96.03,96.03,96.03,96.03
84,"BLZ","Belize",61.7,61.7,61.7,61.7,67.66,67.89,67.91,67.91,72.53,72.85,77.29,87.07,87.12,87.12,87.64,87.86,87.95,87.95,88.92,88.92,88.92,89.4,89.46,89.46,89.56,89.81,89.81,90.01,90.01,90.02,90.04,90.12,90.28,90.28,90.28,90.28,90.28,90.28,90.28,90.28,90.28,90.28,90.28,90.28,90.28
204,"BEN","Benin",66.75,66.75,66.75,66.75,66.75,66.75,66.75,66.75,66.75,66.75,66.75,66.75,66.75,66.75,66.75,66.75,66.75,66.75,66.75,66.75,71.25,71.33,71.69,71.69,72.05,72.05,72.05,73.82,75.48,75.48,75.48,75.48,75.48,75.48,75.48,75.48,75.48,75.48,75.48,75.48,75.48,75.48,75.48,75.48,75.48
60,"BMU","Bermuda",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
