"code","iso","country","PME.raw.1998","PME.raw.1999","PME.raw.2000","PME.raw.2001","PME.raw.2002","PME.raw.2003","PME.raw.2004","PME.raw.2005","PME.raw.2006","PME.raw.2007","PME.raw.2008","PME.raw.2009","PME.raw.2010","PME.raw.2011","PME.raw.2012","PME.raw.2013","PME.raw.2014","PME.raw.2015","PME.raw.2016","PME.raw.2017","PME.raw.2018","PME.raw.2019","PME.raw.2020","PME.raw.2021","PME.raw.2022"
4,"AFG","Afghanistan",23.0976966232029,25.4751905150627,29.4733251422211,39.2327098844082,37.7074248933879,38.5816811961809,36.9685796239354,32.251337454073,36.7856747021131,36.2200681068562,38.8382681312476,34.2166674607676,38.685429183809,41.522909563541,33.9110296038375,36.1301131396277,35.4918337644708,36.0163872977542,36.3696323736146,36.6003221365234,40.3371953472891,34.4541356221524,33.7854463044675,39.2864504685788,39.8329648535298
8,"ALB","Albania",19.1324100000088,18.4936386376108,20.9012933695048,19.756462767136,20.4629385241935,21.6824237380261,19.8986903096504,19.2602616986545,21.5473675276722,21.4983441368015,20.0726880587836,19.3333296647954,18.2861428632171,21.9333942429476,19.0098989529545,18.0967903340542,16.6733804459879,18.6042996602254,16.4561511099971,17.2570296624407,17.8469644132586,17.3296753263566,15.7229803519425,15.8998478325471,16.4860803896511
12,"DZA","Algeria",14.559873337825,16.3247703016139,16.5817915857589,16.8347342216579,17.1141237384161,17.2788861666086,16.6808419345037,16.6935079438986,16.6387943807549,18.1112408495162,16.7966991557969,16.6075949320353,16.8535306069015,15.6819952524635,15.9716263441516,15.0168878213637,15.9222097711721,15.8836064255661,16.5470220026972,15.2440089981988,15.941112367418,15.8964957167777,15.2574575420505,16.7675933546668,19.0326928661453
20,"AND","Andorra",11.5115181129111,10.8459482605831,12.6545791469113,12.5835875920197,12.5933546704707,13.5883540275321,13.0066468925603,12.0458850739323,12.868530069633,12.1547003640905,10.924034180011,11.9897537192844,11.4373546196309,11.268684013306,11.3908960773674,9.43194918234418,9.12861511478263,10.8365595106216,8.64783028280463,10.1559808223984,9.47677413427234,9.33586352092021,8.59171246857578,9.31184701230507,11.8176620682585
24,"AGO","Angola",20.9960509670315,17.509760040166,20.4555645370892,25.2109396548031,22.5856061479346,21.5901887784526,22.277844927759,24.9483846205669,19.020773433917,22.7632523057892,23.9003948809091,21.7349667163995,26.3631196933925,22.5866296742098,21.8561465791639,22.6254624935188,19.2999044243574,21.2391308546294,20.8498690437317,18.0391388679568,19.7106449573057,21.851994293494,19.1761142421659,18.1014934025561,22.0954409287885
660,"AIA","Anguilla",8.89530395131068,9.8872364771059,9.8961796730382,9.77943380316617,9.4989990179817,8.2715577517263,7.45353085191837,8.93508411459069,8.34836890020494,9.383658825824,7.7774209408263,8.8079487686151,9.66631499698827,7.29743244902607,9.50472810240873,7.11713188451414,7.32941809885181,8.9675216167718,8.31518948408706,8.64486884374222,8.02701925597567,7.86751323711464,8.2284762038303,8.18446211280879,6.9934227510404
28,"ATG","Antigua and Barbuda",9.89971891682874,9.8048109881635,10.2531080384002,9.80551376263937,9.69730593969022,8.74746733206264,8.21712264314072,9.30758688166343,9.07081724225203,9.81744094996667,8.1655954500753,9.92247663543754,10.3135298148784,8.64211850383258,10.0001111141315,7.76284860085278,7.28489696150404,9.89370466169946,9.22738437523397,9.42337751016375,8.8658103208664,8.43633532429281,8.6326552806266,9.23705190645793,7.83312192675858
32,"ARG","Argentina",14.6192587145768,15.6968730615784,14.87324556168,15.0780354184537,15.7221405443348,16.0586101019913,14.9763043366487,14.4309205035322,15.0938921115481,16.3005241963557,15.8462181809682,15.1088293861187,14.3558872195445,15.4467733503948,13.9334845612816,14.2643983664561,13.1665482803228,13.5032197608907,13.693898108622,12.8812072559082,13.1284457903078,14.1975168621287,15.5848276702893,13.5530414155423,15.4422056407713
51,"ARM","Armenia",21.3184191255841,21.6164913141499,24.6682074054516,25.0833141105733,26.5576113255816,26.6259934537787,26.5311294128917,27.6543649244911,27.6020615512935,26.2675773769022,32.3559396693075,26.8509757717757,32.2343632353335,26.6577331538546,26.3110027619092,27.2071506848475,28.7968333949623,28.520903780124,25.6748753370524,27.2978323285412,27.9202195702524,29.5578012798864,27.386669356507,30.9914497828278,29.6799775846578
533,"ABW","Aruba",9.14449096507769,9.75344901321642,9.82031060551631,10.1185299166548,10.0250459437618,10.8993966858634,9.59914304541694,9.94573070438612,9.95854068826158,10.2319300879515,9.70937815486177,9.94987147752138,10.1719279897292,9.78251239342415,9.96003463148522,9.77122376786775,8.8739747645696,10.0503192322103,9.73113714436153,10.1997188670113,9.40045761599359,9.7530975073832,9.87147196465961,9.97986526135497,9.9229230572723
36,"AUS","Australia",5.31510854563787,5.46021622147841,5.34056121158011,6.12610956955837,6.59410814537302,7.41287789046468,5.80111779760542,5.62279450689817,6.67981523629405,5.77810468056192,5.43439666690344,6.91700389430109,5.28054608038989,5.4520079330014,5.40242388872826,5.97843376717336,6.0148541056111,5.86150523737882,5.83670804060279,5.83651435957802,6.0578682298153,9.17970598143635,6.79576692559622,5.4708449751441,5.30084357283378
40,"AUT","Austria",16.7806091691291,16.3601225865548,16.2093942154439,17.2459675305903,19.3091078838339,19.0936935441947,16.6071183076407,18.9051333051284,19.8375352599523,14.7477210316213,15.0033577004321,15.7263620183886,16.655752469687,16.8104401634533,14.2635253436342,15.5038052040843,13.6725575643209,13.5147129281024,12.7659109644981,12.9361305926205,13.8799957168804,11.0807991829746,10.3253781234984,10.8275009874726,10.6907251636762
